candidate,stage,tune_R@5,validation_R@5,validation_macro_R@5,validation_R@10,validation_R@20,validation_MRR,session_stddev,LLM_calls,embedding_calls,runtime_seconds,status
retrieval:question_bm25,cheap_retrieval,0.9354838709677419,0.9537037037037037,0.9525489448258327,0.9629629629629629,0.9907407407407407,0.8800442612942613,0.0237106162745398,0,0,0.027455100000224775,VALID
baseline,baseline,0.5967741935483871,0.5277777777777778,0.5411263666412408,0.5277777777777778,0.6018518518518519,0.3422227883119696,0.07572747384235104,0,0,0.20726600200214307,VALID
frozen:midterm_c3_rebalanced_s001_s010:default,frozen_replay,0.6290322580645161,,,,,,,0,0,0.3866254009990371,NOT_VALIDATED
frozen:midterm_positive_transfer_ablation_s001_s010:default,frozen_replay,0.1774193548387097,,,,,,,0,0,0.4742035009985557,NOT_VALIDATED
offline:original_bm25,cheap_offline_adapter,0.7258064516129032,,,,,,,0,0,0.006627599999774247,NOT_VALIDATED
page:summary,cheap_page_representation,0.6451612903225806,,,,,,,0,0,0.003586800001357915,NOT_VALIDATED
page:summary_keywords,cheap_page_representation,0.7258064516129032,,,,,,,0,0,0.004368999998405343,NOT_VALIDATED
page:summary_keywords_raw_user,cheap_page_representation,0.7258064516129032,,,,,,,0,0,0.002992699999595061,NOT_VALIDATED
retrieval:hybrid_w0.50,cheap_retrieval,0.9032258064516129,,,,,,,0,0,0.0038472000014735386,NOT_VALIDATED
retrieval:hybrid_w0.75,cheap_retrieval,0.8064516129032258,,,,,,,0,0,0.0048363000023528,NOT_VALIDATED
threshold:0.20,cheap_threshold,0.7096774193548387,,,,,,,0,0,0.005002900001272792,NOT_VALIDATED
threshold:0.40,cheap_threshold,0.7096774193548387,,,,,,,0,0,0.002448700000968529,NOT_VALIDATED
