session_id,query_id,gold_requirement_count,shortterm_hit_count,midterm_hit_count,longterm_hit_count,shortterm_completion,midterm_completion,longterm_completion,short_mid_completion,short_long_completion,mid_long_completion,all_memory_completion
S001,S001-Q002,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q003,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q004,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q005,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q006,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q007,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q008,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q009,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q010,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q011,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q012,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q013,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q014,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q015,2,2,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q016,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q017,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q018,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q019,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q020,2,1,0,0,0.5,0.0,0.0,0.5,0.5,0.0,0.5
S001,S001-Q021,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q022,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q023,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q024,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q025,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q026,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q027,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q028,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q029,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q030,2,1,0,0,0.5,0.0,0.0,0.5,0.5,0.0,0.5
S001,S001-Q031,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q032,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q033,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q034,2,1,0,0,0.5,0.0,0.0,0.5,0.5,0.0,0.5
S001,S001-Q035,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q036,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q037,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q038,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q039,2,1,1,0,0.5,0.5,0.0,1.0,0.5,0.5,1.0
S001,S001-Q040,2,1,0,0,0.5,0.0,0.0,0.5,0.5,0.0,0.5
S001,S001-Q041,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q042,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q043,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q044,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
S001,S001-Q045,1,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
