Session,完整实验配置,Add Prompt,Search 方案,R@5,R@10,R@20,MRR,Mean Gold Rank
S001,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,0.3333333333333333,0.5714285714285714,0.8571428571428571,0.3321719286005,10.238095238095237
S002,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,0.4375,0.6875,0.90625,0.30921758119900533,9.78125
S003,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,0.23255813953488372,0.4186046511627907,0.5813953488372093,0.251890510659486,20.58139534883721
S004,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,0.21875,0.4375,0.6875,0.23194041924156755,16.84375
S005,原 Production Add Prompt + 原始问题直接检索,原 Production Add Prompt,原始问题直接检索,0.46153846153846156,0.5769230769230769,0.8076923076923077,0.38994798344643544,11.23076923076923
S001,原 Production Add Prompt + 上下文引用解析后检索,原 Production Add Prompt,上下文引用解析后检索,0.3333333333333333,0.5238095238095238,0.8571428571428571,0.3244124922696351,10.333333333333334
S002,原 Production Add Prompt + 上下文引用解析后检索,原 Production Add Prompt,上下文引用解析后检索,0.46875,0.625,0.875,0.32845253727606666,10.25
S003,原 Production Add Prompt + 上下文引用解析后检索,原 Production Add Prompt,上下文引用解析后检索,0.2558139534883721,0.4418604651162791,0.6046511627906976,0.2778337920596871,20.651162790697676
S004,原 Production Add Prompt + 上下文引用解析后检索,原 Production Add Prompt,上下文引用解析后检索,0.28125,0.46875,0.71875,0.2299597060361617,16.59375
S005,原 Production Add Prompt + 上下文引用解析后检索,原 Production Add Prompt,上下文引用解析后检索,0.46153846153846156,0.6153846153846154,0.8461538461538461,0.39185123012522394,10.653846153846153
S001,保守调优 Add Prompt + 原始问题直接检索,保守调优 Add Prompt,原始问题直接检索,0.38095238095238093,0.6190476190476191,0.8095238095238095,0.3172871572871573,10.952380952380953
S002,保守调优 Add Prompt + 原始问题直接检索,保守调优 Add Prompt,原始问题直接检索,0.40625,0.65625,0.84375,0.32813156628946105,11.78125
S003,保守调优 Add Prompt + 原始问题直接检索,保守调优 Add Prompt,原始问题直接检索,0.16279069767441862,0.3488372093023256,0.627906976744186,0.22092784731789747,19.46511627906977
S004,保守调优 Add Prompt + 原始问题直接检索,保守调优 Add Prompt,原始问题直接检索,0.21875,0.375,0.71875,0.2329586564106688,15.6875
S005,保守调优 Add Prompt + 原始问题直接检索,保守调优 Add Prompt,原始问题直接检索,0.38461538461538464,0.5769230769230769,0.8076923076923077,0.26149647212295185,12.307692307692308
S001,保守调优 Add Prompt + 上下文引用解析后检索,保守调优 Add Prompt,上下文引用解析后检索,0.38095238095238093,0.6666666666666666,0.8095238095238095,0.24003212396069537,10.952380952380953
S002,保守调优 Add Prompt + 上下文引用解析后检索,保守调优 Add Prompt,上下文引用解析后检索,0.375,0.65625,0.8125,0.3906702505262584,12.25
S003,保守调优 Add Prompt + 上下文引用解析后检索,保守调优 Add Prompt,上下文引用解析后检索,0.18604651162790697,0.4418604651162791,0.6744186046511628,0.23200551093728655,19.11627906976744
S004,保守调优 Add Prompt + 上下文引用解析后检索,保守调优 Add Prompt,上下文引用解析后检索,0.21875,0.40625,0.71875,0.24013119816691247,16.03125
S005,保守调优 Add Prompt + 上下文引用解析后检索,保守调优 Add Prompt,上下文引用解析后检索,0.38461538461538464,0.6153846153846154,0.8076923076923077,0.2635316764973212,12.115384615384615
