候选 Add Prompt,Gold movement,Anchor direction,Anchor category,Anchor instances
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,ADDED,DEPENDENCY,16
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,ADDED,EVIDENCE_LIMIT,14
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,ADDED,INDICATOR,14
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,ADDED,JUDGMENT,13
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,ADDED,KEYWORD,100
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,ADDED,NUMBER,61
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,ADDED,RELATION,26
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,ADDED,STATE,32
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,ADDED,SUBJECT,0
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,ADDED,TASK,51
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,ADDED,TIME,2
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,LOST,DEPENDENCY,26
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,LOST,EVIDENCE_LIMIT,37
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,LOST,INDICATOR,47
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,LOST,JUDGMENT,25
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,LOST,KEYWORD,96
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,LOST,NUMBER,234
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,LOST,RELATION,29
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,LOST,STATE,41
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,LOST,SUBJECT,0
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,LOST,TASK,78
候选一：关系解析优先，禁止上下文事实扩写,DEMOTED,LOST,TIME,1
候选一：关系解析优先，禁止上下文事实扩写,PROMOTED,ADDED,DEPENDENCY,2
候选一：关系解析优先，禁止上下文事实扩写,PROMOTED,ADDED,EVIDENCE_LIMIT,5
候选一：关系解析优先，禁止上下文事实扩写,PROMOTED,ADDED,INDICATOR,3
候选一：关系解析优先，禁止上下文事实扩写,PROMOTED,ADDED,JUDGMENT,4
候选一：关系解析优先，禁止上下文事实扩写,PROMOTED,ADDED,KEYWORD,38
候选一：关系解析优先，禁止上下文事实扩写,PROMOTED,ADDED,NUMBER,20
候选一：关系解析优先，禁止上下文事实扩写,PROMOTED,ADDED,RELATION,8
候选一：关系解析优先，禁止上下文事实扩写,PROMOTED,ADDED,STATE,10
候选一：关系解析优先，禁止上下文事实扩写,PROMOTED,ADDED,SUBJECT,0
