Session,Add Prompt,Top5,Top10,Top20,MRR,Mean Gold Rank
S001,原 Production Add（参考）,0.3333333333333333,0.6190476190476191,0.8571428571428571,0.3730518819804534,9.714285714285714
S002,原 Production Add（参考）,0.4375,0.65625,0.84375,0.29516266245589556,10.90625
S003,原 Production Add（参考）,0.3023255813953488,0.4186046511627907,0.6046511627906976,0.23540811497124206,20.976744186046513
S004,原 Production Add（参考）,0.3125,0.46875,0.6875,0.25286299360583536,17.34375
S005,原 Production Add（参考）,0.4230769230769231,0.6538461538461539,0.8846153846153846,0.4045481653180615,10.307692307692308
S001,当前前后文 Prompt（主要基线）,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34245314726681186,7.714285714285714
S002,当前前后文 Prompt（主要基线）,0.34375,0.5625,0.9375,0.31912835841407267,9.59375
S003,当前前后文 Prompt（主要基线）,0.3023255813953488,0.4418604651162791,0.7209302325581395,0.29554339494354975,15.186046511627907
S004,当前前后文 Prompt（主要基线）,0.40625,0.5,0.71875,0.24075197911332366,13.28125
S005,当前前后文 Prompt（主要基线）,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.43742232392751423,8.884615384615385
S001,候选一：关系解析优先，禁止上下文事实扩写,0.38095238095238093,0.5714285714285714,0.8571428571428571,0.2720578679429611,9.80952380952381
S002,候选一：关系解析优先，禁止上下文事实扩写,0.3125,0.65625,0.71875,0.226020091931422,12.90625
S003,候选一：关系解析优先，禁止上下文事实扩写,0.23255813953488372,0.3023255813953488,0.6046511627906976,0.20768437617054608,21.41860465116279
S004,候选一：关系解析优先，禁止上下文事实扩写,0.15625,0.5625,0.8125,0.25150453377526816,12.84375
S005,候选一：关系解析优先，禁止上下文事实扩写,0.34615384615384615,0.46153846153846156,0.7692307692307693,0.3386420432700709,13.346153846153847
S001,候选二：当前轮信息优先 + 一句关系补充,0.3333333333333333,0.5238095238095238,1.0,0.32163596207713857,10.095238095238095
S002,候选二：当前轮信息优先 + 一句关系补充,0.1875,0.34375,0.6875,0.1376753277146534,17.28125
S003,候选二：当前轮信息优先 + 一句关系补充,0.20930232558139536,0.32558139534883723,0.5813953488372093,0.1840338829976555,21.162790697674417
S004,候选二：当前轮信息优先 + 一句关系补充,0.1875,0.46875,0.6875,0.20070000949847625,15.8125
S005,候选二：当前轮信息优先 + 一句关系补充,0.38461538461538464,0.5384615384615384,0.8076923076923077,0.34192057158729894,12.615384615384615
S001,候选三：区分性信息优先，主动抑制重复内容,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.3860626508667983,8.857142857142858
S002,候选三：区分性信息优先，主动抑制重复内容,0.28125,0.40625,0.59375,0.2057208506298142,16.75
S003,候选三：区分性信息优先，主动抑制重复内容,0.27906976744186046,0.4418604651162791,0.6511627906976745,0.25750263428654113,17.930232558139537
S004,候选三：区分性信息优先，主动抑制重复内容,0.25,0.53125,0.71875,0.22933484988198177,16.40625
S005,候选三：区分性信息优先，主动抑制重复内容,0.3076923076923077,0.4230769230769231,0.7307692307692307,0.22277041363501024,16.115384615384617
