Add 方式,Anchor category,Added beyond current QA,Available in previous context,Available only in following context,Unsupported by any input,Pages with following-only addition,Pages with unsupported addition
Production Add + 最近上文,DEPENDENCY,0,0,0,0,0,0
Production Add + 最近上文,EVIDENCE_LIMIT,0,0,0,0,0,0
Production Add + 最近上文,INDICATOR,0,0,0,0,0,0
Production Add + 最近上文,JUDGMENT,2,0,0,2,0,2
Production Add + 最近上文,KEYWORD,470,360,0,110,0,95
Production Add + 最近上文,NUMBER,10,0,0,10,0,4
Production Add + 最近上文,RELATION,1,1,0,0,0,0
Production Add + 最近上文,STATE,6,6,0,0,0,0
Production Add + 最近上文,SUBJECT,0,0,0,0,0,0
Production Add + 最近上文,TASK,0,0,0,0,0,0
Production Add + 最近上文,TIME,0,0,0,0,0,0
Production Add + 最近上文,ALL,489,367,0,122,0,98
Production Add + 最近上文及下文,DEPENDENCY,0,0,0,0,0,0
Production Add + 最近上文及下文,EVIDENCE_LIMIT,0,0,0,0,0,0
Production Add + 最近上文及下文,INDICATOR,0,0,0,0,0,0
Production Add + 最近上文及下文,JUDGMENT,1,0,1,0,1,0
Production Add + 最近上文及下文,KEYWORD,549,448,13,88,13,80
Production Add + 最近上文及下文,NUMBER,15,15,0,0,0,0
Production Add + 最近上文及下文,RELATION,27,27,0,0,0,0
Production Add + 最近上文及下文,STATE,35,35,0,0,0,0
Production Add + 最近上文及下文,SUBJECT,0,0,0,0,0,0
Production Add + 最近上文及下文,TASK,0,0,0,0,0,0
Production Add + 最近上文及下文,TIME,0,0,0,0,0,0
Production Add + 最近上文及下文,ALL,627,525,14,88,14,80
