session_id,source_turn_id,page_id,Add 方式,Formatter,raw_token_count_including_special,truncated,summary_tokens_total,summary_tokens_kept,summary_truncated,keywords_tokens_total,keywords_tokens_kept,keywords_truncation_status,user_tokens_total,user_tokens_kept,user_truncation_status
S001,S001-Q001,2631e802-75be-5089-9418-baece6a717cf,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,428,False,357,357,False,43,43,FULLY_KEPT,26,26,FULLY_KEPT
S001,S001-Q002,dea63c61-1950-5f6a-bdd9-1323f83f3b37,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,454,False,353,353,False,41,41,FULLY_KEPT,58,58,FULLY_KEPT
S001,S001-Q003,e7eefead-7365-5540-b914-0d6077a14d8c,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,412,False,318,318,False,42,42,FULLY_KEPT,50,50,FULLY_KEPT
S001,S001-Q004,8322bc48-f2e3-5603-ae53-97917cf35a39,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,338,False,252,252,False,39,39,FULLY_KEPT,45,45,FULLY_KEPT
S001,S001-Q005,70d0daf9-01a8-5e0f-9341-e20464515e43,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,478,False,392,392,False,40,40,FULLY_KEPT,44,44,FULLY_KEPT
S001,S001-Q006,9b4b60a1-f0f9-5368-b4ce-b441752321bb,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,529,True,437,437,False,45,45,FULLY_KEPT,45,28,PARTIALLY_TRUNCATED
S001,S001-Q007,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,514,True,414,414,False,47,47,FULLY_KEPT,51,49,PARTIALLY_TRUNCATED
S001,S001-Q008,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,433,False,334,334,False,41,41,FULLY_KEPT,56,56,FULLY_KEPT
S001,S001-Q009,ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,379,False,290,290,False,41,41,FULLY_KEPT,46,46,FULLY_KEPT
S001,S001-Q010,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,324,False,231,231,False,41,41,FULLY_KEPT,50,50,FULLY_KEPT
S001,S001-Q011,1de06218-dc21-5ec3-9e23-c5d58a375fd9,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,464,False,365,365,False,44,44,FULLY_KEPT,53,53,FULLY_KEPT
S001,S001-Q012,34fa3574-894f-575c-b9b0-0a183473746e,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,369,False,280,280,False,41,41,FULLY_KEPT,46,46,FULLY_KEPT
S001,S001-Q013,7c06f308-8022-5f54-a63c-ab30458f4115,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,463,False,370,370,False,40,40,FULLY_KEPT,51,51,FULLY_KEPT
S001,S001-Q014,289ba3d6-8b24-5c77-8df9-7af211ee1007,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,306,False,216,216,False,41,41,FULLY_KEPT,47,47,FULLY_KEPT
S001,S001-Q015,f1228bac-12d1-520f-9787-52a8cdcd49db,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,304,False,212,212,False,43,43,FULLY_KEPT,47,47,FULLY_KEPT
S001,S001-Q016,2ec87be4-468b-5498-889b-13f43f4ee222,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,518,True,416,416,False,42,42,FULLY_KEPT,58,52,PARTIALLY_TRUNCATED
S001,S001-Q017,71a788a3-0077-5908-a7f4-d02349fd6e1c,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,330,False,239,239,False,39,39,FULLY_KEPT,50,50,FULLY_KEPT
S001,S001-Q018,55e7e466-3b1c-5014-85fc-2a14618ce254,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,465,False,368,368,False,46,46,FULLY_KEPT,49,49,FULLY_KEPT
S001,S001-Q019,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,377,False,305,305,False,45,45,FULLY_KEPT,25,25,FULLY_KEPT
S001,S001-Q020,77cecfad-195f-539e-b105-acf49d23a9c6,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,401,False,300,300,False,41,41,FULLY_KEPT,58,58,FULLY_KEPT
S001,S001-Q021,28a3b6de-dd4b-5bf8-919e-169ce12b1349,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,573,True,481,481,False,43,29,PARTIALLY_TRUNCATED,47,0,FULLY_TRUNCATED
S001,S001-Q022,44777fdf-abd5-5570-b0aa-8e3f1cb44000,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,334,False,248,248,False,42,42,FULLY_KEPT,42,42,FULLY_KEPT
S001,S001-Q023,d5c03971-3795-5256-a75f-b3921d61a92d,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,614,True,519,510,True,44,0,FULLY_TRUNCATED,49,0,FULLY_TRUNCATED
S001,S001-Q024,204ccd02-0a09-5bee-9d12-d6469c1688e8,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,396,False,300,300,False,46,46,FULLY_KEPT,48,48,FULLY_KEPT
S001,S001-Q025,33eb4d66-a4c5-5429-b3bd-48948bb5d443,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,508,False,414,414,False,44,44,FULLY_KEPT,48,48,FULLY_KEPT
S001,S001-Q026,812b1a36-c36b-58cb-882e-3759ed7c7c58,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,370,False,277,277,False,38,38,FULLY_KEPT,53,53,FULLY_KEPT
S001,S001-Q027,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,453,False,350,350,False,45,45,FULLY_KEPT,56,56,FULLY_KEPT
S001,S001-Q028,fb76b32a-859d-5228-b170-550c026c1646,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,389,False,297,297,False,41,41,FULLY_KEPT,49,49,FULLY_KEPT
S001,S001-Q029,b4497adc-7393-57c0-8917-ce3372fbd151,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,399,False,306,306,False,43,43,FULLY_KEPT,48,48,FULLY_KEPT
S001,S001-Q030,6f47beb6-9be8-5a58-be8b-a77a9bbffd9a,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,476,False,373,373,False,42,42,FULLY_KEPT,59,59,FULLY_KEPT
