Session,Query ID,Gold Page ID,Gold source_turn_id,原 Production Add（仅当前 User + Assistant） | Summary + Keywords + User rank,原 Production Add（仅当前 User + Assistant） | Summary + Keywords + User score,原 Production Add（仅当前 User + Assistant） | Summary + Keywords rank,原 Production Add（仅当前 User + Assistant） | Summary + Keywords score,Production Add + 最近上文 | Summary + Keywords + User rank,Production Add + 最近上文 | Summary + Keywords + User score,Production Add + 最近上文 | Summary + Keywords rank,Production Add + 最近上文 | Summary + Keywords score,Production Add + 最近上文及下文 | Summary + Keywords + User rank,Production Add + 最近上文及下文 | Summary + Keywords + User score,Production Add + 最近上文及下文 | Summary + Keywords rank,Production Add + 最近上文及下文 | Summary + Keywords score
S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,6,0.5241630673408508,6,0.5146355032920837,9,0.5215135216712952,11,0.5077024698257446,5,0.5247803926467896,7,0.516326904296875
S002,S002-Q013,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,9,0.3315993845462799,9,0.32812708616256714,9,0.35461634397506714,9,0.3581601083278656,9,0.34668970108032227,9,0.3458166718482971
S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,5,0.4067201018333435,5,0.3842492699623108,7,0.38496679067611694,8,0.38496679067611694,6,0.3912751078605652,5,0.3781711459159851
S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,6,0.6949954628944397,5,0.6946507096290588,3,0.7017589807510376,2,0.7017589807510376,9,0.6825543642044067,8,0.6824973225593567
S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,9,0.6865124702453613,6,0.6944811344146729,13,0.6746896505355835,12,0.6746896505355835,12,0.6791412234306335,10,0.6791412234306335
S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,4,0.7509975433349609,7,0.7178303003311157,2,0.7651885747909546,7,0.7363976836204529,1,0.7699989080429077,2,0.7454124689102173
S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,0.713391900062561,18,0.6920939683914185,15,0.7206555604934692,15,0.7206555604934692,13,0.7210525870323181,11,0.7210525870323181
S003,S003-Q035,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,7,0.5711592435836792,4,0.5783875584602356,14,0.5560879111289978,14,0.5518558025360107,19,0.5296291708946228,17,0.5243327021598816
S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,6,0.6036669015884399,5,0.6036669015884399,18,0.602592408657074,15,0.602592408657074,3,0.6725355982780457,2,0.6725355982780457
S003,S003-Q039,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,23,0.5550810694694519,22,0.5441630482673645,29,0.5405840277671814,30,0.5301383137702942,27,0.5726316571235657,29,0.5633748769760132
S003,S003-Q091,68d070f4-4242-579d-b5a8-83f3dc6283b3,S003-Q079,27,0.4808177053928375,42,0.4523945152759552,27,0.509762167930603,20,0.509762167930603,14,0.5459685921669006,22,0.5237754583358765
