Session,Add 方式,Formatter,Top5,Top10,Top20,MRR,Mean Gold Rank
S001,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,0.3333333333333333,0.5238095238095238,0.8571428571428571,0.3244124922696351,10.333333333333334
S002,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,0.46875,0.625,0.875,0.32845253727606666,10.25
S003,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,0.2558139534883721,0.4418604651162791,0.6046511627906976,0.2778337920596871,20.651162790697676
S004,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,0.28125,0.46875,0.71875,0.2299597060361617,16.59375
S005,原 Production Add（仅当前 User + Assistant）,Summary + Keywords + User,0.46153846153846156,0.6153846153846154,0.8461538461538461,0.39185123012522394,10.653846153846153
S001,Production Add + 最近上文,Summary + Keywords + User,0.2857142857142857,0.7142857142857143,0.9047619047619048,0.27638452817024245,9.428571428571429
S002,Production Add + 最近上文,Summary + Keywords + User,0.3125,0.5625,0.9375,0.38119803476946335,10.4375
S003,Production Add + 最近上文,Summary + Keywords + User,0.23255813953488372,0.3953488372093023,0.6511627906976745,0.24163642740643831,18.325581395348838
S004,Production Add + 最近上文,Summary + Keywords + User,0.25,0.5,0.84375,0.24384032842679457,12.1875
S005,Production Add + 最近上文,Summary + Keywords + User,0.4230769230769231,0.6153846153846154,0.7692307692307693,0.30932020851525494,13.153846153846153
S001,Production Add + 最近上文及下文,Summary + Keywords + User,0.5238095238095238,0.7142857142857143,0.9047619047619048,0.3102793686644619,7.476190476190476
S002,Production Add + 最近上文及下文,Summary + Keywords + User,0.3125,0.59375,0.9375,0.3577377595234738,9.90625
S003,Production Add + 最近上文及下文,Summary + Keywords + User,0.2558139534883721,0.4883720930232558,0.7674418604651163,0.28315766985621177,15.116279069767442
S004,Production Add + 最近上文及下文,Summary + Keywords + User,0.40625,0.5,0.78125,0.24884969432070883,12.75
S005,Production Add + 最近上文及下文,Summary + Keywords + User,0.46153846153846156,0.6923076923076923,0.8846153846153846,0.3798374251661449,8.923076923076923
S001,原 Production Add（仅当前 User + Assistant）,Summary + Keywords,0.3333333333333333,0.6190476190476191,0.8571428571428571,0.3730518819804534,9.714285714285714
S002,原 Production Add（仅当前 User + Assistant）,Summary + Keywords,0.4375,0.65625,0.84375,0.29516266245589556,10.90625
S003,原 Production Add（仅当前 User + Assistant）,Summary + Keywords,0.3023255813953488,0.4186046511627907,0.6046511627906976,0.23540811497124206,20.976744186046513
S004,原 Production Add（仅当前 User + Assistant）,Summary + Keywords,0.3125,0.46875,0.6875,0.25286299360583536,17.34375
S005,原 Production Add（仅当前 User + Assistant）,Summary + Keywords,0.4230769230769231,0.6538461538461539,0.8846153846153846,0.4045481653180615,10.307692307692308
S001,Production Add + 最近上文,Summary + Keywords,0.2857142857142857,0.6666666666666666,0.9047619047619048,0.2779220779220779,9.571428571428571
S002,Production Add + 最近上文,Summary + Keywords,0.28125,0.59375,0.9375,0.37605820105820104,10.25
S003,Production Add + 最近上文,Summary + Keywords,0.2558139534883721,0.4186046511627907,0.6744186046511628,0.24366266988204377,17.209302325581394
S004,Production Add + 最近上文,Summary + Keywords,0.28125,0.5,0.78125,0.2519281644281644,12.875
S005,Production Add + 最近上文,Summary + Keywords,0.38461538461538464,0.5769230769230769,0.7692307692307693,0.3145342239459886,12.76923076923077
S001,Production Add + 最近上文及下文,Summary + Keywords,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34245314726681186,7.714285714285714
S002,Production Add + 最近上文及下文,Summary + Keywords,0.34375,0.5625,0.9375,0.31912835841407267,9.59375
S003,Production Add + 最近上文及下文,Summary + Keywords,0.3023255813953488,0.4418604651162791,0.7209302325581395,0.29554339494354975,15.186046511627907
S004,Production Add + 最近上文及下文,Summary + Keywords,0.40625,0.5,0.71875,0.24075197911332366,13.28125
S005,Production Add + 最近上文及下文,Summary + Keywords,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.43742232392751423,8.884615384615385
