comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
Fresh re-encoded Production vs stored Production,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,3,0,0.39499086141586304,0.39499083161354065,-2.9802322387695312e-08
Fresh re-encoded Production vs stored Production,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,6,0,0.4535906910896301,0.4535906910896301,0.0
Fresh re-encoded Production vs stored Production,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,1,0,0.5185934901237488,0.5185935497283936,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,9,9,0,0.5047256946563721,0.5047256946563721,0.0
Fresh re-encoded Production vs stored Production,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,3,3,0,0.5994397401809692,0.5994397401809692,0.0
Fresh re-encoded Production vs stored Production,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,3,3,0,0.6697158813476562,0.6697158813476562,0.0
Fresh re-encoded Production vs stored Production,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,6,6,0,0.6287976503372192,0.6287975907325745,-5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,17,17,0,0.5299906134605408,0.5299906730651855,5.960464477539063e-08
Fresh re-encoded Production vs stored Production,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,11,11,0,0.549980640411377,0.5499805212020874,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,17,17,0,0.5301981568336487,0.5301982760429382,1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,11,11,0,0.5581398606300354,0.5581397414207458,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,2,2,0,0.48575401306152344,0.4857538938522339,-1.1920928955078125e-07
Fresh re-encoded Production vs stored Production,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,1,1,0,0.5790305137634277,0.5790305137634277,0.0
