Session,Add 方式,Top5,Top10,Top20,MRR,Mean Gold Rank
S001,原 Production Add（仅当前 User + Assistant）,0.3333333333333333,0.5238095238095238,0.8571428571428571,0.3244124922696351,10.333333333333334
S002,原 Production Add（仅当前 User + Assistant）,0.46875,0.625,0.875,0.32845253727606666,10.25
S003,原 Production Add（仅当前 User + Assistant）,0.2558139534883721,0.4418604651162791,0.6046511627906976,0.2778337920596871,20.651162790697676
S004,原 Production Add（仅当前 User + Assistant）,0.28125,0.46875,0.71875,0.2299597060361617,16.59375
S005,原 Production Add（仅当前 User + Assistant）,0.46153846153846156,0.6153846153846154,0.8461538461538461,0.39185123012522394,10.653846153846153
S001,Production Add + 最近上文,0.2857142857142857,0.7142857142857143,0.9047619047619048,0.27638452817024245,9.428571428571429
S002,Production Add + 最近上文,0.3125,0.5625,0.9375,0.38119803476946335,10.4375
S003,Production Add + 最近上文,0.23255813953488372,0.3953488372093023,0.6511627906976745,0.24163642740643831,18.325581395348838
S004,Production Add + 最近上文,0.25,0.5,0.84375,0.24384032842679457,12.1875
S005,Production Add + 最近上文,0.4230769230769231,0.6153846153846154,0.7692307692307693,0.30932020851525494,13.153846153846153
S001,Production Add + 最近上文及下文,0.5238095238095238,0.7142857142857143,0.9047619047619048,0.3102793686644619,7.476190476190476
S002,Production Add + 最近上文及下文,0.3125,0.59375,0.9375,0.3577377595234738,9.90625
S003,Production Add + 最近上文及下文,0.2558139534883721,0.4883720930232558,0.7674418604651163,0.28315766985621177,15.116279069767442
S004,Production Add + 最近上文及下文,0.40625,0.5,0.78125,0.24884969432070883,12.75
S005,Production Add + 最近上文及下文,0.46153846153846156,0.6923076923076923,0.8846153846153846,0.3798374251661449,8.923076923076923
