Add Prompt,session_id,source_turn_id,page_id,raw_token_count_including_special,effective_token_count,truncated,summary_tokens_total,summary_tokens_kept,keywords_tokens_total,keywords_tokens_kept,user_tokens_total,user_tokens_kept,user_truncation_status
原 Production Add Prompt,S001,S001-Q001,2631e802-75be-5089-9418-baece6a717cf,428,428,False,357,357,43,43,26,26,FULLY_KEPT
原 Production Add Prompt,S001,S001-Q002,dea63c61-1950-5f6a-bdd9-1323f83f3b37,454,454,False,353,353,41,41,58,58,FULLY_KEPT
原 Production Add Prompt,S001,S001-Q003,e7eefead-7365-5540-b914-0d6077a14d8c,412,412,False,318,318,42,42,50,50,FULLY_KEPT
原 Production Add Prompt,S001,S001-Q004,8322bc48-f2e3-5603-ae53-97917cf35a39,338,338,False,252,252,39,39,45,45,FULLY_KEPT
原 Production Add Prompt,S001,S001-Q005,70d0daf9-01a8-5e0f-9341-e20464515e43,478,478,False,392,392,40,40,44,44,FULLY_KEPT
原 Production Add Prompt,S001,S001-Q006,9b4b60a1-f0f9-5368-b4ce-b441752321bb,529,512,True,437,437,45,45,45,28,PARTIALLY_TRUNCATED
原 Production Add Prompt,S001,S001-Q007,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,514,512,True,414,414,47,47,51,49,PARTIALLY_TRUNCATED
原 Production Add Prompt,S001,S001-Q008,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,433,433,False,334,334,41,41,56,56,FULLY_KEPT
原 Production Add Prompt,S001,S001-Q009,ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0,379,379,False,290,290,41,41,46,46,FULLY_KEPT
原 Production Add Prompt,S001,S001-Q010,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,324,324,False,231,231,41,41,50,50,FULLY_KEPT
原 Production Add Prompt,S001,S001-Q011,1de06218-dc21-5ec3-9e23-c5d58a375fd9,464,464,False,365,365,44,44,53,53,FULLY_KEPT
原 Production Add Prompt,S001,S001-Q012,34fa3574-894f-575c-b9b0-0a183473746e,369,369,False,280,280,41,41,46,46,FULLY_KEPT
原 Production Add Prompt,S001,S001-Q013,7c06f308-8022-5f54-a63c-ab30458f4115,463,463,False,370,370,40,40,51,51,FULLY_KEPT
