Session,Add Prompt,Query 检索方式,Eligible Gold,Top5,Top10,Top20,MRR,Mean Gold Rank,Promoted Gold vs Production,Demoted Gold vs Production,Net Gold vs Production
S001,原 Production Add Prompt,原始问题直接检索,21,0.3333333333333333,0.5714285714285714,0.8571428571428571,0.3321719286005,10.238095238095237,0,0,0
S002,原 Production Add Prompt,原始问题直接检索,32,0.4375,0.6875,0.90625,0.30921758119900533,9.78125,0,0,0
S003,原 Production Add Prompt,原始问题直接检索,43,0.23255813953488372,0.4186046511627907,0.5813953488372093,0.251890510659486,20.58139534883721,0,0,0
S004,原 Production Add Prompt,原始问题直接检索,32,0.21875,0.4375,0.6875,0.23194041924156755,16.84375,0,0,0
S005,原 Production Add Prompt,原始问题直接检索,26,0.46153846153846156,0.5769230769230769,0.8076923076923077,0.38994798344643544,11.23076923076923,0,0,0
S001,原 Production Add Prompt,上下文引用解析后检索,21,0.3333333333333333,0.5238095238095238,0.8571428571428571,0.3244124922696351,10.333333333333334,0,0,0
S002,原 Production Add Prompt,上下文引用解析后检索,32,0.46875,0.625,0.875,0.32845253727606666,10.25,0,0,0
S003,原 Production Add Prompt,上下文引用解析后检索,43,0.2558139534883721,0.4418604651162791,0.6046511627906976,0.2778337920596871,20.651162790697676,0,0,0
S004,原 Production Add Prompt,上下文引用解析后检索,32,0.28125,0.46875,0.71875,0.2299597060361617,16.59375,0,0,0
S005,原 Production Add Prompt,上下文引用解析后检索,26,0.46153846153846156,0.6153846153846154,0.8461538461538461,0.39185123012522394,10.653846153846153,0,0,0
S001,最小改动 Add Prompt,原始问题直接检索,21,0.2857142857142857,0.5238095238095238,0.8571428571428571,0.2590697992483707,11.333333333333334,1,2,-1
S002,最小改动 Add Prompt,原始问题直接检索,32,0.34375,0.53125,0.84375,0.2675831257974115,12.5625,3,6,-3
S003,最小改动 Add Prompt,原始问题直接检索,43,0.20930232558139536,0.37209302325581395,0.6046511627906976,0.19433928881700188,18.906976744186046,2,3,-1
S004,最小改动 Add Prompt,原始问题直接检索,32,0.21875,0.4375,0.65625,0.16516430618725902,18.34375,2,2,0
S005,最小改动 Add Prompt,原始问题直接检索,26,0.4230769230769231,0.6538461538461539,0.8076923076923077,0.34238487524216077,10.923076923076923,1,2,-1
S001,最小改动 Add Prompt,上下文引用解析后检索,21,0.3333333333333333,0.5238095238095238,0.8571428571428571,0.2503972218257932,11.666666666666666,2,2,0
S002,最小改动 Add Prompt,上下文引用解析后检索,32,0.34375,0.53125,0.875,0.3005629237772095,12.09375,2,6,-4
S003,最小改动 Add Prompt,上下文引用解析后检索,43,0.27906976744186046,0.37209302325581395,0.627906976744186,0.21808543927421584,19.906976744186046,2,1,1
S004,最小改动 Add Prompt,上下文引用解析后检索,32,0.28125,0.46875,0.625,0.18118349413130483,18.125,3,3,0
S005,最小改动 Add Prompt,上下文引用解析后检索,26,0.4230769230769231,0.6153846153846154,0.8461538461538461,0.34299230444866113,10.576923076923077,1,2,-1
S001,多检索入口保留 Add Prompt,原始问题直接检索,21,0.38095238095238093,0.7142857142857143,0.8095238095238095,0.27177815570672714,10.571428571428571,3,2,1
S002,多检索入口保留 Add Prompt,原始问题直接检索,32,0.34375,0.625,0.875,0.32211965594318537,11.625,1,4,-3
S003,多检索入口保留 Add Prompt,原始问题直接检索,43,0.2558139534883721,0.3488372093023256,0.5813953488372093,0.253492016281358,20.209302325581394,2,1,1
S004,多检索入口保留 Add Prompt,原始问题直接检索,32,0.21875,0.46875,0.6875,0.2548354423354423,16.65625,3,3,0
S005,多检索入口保留 Add Prompt,原始问题直接检索,26,0.34615384615384615,0.6538461538461539,0.8461538461538461,0.239234730411201,10.038461538461538,2,5,-3
S001,多检索入口保留 Add Prompt,上下文引用解析后检索,21,0.42857142857142855,0.6666666666666666,0.8571428571428571,0.273666805903648,10.428571428571429,3,1,2
S002,多检索入口保留 Add Prompt,上下文引用解析后检索,32,0.375,0.6875,0.875,0.35386875790505323,11.84375,1,4,-3
S003,多检索入口保留 Add Prompt,上下文引用解析后检索,43,0.23255813953488372,0.3488372093023256,0.6046511627906976,0.24438357802328392,20.906976744186046,1,2,-1
S004,多检索入口保留 Add Prompt,上下文引用解析后检索,32,0.1875,0.5,0.6875,0.19683649222685767,16.9375,0,3,-3
S005,多检索入口保留 Add Prompt,上下文引用解析后检索,26,0.3076923076923077,0.6923076923076923,0.8461538461538461,0.23919163625045978,9.923076923076923,1,5,-4
S001,任务 + 证据链保留 Add Prompt,原始问题直接检索,21,0.2857142857142857,0.6190476190476191,0.8571428571428571,0.22972093695777906,10.904761904761905,0,1,-1
S002,任务 + 证据链保留 Add Prompt,原始问题直接检索,32,0.40625,0.6875,0.875,0.41108843537414963,10.6875,4,5,-1
S003,任务 + 证据链保留 Add Prompt,原始问题直接检索,43,0.2558139534883721,0.3953488372093023,0.6511627906976745,0.21558517124353552,18.348837209302324,4,3,1
S004,任务 + 证据链保留 Add Prompt,原始问题直接检索,32,0.15625,0.34375,0.65625,0.22269487505534097,18.0,1,3,-2
S005,任务 + 证据链保留 Add Prompt,原始问题直接检索,26,0.38461538461538464,0.6923076923076923,0.8461538461538461,0.271694890077243,10.26923076923077,1,3,-2
S001,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,21,0.2857142857142857,0.6190476190476191,0.8095238095238095,0.2636971455248766,11.333333333333334,0,1,-1
S002,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,32,0.375,0.6875,0.8125,0.41431972789115645,11.8125,2,5,-3
S003,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,43,0.20930232558139536,0.4186046511627907,0.627906976744186,0.20579447209909338,19.976744186046513,1,3,-2
S004,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,32,0.1875,0.4375,0.6875,0.21247982357926337,17.125,1,4,-3
S005,任务 + 证据链保留 Add Prompt,上下文引用解析后检索,26,0.38461538461538464,0.7307692307692307,0.8846153846153846,0.27983682983682984,9.615384615384615,1,3,-2
