session_id,query_id,add_variant,gold_page_id,gold_source_turn_id,nearest_nongold_page_id,nearest_nongold_source_turn_id,gold_nearest_nongold_cosine
S001,S001-Q007,Old,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,e7eefead-7365-5540-b914-0d6077a14d8c,S001-Q003,0.885162893922217
S001,S001-Q011,Old,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,8322bc48-f2e3-5603-ae53-97917cf35a39,S001-Q004,0.8915032480905501
S001,S001-Q011,Old,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,0.8882873124112393
S001,S001-Q013,Old,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0,S001-Q009,0.8958506239512015
S001,S001-Q013,Old,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,8322bc48-f2e3-5603-ae53-97917cf35a39,S001-Q004,0.9067839183881754
S001,S001-Q014,Old,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,0.8839741726758168
S001,S001-Q021,Old,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,8322bc48-f2e3-5603-ae53-97917cf35a39,S001-Q004,0.9313078748294706
S001,S001-Q022,Old,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,0.9307932525872098
S001,S001-Q022,Old,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,S001-Q010,0.9109869213719725
S001,S001-Q026,Old,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,0.9467287234470902
S001,S001-Q026,Old,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,0.8908234922972775
S001,S001-Q028,Old,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,28a3b6de-dd4b-5bf8-919e-169ce12b1349,S001-Q021,0.9033008382109003
S001,S001-Q033,Old,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,28a3b6de-dd4b-5bf8-919e-169ce12b1349,S001-Q021,0.9085124478689013
S001,S001-Q033,Old,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,1de06218-dc21-5ec3-9e23-c5d58a375fd9,S001-Q011,0.9044994296024711
S001,S001-Q035,Old,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,3b7f143a-e38f-5d11-9219-ef3c808f775a,S001-Q031,0.9063199178863959
S001,S001-Q039,Old,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0,S001-Q009,0.9396628143258817
