session_id,source_turn_id,user_indicator_set,assistant_indicator_set,Old_summary_indicator_set,Old_summary_indicator_count,A1_summary_indicator_set,A1_summary_indicator_count,A2_summary_indicator_set,A2_summary_indicator_count,A3_summary_indicator_set,A3_summary_indicator_count
S001,S001-Q001,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""归母净利润"", ""经营活动现金流净额"", ""总资产""]",3
S001,S001-Q002,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q003,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
S001,S001-Q004,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产""]",3,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q005,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q006,"[""扣非归母净利润""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""总资产"", ""归母股东权益""]",5,"[""营业收入"", ""扣非归母净利润"", ""归母股东权益""]",3,"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""归母股东权益""]",4,"[""营业收入"", ""扣非归母净利润"", ""归母股东权益""]",3
S001,S001-Q007,"[""经营活动现金流净额""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",5,"[""营业收入"", ""经营活动现金流净额"", ""归母股东权益""]",3,"[""营业收入"", ""经营活动现金流净额"", ""归母股东权益""]",3,"[""营业收入"", ""归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]",5
S001,S001-Q008,"[""总资产""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母净利润"", ""总资产"", ""归母股东权益""]",4,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2,"[""归母净利润"", ""总资产""]",2
S001,S001-Q009,"[""归母股东权益""]","[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""归母净利润"", ""总资产"", ""归母股东权益""]",3,"[""归母净利润"", ""归母股东权益""]",2,"[""归母净利润"", ""总资产"", ""归母股东权益""]",3,"[""归母净利润"", ""总资产"", ""归母股东权益""]",3
S001,S001-Q010,[],"[""营业收入"", ""归母净利润"", ""扣非归母净利润"", ""经营活动现金流净额"", ""总资产"", ""归母股东权益""]","[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2,"[""营业收入"", ""归母股东权益""]",2
