add_variant,rank,keyword,count,category
A3,1,归母净利润,179,TASK
A3,2,连续上升,168,STATE
A3,3,总资产,155,INDICATOR
A3,4,归母股东权益,149,TASK
A3,5,先升后降,143,TASK
A3,6,营业收入,128,INDICATOR
A3,7,2024年拐点,120,TASK
A3,8,信息缺口,103,TASK
A3,9,错位,88,STATE
A3,10,经营现金流,76,TASK
A3,11,两段同比,61,TASK
A3,12,扣非归母净利润,61,TASK
A3,13,反证,51,TASK
A3,14,反证检验,48,TASK
A3,15,拐点,40,TASK
A3,16,2025年拐点,29,TASK
A3,17,口径限制,27,TASK
A3,18,证据分级,26,TASK
A3,19,同比,25,TASK
A3,20,2025年,23,BACKGROUND
A3,21,2023-2025,22,BACKGROUND
A3,22,连续下降,22,STATE
A3,23,经营活动现金流净额,19,INDICATOR
A3,24,三年路径,18,BACKGROUND
A3,25,先降后升,18,TASK
A3,26,风险排序,18,TASK
A3,27,完整财年,17,TASK
A3,28,年报原数,17,TASK
A3,29,计算结果,16,TASK
A3,30,边际变化,16,BACKGROUND
