add_variant,rank,keyword,count,category
Old,1,2023-2025,317,BACKGROUND
Old,2,同比,237,TASK
Old,3,归母净利润,204,TASK
Old,4,总资产,169,INDICATOR
Old,5,比亚迪,161,BACKGROUND
Old,6,营业收入,156,INDICATOR
Old,7,归母股东权益,145,TASK
Old,8,贵州茅台,117,BACKGROUND
Old,9,年报,81,BACKGROUND
Old,10,先升后降,78,TASK
Old,11,年度报告,76,BACKGROUND
Old,12,扣非归母净利润,61,TASK
Old,13,宁德时代,55,BACKGROUND
Old,14,连续上升,41,STATE
Old,15,经营现金流,34,TASK
Old,16,反证,28,TASK
Old,17,经营活动现金流净额,20,INDICATOR
Old,18,财务分析,18,TASK
Old,19,经营活动现金流,17,BACKGROUND
Old,20,风险排序,17,TASK
Old,21,反证检验,16,TASK
Old,22,拐点,16,TASK
Old,23,三年路径,15,BACKGROUND
Old,24,年报原数,15,TASK
Old,25,投资者关系,15,BACKGROUND
Old,26,2023-2025财年,14,BACKGROUND
Old,27,风险议题卡,13,BACKGROUND
Old,28,内控审计,12,BACKGROUND
Old,29,同比分析,12,TASK
Old,30,边际变化,12,BACKGROUND
