session_id,source_turn_id,Old_numeric_count,Old_percentage_count,Old_currency_amount_count,Old_year_count,A1_numeric_count,A1_percentage_count,A1_currency_amount_count,A1_year_count,A2_numeric_count,A2_percentage_count,A2_currency_amount_count,A2_year_count,A3_numeric_count,A3_percentage_count,A3_currency_amount_count,A3_year_count
S001,S001-Q001,44,8,12,22,18,0,6,12,36,8,12,16,20,0,6,14
S001,S001-Q002,30,8,4,8,0,0,0,0,6,4,0,2,10,4,0,6
S001,S001-Q003,26,4,6,14,11,4,0,7,10,4,0,6,12,4,0,8
S001,S001-Q004,22,6,3,7,10,4,0,6,11,4,0,7,14,4,0,10
S001,S001-Q005,45,8,12,23,6,0,0,6,3,0,0,3,10,4,0,6
S001,S001-Q006,44,8,12,19,2,0,0,2,0,0,0,0,6,4,0,2
S001,S001-Q007,44,2,12,25,0,0,0,0,8,4,0,4,8,4,0,4
S001,S001-Q008,40,4,12,22,0,0,0,0,8,4,0,4,12,4,0,8
S001,S001-Q009,34,6,9,17,15,0,6,9,3,0,0,3,11,6,0,5
S001,S001-Q010,25,4,6,13,0,0,0,0,0,0,0,0,1,0,0,1
S001,S001-Q011,35,6,9,18,14,6,0,8,10,6,0,4,13,4,0,9
S001,S001-Q012,24,4,6,12,6,4,0,2,8,4,0,4,7,4,0,3
S001,S001-Q013,43,8,12,21,13,4,0,9,4,2,0,2,8,4,0,4
S001,S001-Q014,16,4,6,6,2,0,0,2,8,6,0,2,17,4,6,7
S001,S001-Q015,22,4,6,12,8,4,0,4,8,4,0,4,10,4,0,6
S001,S001-Q016,40,8,12,18,12,4,2,2,8,4,0,4,9,4,0,5
S001,S001-Q017,24,2,6,16,20,4,0,16,5,0,0,5,12,4,0,8
S001,S001-Q018,36,2,12,20,0,0,0,0,0,0,0,0,14,0,6,8
S001,S001-Q019,24,4,6,12,8,4,0,4,8,4,0,4,10,4,0,6
S001,S001-Q020,24,4,6,12,12,4,0,8,8,4,0,4,14,0,6,8
S001,S001-Q021,40,8,12,18,0,0,0,0,0,0,0,0,6,4,0,2
S001,S001-Q022,25,4,6,15,3,0,0,3,3,0,0,3,8,4,0,4
S001,S001-Q023,44,10,12,20,11,6,0,5,2,0,0,2,8,2,0,6
S001,S001-Q024,28,8,4,6,10,4,0,6,8,4,0,4,10,4,0,6
S001,S001-Q025,54,8,12,29,5,0,0,5,3,0,0,3,19,0,6,13
S001,S001-Q026,30,6,9,15,2,0,0,2,0,0,0,0,0,0,0,0
S001,S001-Q027,26,4,6,14,5,0,0,5,11,4,0,7,13,4,0,9
S001,S001-Q028,24,4,6,12,11,4,0,7,16,4,6,6,11,4,0,7
S001,S001-Q029,30,8,4,8,4,2,0,2,5,4,0,1,4,0,0,4
S001,S001-Q030,40,8,12,18,4,0,0,4,0,0,0,0,12,1,2,6
S001,S001-Q031,39,8,12,19,2,0,0,2,9,4,0,5,11,4,0,7
S001,S001-Q032,30,6,9,15,10,4,0,6,0,0,0,0,12,4,0,8
S001,S001-Q033,16,4,0,12,12,4,0,8,8,4,0,4,8,4,0,4
