session_id,query_id,gold_page_id,gold_source_turn_id,Old_Baseline_rank,Old_Baseline_score,Old_P2_rank,Old_P2_score,A1_Baseline_rank,A1_Baseline_score,A1_P2_rank,A1_P2_score,A2_Baseline_rank,A2_Baseline_score,A2_P2_rank,A2_P2_score,A3_Baseline_rank,A3_Baseline_score,A3_P2_rank,A3_P2_score
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,0.35526493191719055,3,0.39499086141586304,3,0.42492493987083435,3,0.479627788066864,3,0.41603896021842957,3,0.47022920846939087,3,0.42475056648254395,3,0.47128361463546753
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,0.4535906910896301,6,0.4535906910896301,7,0.49142155051231384,7,0.49142155051231384,7,0.5102962851524353,7,0.5102962851524353,7,0.4856899678707123,7,0.4856899678707123
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,0.5185934901237488,1,0.5185934901237488,5,0.5590208172798157,5,0.5590208172798157,6,0.5479608178138733,6,0.5479608178138733,6,0.5540822744369507,6,0.5540822744369507
S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,9,0.3880617618560791,9,0.5047256946563721,9,0.41847363114356995,9,0.5710499286651611,9,0.43291863799095154,9,0.5836291313171387,9,0.4230518937110901,9,0.5560492277145386
S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,7,0.4383961260318756,3,0.5994397401809692,6,0.5017033219337463,8,0.6325217485427856,3,0.5741614699363708,2,0.726150393486023,7,0.4766002297401428,5,0.6781290173530579
S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,1,0.6648146510124207,3,0.6697158813476562,6,0.6572286486625671,7,0.6411890983581543,2,0.7021545171737671,3,0.7103813290596008,2,0.6951723694801331,3,0.687551736831665
S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,6,0.5378081798553467,6,0.6287976503372192,11,0.5906749963760376,14,0.6722864508628845,12,0.636629045009613,12,0.7134560942649841,10,0.6248841881752014,9,0.7245221138000488
S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,16,0.5138569474220276,17,0.5299906134605408,9,0.6068402528762817,8,0.6305189728736877,9,0.6582239866256714,12,0.6673578023910522,11,0.6258958578109741,15,0.6434865593910217
S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,13,0.5241682529449463,11,0.549980640411377,15,0.5541031360626221,17,0.5734180212020874,18,0.586141049861908,16,0.6121733784675598,15,0.6051106452941895,16,0.6229360103607178
S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,21,0.3901694118976593,17,0.5301981568336487,20,0.5084401965141296,14,0.6386020183563232,20,0.527510941028595,16,0.6625882983207703,20,0.5051596760749817,16,0.6501845121383667
