left_add,right_add,search_variant,comparison_role,promoted_gold,demoted_gold,net_gold_gain,rescued_queries,hurt_queries,extreme_demotion,extreme_promotion,mean_gold_rank_delta_left_minus_right,summary_exact_match_count,summary_token_jaccard_mean
Old,A1,Baseline,PRIMARY_OLD_BASELINE,10,23,-13,10,20,1,2,-0.45454545454545453,0,0.42060323669610955
Old,A1,P2,PRIMARY_OLD_BASELINE,6,23,-17,6,19,1,1,-0.7337662337662337,0,0.42060323669610955
Old,A2,Baseline,PRIMARY_OLD_BASELINE,11,21,-10,10,17,0,4,-0.551948051948052,0,0.38713404338103447
Old,A2,P2,PRIMARY_OLD_BASELINE,5,20,-15,4,16,1,2,-0.5454545454545454,0,0.38713404338103447
Old,A3,Baseline,PRIMARY_OLD_BASELINE,10,25,-15,7,19,3,1,0.2987012987012987,0,0.428234010264386
Old,A3,P2,PRIMARY_OLD_BASELINE,8,24,-16,6,18,2,1,0.025974025974025976,0,0.428234010264386
A1,A2,Baseline,CANDIDATE_PAIRWISE,12,9,3,,,1,0,-0.09740259740259741,0,0.4993225961059155
A1,A2,P2,CANDIDATE_PAIRWISE,10,8,2,,,1,0,0.18831168831168832,0,0.4993225961059155
A1,A3,Baseline,CANDIDATE_PAIRWISE,11,13,-2,,,0,1,0.7532467532467533,0,0.49718976790316366
A1,A3,P2,CANDIDATE_PAIRWISE,14,13,1,,,0,2,0.7597402597402597,0,0.49718976790316366
A2,A3,Baseline,CANDIDATE_PAIRWISE,10,15,-5,,,3,0,0.8506493506493507,0,0.4726179606248059
A2,A3,P2,CANDIDATE_PAIRWISE,11,12,-1,,,2,0,0.5714285714285714,0,0.4726179606248059
