session_id,source_turn_id,user_indicator_set,assistant_indicator_set,old_summary_indicator_set,new_summary_indicator_set,old_summary_indicator_count,new_summary_indicator_count,old_summary_assistant_only_not_user,new_summary_assistant_only_not_user,old_summary_unsupported_indicator_set,new_summary_unsupported_indicator_set
S001,S001-Q001,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q002,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q003,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q004,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",3,2,"[""归母净利润"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q005,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",4,2,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",[],[]
S001,S001-Q006,"[""扣非归母净利润""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""营业收入""]","[""归母股东权益"", ""扣非归母净利润"", ""营业收入""]",5,3,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
S001,S001-Q007,"[""经营活动现金流净额""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""经营活动现金流净额"", ""营业收入""]",5,5,"[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]",[],[]
S001,S001-Q008,"[""总资产""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""营业收入""]","[""归母净利润"", ""总资产""]",4,2,"[""归母净利润"", ""归母股东权益"", ""营业收入""]","[""归母净利润""]",[],[]
S001,S001-Q009,"[""归母股东权益""]","[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母净利润"", ""归母股东权益"", ""总资产""]","[""归母净利润"", ""归母股东权益""]",3,2,"[""归母净利润"", ""总资产""]","[""归母净利润""]",[],[]
S001,S001-Q010,[],"[""归母净利润"", ""归母股东权益"", ""总资产"", ""扣非归母净利润"", ""经营活动现金流净额"", ""营业收入""]","[""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",2,2,"[""归母股东权益"", ""营业收入""]","[""归母股东权益"", ""营业收入""]",[],[]
