session_id,query_id,gold_page_id,gold_source_turn_id,old_base_rank,old_base_score,old_p2_rank,old_p2_score,new_base_rank,new_base_score,new_p2_rank,new_p2_score
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,0.35526493191719055,3,0.39499086141586304,3,0.3876861333847046,3,0.4329865276813507
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,0.4535906910896301,6,0.4535906910896301,7,0.43864351511001587,7,0.43864351511001587
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,0.5185934901237488,1,0.5185934901237488,1,0.5965731739997864,1,0.5965731739997864
S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,9,0.3880617618560791,9,0.5047256946563721,9,0.41201090812683105,9,0.5628228783607483
S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,7,0.4383961260318756,3,0.5994397401809692,8,0.4756738245487213,8,0.682674765586853
S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,1,0.6648146510124207,3,0.6697158813476562,1,0.7265612483024597,1,0.7848734855651855
S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,6,0.5378081798553467,6,0.6287976503372192,10,0.587566614151001,11,0.7117904424667358
S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,16,0.5138569474220276,17,0.5299906134605408,13,0.5730490684509277,15,0.5908023118972778
S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,13,0.5241682529449463,11,0.549980640411377,15,0.5590947866439819,12,0.5939951539039612
S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,21,0.3901694118976593,17,0.5301981568336487,12,0.5336998701095581,9,0.6847557425498962
S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,4,0.4946797788143158,11,0.5581398606300354,7,0.5510916113853455,16,0.6368418335914612
S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,2,0.48575401306152344,2,0.48575401306152344,5,0.49576374888420105,5,0.49576374888420105
S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,2,0.5201343297958374,1,0.5790305137634277,15,0.5658643841743469,13,0.6498016119003296
S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,20,0.4486255347728729,24,0.481160044670105,10,0.5941522121429443,9,0.6678187847137451
S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,27,0.38482916355133057,28,0.3815840482711792,16,0.5183283090591431,16,0.5319058895111084
S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,3,0.49549949169158936,3,0.49549949169158936,13,0.5307345986366272,13,0.5307345986366272
S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,11,0.4700566232204437,11,0.4700566232204437,25,0.48376139998435974,25,0.48376139998435974
S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,6,0.524163007736206,6,0.524163007736206,37,0.47516852617263794,37,0.47516852617263794
S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,15,0.38481488823890686,15,0.38481488823890686,15,0.42143934965133667,15,0.42143934965133667
S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,29,0.335262268781662,29,0.335262268781662,35,0.34379881620407104,35,0.34379881620407104
S001,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,13,0.4355660080909729,11,0.5786396265029907,15,0.4851989150047302,26,0.6548740863800049
S002,S002-Q007,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,3,0.33832457661628723,3,0.3383246064186096,3,0.39627352356910706,3,0.3962736129760742
S002,S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,6,0.3450709879398346,6,0.3450709879398346,7,0.3676918148994446,7,0.3676918148994446
S002,S002-Q011,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,3,0.3914191424846649,3,0.3914192020893097,4,0.4198600649833679,4,0.41986003518104553
S002,S002-Q013,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,9,0.33159926533699036,9,0.3315993845462799,9,0.36593562364578247,9,0.365935742855072
S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,5,0.4067200720310211,5,0.4067201614379883,3,0.5159253478050232,3,0.5159253478050232
S002,S002-Q014,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002-Q008,3,0.5073202252388,3,0.5073203444480896,7,0.45784786343574524,7,0.45784792304039
S002,S002-Q021,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002-Q015,13,0.6465378403663635,13,0.6465377807617188,16,0.5240172147750854,16,0.5240172743797302
S002,S002-Q022,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,4,0.7317522764205933,4,0.7392288446426392,10,0.6771780252456665,10,0.6774548292160034
S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,11,0.6958172917366028,11,0.7118639945983887,3,0.749012291431427,2,0.7641726732254028
S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,6,0.6949954032897949,6,0.6949952840805054,17,0.5546761751174927,17,0.5546761155128479
S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,9,0.6865123510360718,9,0.6865124106407166,20,0.5450657606124878,20,0.545065701007843
S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,8,0.635677695274353,1,0.772222638130188,4,0.6185590028762817,1,0.7917721271514893
S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,4,0.7509975433349609,4,0.7509974837303162,1,0.7605926990509033,1,0.7605927586555481
S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,0.713391900062561,11,0.7133919596672058,8,0.7177635431289673,8,0.7177636623382568
S002,S002-Q035,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,8,0.71683669090271,9,0.7331234216690063,12,0.6427085995674133,15,0.6980561017990112
S002,S002-Q039,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,12,0.6947565078735352,12,0.6947564482688904,10,0.6724337935447693,10,0.6724338531494141
S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,1,0.7444235682487488,1,0.7444235682487488,3,0.709798276424408,3,0.7097982168197632
S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,5,0.7117832899093628,4,0.7403773665428162,3,0.7888933420181274,3,0.8518147468566895
S002,S002-Q044,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,40,0.6301290392875671,40,0.6301290988922119,18,0.6687667965888977,18,0.6687669157981873
S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,11,0.7112531065940857,11,0.7112531661987305,8,0.7202994227409363,8,0.7202994227409363
S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,5,0.6977245807647705,5,0.6977246403694153,25,0.6126003861427307,25,0.6126003861427307
S002,S002-Q052,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,2,0.5538138151168823,2,0.5538136959075928,1,0.6377691030502319,1,0.6377691626548767
S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,5,0.5295717716217041,5,0.5295717120170593,24,0.5315307378768921,24,0.5315306782722473
S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,5,0.519546627998352,5,0.519546627998352,14,0.5437687039375305,14,0.5437687635421753
S002,S002-Q055,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,13,0.49913763999938965,13,0.4991377890110016,46,0.4719817638397217,46,0.4719817638397217
S002,S002-Q056,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,34,0.34421658515930176,34,0.34421661496162415,35,0.37137287855148315,35,0.37137293815612793
S002,S002-Q063,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,19,0.3813455402851105,22,0.5971354246139526,26,0.39742183685302734,10,0.7579742074012756
S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,1,0.5514099597930908,2,0.6259294152259827,2,0.5913363695144653,2,0.7811911106109619
S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,10,0.47436463832855225,20,0.5521422624588013,24,0.5301405191421509,24,0.6796606183052063
S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,1,0.5741122364997864,1,0.5971285104751587,2,0.5869660377502441,3,0.6479800939559937
S002,S002-Q066,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,9,0.48527994751930237,17,0.5194598436355591,16,0.5385895371437073,11,0.6303104162216187
S002,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,37,0.39760541915893555,37,0.3976052701473236,54,0.42304056882858276,54,0.42304062843322754
S003,S003-Q007,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,1,0.37955912947654724,1,0.37955912947654724,3,0.33302274346351624,3,0.33302268385887146
S003,S003-Q011,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,3,0.48598742485046387,3,0.48598745465278625,6,0.4611445665359497,6,0.4611445367336273
S003,S003-Q011,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,2,0.513968288898468,2,0.513968288898468,3,0.6026402711868286,3,0.6026403307914734
S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,7,0.4879744350910187,6,0.5126270055770874,8,0.4905509352684021,8,0.49967026710510254
S003,S003-Q013,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,2,0.5344179272651672,2,0.5747254490852356,6,0.561612069606781,5,0.6105116009712219
S003,S003-Q014,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,1,0.5515123605728149,1,0.5515123605728149,2,0.6344028115272522,2,0.6344028115272522
S003,S003-Q021,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,14,0.6067447662353516,16,0.5892691612243652,10,0.6370704174041748,12,0.6766915321350098
S003,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,1,0.540005624294281,1,0.613099217414856,2,0.6873095631599426,1,0.7587321996688843
S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,3,0.5354854464530945,5,0.5816530585289001,3,0.6429107189178467,3,0.7170011401176453
S003,S003-Q026,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,21,0.5021357536315918,21,0.5282920002937317,17,0.5739808082580566,17,0.6204936504364014
S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,6,0.566022515296936,14,0.5923358201980591,2,0.7038889527320862,3,0.7311569452285767
S003,S003-Q028,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,2,0.4874832332134247,1,0.576715350151062,1,0.5747520923614502,5,0.6744750142097473
S003,S003-Q033,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,19,0.47346293926239014,15,0.5715500116348267,18,0.5048211812973022,26,0.6165066361427307
S003,S003-Q033,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,17,0.4776647090911865,13,0.5745878219604492,14,0.5401366353034973,22,0.632747232913971
