session_id,config,add_variant,search_variant,evaluated_query_count,eligible_gold_count,top5_recalled_gold,r5,r10,r20,mrr,mean_gold_rank
S001,OLD_BASE,Add-Old,Search-Baseline,14,21,7,0.3333333333333333,0.5714285714285714,0.8571428571428571,0.3321719286005,10.238095238095237
S002,OLD_BASE,Add-Old,Search-Baseline,21,32,14,0.4375,0.6875,0.90625,0.30921758119900533,9.78125
S003,OLD_BASE,Add-Old,Search-Baseline,26,43,10,0.23255813953488372,0.4186046511627907,0.5813953488372093,0.251890510659486,20.58139534883721
S004,OLD_BASE,Add-Old,Search-Baseline,21,32,7,0.21875,0.4375,0.6875,0.23194041924156755,16.84375
S005,OLD_BASE,Add-Old,Search-Baseline,17,26,12,0.46153846153846156,0.5769230769230769,0.8076923076923077,0.38994798344643544,11.23076923076923
S001,OLD_P2,Add-Old,Search-P2,14,21,7,0.3333333333333333,0.5238095238095238,0.8571428571428571,0.3244124922696351,10.333333333333334
S002,OLD_P2,Add-Old,Search-P2,21,32,15,0.46875,0.625,0.875,0.32845253727606666,10.25
S003,OLD_P2,Add-Old,Search-P2,26,43,11,0.2558139534883721,0.4418604651162791,0.6046511627906976,0.2778337920596871,20.651162790697676
S004,OLD_P2,Add-Old,Search-P2,21,32,9,0.28125,0.46875,0.71875,0.2299597060361617,16.59375
S005,OLD_P2,Add-Old,Search-P2,17,26,12,0.46153846153846156,0.6153846153846154,0.8461538461538461,0.39185123012522394,10.653846153846153
S001,NEW_BASE,Add-New,Search-Baseline,14,21,4,0.19047619047619047,0.47619047619047616,0.8571428571428571,0.24127835645692788,12.952380952380953
S002,NEW_BASE,Add-New,Search-Baseline,21,32,11,0.34375,0.5625,0.78125,0.27791241567852215,13.59375
S003,NEW_BASE,Add-New,Search-Baseline,26,43,10,0.23255813953488372,0.3953488372093023,0.6511627906976745,0.1963878075248678,18.767441860465116
S004,NEW_BASE,Add-New,Search-Baseline,21,32,12,0.375,0.5625,0.75,0.28219551612408755,13.875
S005,NEW_BASE,Add-New,Search-Baseline,17,26,7,0.2692307692307692,0.5,0.7307692307692307,0.19390851236826467,14.192307692307692
S001,NEW_P2,Add-New,Search-P2,14,21,4,0.19047619047619047,0.42857142857142855,0.8095238095238095,0.23759830634830634,13.619047619047619
S002,NEW_P2,Add-New,Search-P2,21,32,11,0.34375,0.59375,0.8125,0.31576345352956,12.9375
S003,NEW_P2,Add-New,Search-P2,26,43,9,0.20930232558139536,0.37209302325581395,0.6046511627906976,0.17156618352984718,20.58139534883721
S004,NEW_P2,Add-New,Search-P2,21,32,12,0.375,0.53125,0.71875,0.30088463124177406,13.875
S005,NEW_P2,Add-New,Search-P2,17,26,7,0.2692307692307692,0.5384615384615384,0.7692307692307693,0.1860059574068862,13.76923076923077
