config,session_id,source_turn_id,page_id,raw_token_count_including_special,length_bucket,max_length,page_truncated,summary_tokens,summary_tokens_kept,summary_truncated,keywords_tokens,keywords_tokens_kept,keywords_truncation_status
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q001,2631e802-75be-5089-9418-baece6a717cf,425,<=512,512,False,382,382,False,41,41,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q002,dea63c61-1950-5f6a-bdd9-1323f83f3b37,462,<=512,512,False,417,417,False,43,43,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q003,e7eefead-7365-5540-b914-0d6077a14d8c,525,513-1024,512,True,482,482,False,41,28,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q004,8322bc48-f2e3-5603-ae53-97917cf35a39,549,513-1024,512,True,502,502,False,45,8,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q005,70d0daf9-01a8-5e0f-9341-e20464515e43,515,513-1024,512,True,481,481,False,32,29,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q006,9b4b60a1-f0f9-5368-b4ce-b441752321bb,558,513-1024,512,True,514,510,True,42,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q007,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,547,513-1024,512,True,506,506,False,39,4,PARTIALLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q008,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,587,513-1024,512,True,551,510,True,34,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q009,ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0,559,513-1024,512,True,523,510,True,34,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q010,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,567,513-1024,512,True,528,510,True,37,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q011,1de06218-dc21-5ec3-9e23-c5d58a375fd9,563,513-1024,512,True,525,510,True,36,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q012,34fa3574-894f-575c-b9b0-0a183473746e,557,513-1024,512,True,526,510,True,29,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q013,7c06f308-8022-5f54-a63c-ab30458f4115,426,<=512,512,False,390,390,False,34,34,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q014,289ba3d6-8b24-5c77-8df9-7af211ee1007,598,513-1024,512,True,559,510,True,37,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q015,f1228bac-12d1-520f-9787-52a8cdcd49db,575,513-1024,512,True,536,510,True,37,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q016,2ec87be4-468b-5498-889b-13f43f4ee222,595,513-1024,512,True,554,510,True,39,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q017,71a788a3-0077-5908-a7f4-d02349fd6e1c,657,513-1024,512,True,616,510,True,39,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q018,55e7e466-3b1c-5014-85fc-2a14618ce254,550,513-1024,512,True,512,510,True,36,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q019,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,591,513-1024,512,True,553,510,True,36,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q020,77cecfad-195f-539e-b105-acf49d23a9c6,602,513-1024,512,True,566,510,True,34,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q021,28a3b6de-dd4b-5bf8-919e-169ce12b1349,600,513-1024,512,True,563,510,True,35,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q022,44777fdf-abd5-5570-b0aa-8e3f1cb44000,588,513-1024,512,True,549,510,True,37,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q023,d5c03971-3795-5256-a75f-b3921d61a92d,586,513-1024,512,True,547,510,True,37,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q024,204ccd02-0a09-5bee-9d12-d6469c1688e8,594,513-1024,512,True,553,510,True,39,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q025,33eb4d66-a4c5-5429-b3bd-48948bb5d443,596,513-1024,512,True,555,510,True,39,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q026,812b1a36-c36b-58cb-882e-3759ed7c7c58,593,513-1024,512,True,551,510,True,40,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q027,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,598,513-1024,512,True,553,510,True,43,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q028,fb76b32a-859d-5228-b170-550c026c1646,569,513-1024,512,True,535,510,True,32,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q029,b4497adc-7393-57c0-8917-ce3372fbd151,593,513-1024,512,True,555,510,True,36,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q030,6f47beb6-9be8-5a58-be8b-a77a9bbffd9a,576,513-1024,512,True,540,510,True,34,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q031,3b7f143a-e38f-5d11-9219-ef3c808f775a,582,513-1024,512,True,545,510,True,35,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q032,c107828c-a741-55f6-8e0c-446cfbdba215,481,<=512,512,False,445,445,False,34,34,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q033,adb63a6d-b7bd-5396-8e59-1cb9403d2c73,567,513-1024,512,True,524,510,True,41,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q034,32b5d492-2df9-5ed9-ac46-caca5c87097c,476,<=512,512,False,433,433,False,41,41,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q035,05b70e73-30bc-59f9-98c1-7b8ae315ffd0,445,<=512,512,False,401,401,False,42,42,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q036,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,401,<=512,512,False,360,360,False,39,39,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q037,ec485c25-9d3b-5229-9578-6632bd7bacad,444,<=512,512,False,403,403,False,39,39,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q038,5fcaa70b-2b7a-509b-bb78-82c6345a84eb,451,<=512,512,False,406,406,False,43,43,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q039,e2db6251-93c2-54d2-b811-75ba0665e53c,482,<=512,512,False,434,434,False,46,46,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q040,4054aab2-0aa7-5019-b341-077265511add,584,513-1024,512,True,541,510,True,41,0,FULLY_TRUNCATED
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q041,dd3a6ec2-247a-56ab-b2c6-395632758f90,413,<=512,512,False,369,369,False,42,42,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q042,7b17127a-2e14-5b97-afa8-efd13a4368fd,475,<=512,512,False,430,430,False,43,43,FULLY_KEPT
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,S001-Q043,de592e81-e050-536b-8909-32866c85f6c2,481,<=512,512,False,436,436,False,43,43,FULLY_KEPT
