configuration,session_id,eligible_gold_count,R@5,R@10,R@20,MRR,Mean Gold Rank
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S001,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34245314726681186,7.714285714285714
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S002,32,0.34375,0.5625,0.9375,0.31912835841407267,9.59375
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S003,43,0.3023255813953488,0.4418604651162791,0.7209302325581395,0.29554339494354975,15.186046511627907
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S004,32,0.40625,0.5,0.71875,0.24075197911332366,13.28125
BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,S005,26,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.43742232392751423,8.884615384615385
BAAI/bge-m3，max_length=512,S001,21,0.47619047619047616,0.7142857142857143,0.9523809523809523,0.21311069882498454,8.333333333333334
BAAI/bge-m3，max_length=512,S002,32,0.4375,0.6875,0.84375,0.3398276457984336,10.96875
BAAI/bge-m3，max_length=512,S003,43,0.3023255813953488,0.5116279069767442,0.7209302325581395,0.23106633614234257,15.767441860465116
BAAI/bge-m3，max_length=512,S004,32,0.3125,0.53125,0.75,0.2405362925549261,13.0
BAAI/bge-m3，max_length=512,S005,26,0.38461538461538464,0.6153846153846154,0.8846153846153846,0.31145765998707176,9.961538461538462
BAAI/bge-m3，max_length=1024,S001,21,0.47619047619047616,0.7142857142857143,0.9523809523809523,0.21311069882498454,8.333333333333334
BAAI/bge-m3，max_length=1024,S002,32,0.4375,0.6875,0.84375,0.3398276457984336,10.96875
BAAI/bge-m3，max_length=1024,S003,43,0.3023255813953488,0.5116279069767442,0.7209302325581395,0.23106633614234257,15.767441860465116
BAAI/bge-m3，max_length=1024,S004,32,0.3125,0.53125,0.75,0.2405362925549261,13.0
BAAI/bge-m3，max_length=1024,S005,26,0.38461538461538464,0.6153846153846154,0.8846153846153846,0.31145765998707176,9.961538461538462
BAAI/bge-m3，max_length=2048,S001,21,0.47619047619047616,0.7142857142857143,0.9523809523809523,0.21311069882498454,8.333333333333334
BAAI/bge-m3，max_length=2048,S002,32,0.4375,0.6875,0.84375,0.3398276457984336,10.96875
BAAI/bge-m3，max_length=2048,S003,43,0.3023255813953488,0.5116279069767442,0.7209302325581395,0.23106633614234257,15.767441860465116
BAAI/bge-m3，max_length=2048,S004,32,0.3125,0.53125,0.75,0.2405362925549261,13.0
BAAI/bge-m3，max_length=2048,S005,26,0.38461538461538464,0.6153846153846154,0.8846153846153846,0.31145765998707176,9.961538461538462
