kind,item_id,raw_token_count,actual_input_token_count,multi_vector_count,truncated
Query,S001-Q007,45,45,44,False
Query,S001-Q011,36,36,35,False
Query,S001-Q013,66,66,65,False
Query,S001-Q014,32,32,31,False
Query,S001-Q021,48,48,47,False
Query,S001-Q022,32,32,31,False
Query,S001-Q026,57,57,56,False
Query,S001-Q028,34,34,33,False
Query,S001-Q033,44,44,43,False
Query,S001-Q035,39,39,38,False
Query,S001-Q039,35,35,34,False
Query,S001-Q042,36,36,35,False
Query,S001-Q044,34,34,33,False
Query,S001-Q049,60,60,59,False
Query,S002-Q007,36,36,35,False
Query,S002-Q011,23,23,22,False
Query,S002-Q013,38,38,37,False
Query,S002-Q014,34,34,33,False
Query,S002-Q021,49,49,48,False
Query,S002-Q022,47,47,46,False
Query,S002-Q026,50,50,49,False
Query,S002-Q028,65,65,64,False
Query,S002-Q033,49,49,48,False
Query,S002-Q035,70,70,69,False
Query,S002-Q039,46,46,45,False
Query,S002-Q042,55,55,54,False
Query,S002-Q044,46,46,45,False
Query,S002-Q049,48,48,47,False
Query,S002-Q052,37,37,36,False
Query,S002-Q055,34,34,33,False
Query,S002-Q056,32,32,31,False
Query,S002-Q063,61,61,60,False
Query,S002-Q065,41,41,40,False
Query,S002-Q066,51,51,50,False
Query,S002-Q070,33,33,32,False
Query,S003-Q007,35,35,34,False
Query,S003-Q011,30,30,29,False
Query,S003-Q013,40,40,39,False
Query,S003-Q014,33,33,32,False
Query,S003-Q021,41,41,40,False
Query,S003-Q022,32,32,31,False
Query,S003-Q026,45,45,44,False
Query,S003-Q028,46,46,45,False
Query,S003-Q033,51,51,50,False
Query,S003-Q035,36,36,35,False
Query,S003-Q039,46,46,45,False
Query,S003-Q042,39,39,38,False
Query,S003-Q044,32,32,31,False
Query,S003-Q049,45,45,44,False
Query,S003-Q052,67,67,66,False
Query,S003-Q055,41,41,40,False
Query,S003-Q056,48,48,47,False
Query,S003-Q063,31,31,30,False
Query,S003-Q065,33,33,32,False
Query,S003-Q066,39,39,38,False
Query,S003-Q070,36,36,35,False
Query,S003-Q077,46,46,45,False
Query,S003-Q078,34,34,33,False
Query,S003-Q084,66,66,65,False
Query,S003-Q088,48,48,47,False
Query,S003-Q091,34,34,33,False
Query,S004-Q007,36,36,35,False
Query,S004-Q011,47,47,46,False
Query,S004-Q013,43,43,42,False
Query,S004-Q014,38,38,37,False
Query,S004-Q021,43,43,42,False
Query,S004-Q022,66,66,65,False
Query,S004-Q026,83,83,82,False
