config,Retrieval,session_id,eligible_gold_count,R@5,R@10,R@20,MRR,Mean Gold Rank
C3,C3 BGE-small Dense,S001,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34245314726681186,7.714285714285714
C3,C3 BGE-small Dense,S002,32,0.34375,0.5625,0.9375,0.31912835841407267,9.59375
C3,C3 BGE-small Dense,S003,43,0.3023255813953488,0.4418604651162791,0.7209302325581395,0.29554339494354975,15.186046511627907
C3,C3 BGE-small Dense,S004,32,0.40625,0.5,0.71875,0.24075197911332366,13.28125
C3,C3 BGE-small Dense,S005,26,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.43742232392751423,8.884615384615385
M0,BGE-M3 Dense（max_length=1024）,S001,21,0.47619047619047616,0.7142857142857143,0.9523809523809523,0.21311069882498454,8.333333333333334
M0,BGE-M3 Dense（max_length=1024）,S002,32,0.4375,0.6875,0.84375,0.3398276457984336,10.96875
M0,BGE-M3 Dense（max_length=1024）,S003,43,0.3023255813953488,0.5116279069767442,0.7209302325581395,0.23106633614234257,15.767441860465116
M0,BGE-M3 Dense（max_length=1024）,S004,32,0.3125,0.53125,0.75,0.2405362925549261,13.0
M0,BGE-M3 Dense（max_length=1024）,S005,26,0.38461538461538464,0.6153846153846154,0.8846153846153846,0.31145765998707176,9.961538461538462
M1,BGE-M3 Pure Multi-Vector MaxSim,S001,21,0.2857142857142857,0.6666666666666666,1.0,0.215018315018315,8.619047619047619
M1,BGE-M3 Pure Multi-Vector MaxSim,S002,32,0.4375,0.6875,0.8125,0.28587997081205907,10.53125
M1,BGE-M3 Pure Multi-Vector MaxSim,S003,43,0.32558139534883723,0.5116279069767442,0.7674418604651163,0.23887187183249364,15.279069767441861
M1,BGE-M3 Pure Multi-Vector MaxSim,S004,32,0.21875,0.5625,0.75,0.2551429870193691,14.59375
M1,BGE-M3 Pure Multi-Vector MaxSim,S005,26,0.46153846153846156,0.6923076923076923,0.8461538461538461,0.3474577709871827,9.5
M2,C3 Dense Top60 + BGE-M3 Multi-Vector Rerank,S001,21,0.2857142857142857,0.6666666666666666,1.0,0.215018315018315,8.619047619047619
M2,C3 Dense Top60 + BGE-M3 Multi-Vector Rerank,S002,32,0.4375,0.6875,0.8125,0.28587997081205907,10.53125
M2,C3 Dense Top60 + BGE-M3 Multi-Vector Rerank,S003,43,0.32558139534883723,0.5116279069767442,0.7674418604651163,0.23902853536873542,14.837209302325581
M2,C3 Dense Top60 + BGE-M3 Multi-Vector Rerank,S004,32,0.21875,0.5625,0.75,0.2551429870193691,14.59375
M2,C3 Dense Top60 + BGE-M3 Multi-Vector Rerank,S005,26,0.46153846153846156,0.6923076923076923,0.8461538461538461,0.3474577709871827,9.5
