comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,raw_bm25_score,normalized_bm25_score,normal_final_score,fallback_final_score,fallback_applied
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,2,1,0.3853332817554474,0.428148090839386,0.04281480908393859,0.0,0.0,0.3853332817554474,0.428148090839386,True
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,4,5,-1,0.4213857885085837,0.4213857885085837,0.0,3.4066836833953857,0.013431127750174153,0.4213857885085837,0.4213857885085837,False
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,1,0,0.4580552545960735,0.4580552545960735,0.0,2.573745012283325,0.008896795686076306,0.4580552545960735,0.4580552545960735,False
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,7,-1,0.4735709245348651,0.4735709245348651,0.0,0.4690866768360138,0.0031241728312559254,0.4735709245348651,0.4735709245348651,False
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,5,5,0,0.5210597281606046,0.5210597281606046,0.0,0.46786758303642273,0.0031222750256932907,0.5210597281606046,0.5210597281606046,False
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,3,3,0,0.5542152204935292,0.5542152204935292,0.0,0.42261162400245667,0.0030526308462420176,0.5542152204935292,0.5542152204935292,False
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,7,6,1,0.5571226000785828,0.6190251111984253,0.06190251111984246,0.0,0.0,0.5571226000785828,0.6190251111984253,True
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,13,13,0,0.5022851494742595,0.5022851494742595,0.0,0.0878850594162941,0.002583412123881038,0.5022851494742595,0.5022851494742595,False
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,11,11,0,0.5086909268938113,0.5086909268938113,0.0,0.08719626814126968,0.0025825248585229455,0.5086909268938113,0.5086909268938113,False
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,3,1,2,0.5538942396640778,0.6154380440711975,0.06154380440711971,0.0,0.0,0.5538942396640778,0.6154380440711975,True
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,12,9,3,0.49008432626724246,0.544538140296936,0.05445381402969357,0.0,0.0,0.49008432626724246,0.544538140296936,True
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,3,2,1,0.4470715641975403,0.4967461824417114,0.04967461824417113,0.0,0.0,0.4470715641975403,0.4967461824417114,True
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,2,2,0,0.5237617766047571,0.5237617766047571,0.0,0.14224907755851746,0.0026544085989936854,0.5237617766047571,0.5237617766047571,False
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,24,24,0,0.42560397736083017,0.42560397736083017,0.0,0.14224907755851746,0.0026544085989936854,0.42560397736083017,0.42560397736083017,False
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,23,14,9,0.35946385860443114,0.39940428733825684,0.039940428733825695,0.0,0.0,0.35946385860443114,0.39940428733825684,True
H5-W90-ZeroFallback vs H5-W90,S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,1,1,0,0.4686418890953064,0.520713210105896,0.05207132101058959,0.0,0.0,0.4686418890953064,0.520713210105896,True
