Config,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,transition,dense_rank,hybrid_rank,dense_score,raw_bm25_score,normalized_bm25_score,final_score,zero_fallback_applied
H5-W50,H5-W50 vs Dense,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,3,0,0.428148090839386,0.214074045419693,-0.214074045419693,UNCHANGED,3,3,0.428148090839386,0.0,0.0,0.214074045419693,False
H5-W50,H5-W50 vs Dense,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,4,4,0,0.466714084148407,0.24007260594929056,-0.22664147819911643,UNCHANGED,4,4,0.466714084148407,3.4066836833953857,0.013431127750174153,0.24007260594929056,False
H5-W50,H5-W50 vs Dense,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,1,0,0.5079617500305176,0.2584292728582969,-0.24953247717222066,UNCHANGED,1,1,0.5079617500305176,2.573745012283325,0.008896795686076306,0.2584292728582969,False
H5-W50,H5-W50 vs Dense,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,6,0,0.5258427858352661,0.264483479333261,-0.2613593065020051,UNCHANGED,6,6,0.5258427858352661,0.4690866768360138,0.0031241728312559254,0.264483479333261,False
H5-W50,H5-W50 vs Dense,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,5,5,0,0.5786083340644836,0.29086530454508847,-0.2877430295193952,UNCHANGED,5,5,0.5786083340644836,0.46786758303642273,0.0031222750256932907,0.29086530454508847,False
H5-W50,H5-W50 vs Dense,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,3,3,0,0.6154555082321167,0.30925406953917933,-0.30620143869293737,UNCHANGED,3,3,0.6154555082321167,0.42261162400245667,0.0030526308462420176,0.30925406953917933,False
H5-W50,H5-W50 vs Dense,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,7,7,0,0.6190251111984253,0.30951255559921265,-0.30951255559921265,UNCHANGED,7,7,0.6190251111984253,0.0,0.0,0.30951255559921265,False
H5-W50,H5-W50 vs Dense,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,13,14,-1,0.5578075647354126,0.2801954884296468,-0.2776120763057658,UNCHANGED,13,14,0.5578075647354126,0.0878850594162941,0.002583412123881038,0.2801954884296468,False
H5-W50,H5-W50 vs Dense,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,11,12,-1,0.5649251937866211,0.283753859322572,-0.28117133446404907,UNCHANGED,11,12,0.5649251937866211,0.08719626814126968,0.0025825248585229455,0.283753859322572,False
H5-W50,H5-W50 vs Dense,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,3,4,-1,0.6154380440711975,0.30771902203559875,-0.30771902203559875,UNCHANGED,3,4,0.6154380440711975,0.0,0.0,0.30771902203559875,False
H5-W50,H5-W50 vs Dense,S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,12,14,-2,0.544538140296936,0.272269070148468,-0.272269070148468,UNCHANGED,12,14,0.544538140296936,0.0,0.0,0.272269070148468,False
H5-W50,H5-W50 vs Dense,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,3,3,0,0.4967461824417114,0.2483730912208557,-0.2483730912208557,UNCHANGED,3,3,0.4967461824417114,0.0,0.0,0.2483730912208557,False
H5-W50,H5-W50 vs Dense,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,2,2,0,0.5816625952720642,0.29215850193552895,-0.28950409333653526,UNCHANGED,2,2,0.5816625952720642,0.14224907755851746,0.0026544085989936854,0.29215850193552895,False
H5-W50,H5-W50 vs Dense,S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,24,24,0,0.4725983738899231,0.2376263912444584,-0.2349719826454647,UNCHANGED,24,24,0.4725983738899231,0.14224907755851746,0.0026544085989936854,0.2376263912444584,False
H5-W50,H5-W50 vs Dense,S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,23,23,0,0.39940428733825684,0.19970214366912842,-0.19970214366912842,UNCHANGED,23,23,0.39940428733825684,0.0,0.0,0.19970214366912842,False
