Config,BM25 Source,Dense Weight,BM25 Weight,Zero Fallback,R@5,Gold@5,Macro R@5,R@10,R@20,MRR,Mean Gold Rank,Delta vs Dense,Promoted,Demoted,Net,Rescued Query,Hurt Query,Dense Top5 Gold pulled in,Dense Top5 Gold pushed out
H5-W50,H5,0.5,0.5,OFF,0.33116883116883117,51,0.34656859613254964,0.5454545454545454,0.7987012987012987,0.27249632328083506,12.272727272727273,-0.051948051948051965,5,13,-8,4,13,5,13
H5-W60,H5,0.6,0.4,OFF,0.33116883116883117,51,0.34816743334185196,0.538961038961039,0.8051948051948052,0.2769029461900085,12.051948051948052,-0.051948051948051965,4,12,-8,3,12,4,12
H5-W70,H5,0.7,0.3,OFF,0.34415584415584416,53,0.3576262884402419,0.538961038961039,0.8181818181818182,0.2918502290077104,11.954545454545455,-0.038961038961038974,2,8,-6,1,8,2,8
H5-W80,H5,0.8,0.2,OFF,0.35714285714285715,55,0.3701262884402419,0.538961038961039,0.8181818181818182,0.30047152945321265,11.785714285714286,-0.025974025974025983,2,6,-4,1,6,2,6
H5-W90,H5,0.9,0.1,OFF,0.36363636363636365,56,0.3762197589232473,0.5454545454545454,0.8181818181818182,0.30942196838299496,11.688311688311689,-0.019480519480519487,1,4,-3,1,4,1,4
H5-W95,H5,0.95,0.05,OFF,0.38311688311688313,59,0.39801090382485727,0.5454545454545454,0.8181818181818182,0.3222983077299225,11.603896103896103,0.0,0,0,0,0,0,0,0
H5-W100,H5,1.0,0.0,OFF,0.38311688311688313,59,0.39801090382485727,0.5454545454545454,0.8181818181818182,0.31992059520313865,11.545454545454545,0.0,0,0,0,0,0,0,0
H1-W80,H1,0.8,0.2,OFF,0.37662337662337664,58,0.3903185961325496,0.6168831168831169,0.8376623376623377,0.2745243818642566,11.551948051948052,-0.006493506493506496,11,12,-1,8,11,11,12
H1-W90,H1,0.9,0.1,OFF,0.38311688311688313,59,0.39960974103415964,0.5844155844155844,0.8376623376623377,0.2968016586049792,11.487012987012987,0.0,4,4,0,3,4,4,4
H1-W95,H1,0.95,0.05,OFF,0.37012987012987014,57,0.3871097410341596,0.577922077922078,0.8246753246753247,0.2944855401763033,11.584415584415584,-0.012987012987012991,1,3,-2,0,3,1,3
H5-W90-ZeroFallback,H5,0.9,0.1,ON,0.36363636363636365,56,0.3810162705511543,0.577922077922078,0.7922077922077922,0.3066550245327368,12.383116883116884,-0.019480519480519487,3,6,-3,2,5,3,6
