Config,BM25 Source,Dense Weight,BM25 Weight,session_id,Dense R@5,eligible_gold_count,R@5,R@10,R@20,MRR,Mean Gold Rank
H5-W50,H5,0.5,0.5,S001,0.47619047619047616,21,0.47619047619047616,0.7142857142857143,0.9047619047619048,0.33369206707716026,7.857142857142857
H5-W50,H5,0.5,0.5,S002,0.34375,32,0.25,0.53125,0.9375,0.21948410820591271,10.4375
H5-W50,H5,0.5,0.5,S003,0.3023255813953488,43,0.3023255813953488,0.4418604651162791,0.627906976744186,0.2753020191439924,16.627906976744185
H5-W50,H5,0.5,0.5,S004,0.40625,32,0.28125,0.5625,0.75,0.22227380735180408,13.53125
H5-W50,H5,0.5,0.5,S005,0.46153846153846156,26,0.4230769230769231,0.5769230769230769,0.8846153846153846,0.34533402007450453,9.346153846153847
H5-W60,H5,0.6,0.4,S001,0.47619047619047616,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.3342331926182858,7.904761904761905
H5-W60,H5,0.6,0.4,S002,0.34375,32,0.28125,0.5625,0.9375,0.22847489276060706,10.03125
H5-W60,H5,0.6,0.4,S003,0.3023255813953488,43,0.27906976744186046,0.4186046511627907,0.6511627906976745,0.2752545828784219,16.13953488372093
H5-W60,H5,0.6,0.4,S004,0.40625,32,0.28125,0.5625,0.75,0.21364190900531752,13.46875
H5-W60,H5,0.6,0.4,S005,0.46153846153846156,26,0.4230769230769231,0.5769230769230769,0.8846153846153846,0.37017970495479147,9.384615384615385
H5-W70,H5,0.7,0.3,S001,0.47619047619047616,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34018557357066675,7.904761904761905
H5-W70,H5,0.7,0.3,S002,0.34375,32,0.3125,0.59375,0.9375,0.27138872496015354,9.84375
H5-W70,H5,0.7,0.3,S003,0.3023255813953488,43,0.3023255813953488,0.3953488372093023,0.6744186046511628,0.2805400025869185,16.023255813953487
H5-W70,H5,0.7,0.3,S004,0.40625,32,0.3125,0.53125,0.78125,0.20419335859294452,13.40625
H5-W70,H5,0.7,0.3,S005,0.46153846153846156,26,0.38461538461538464,0.6153846153846154,0.8846153846153846,0.4029006364646503,9.307692307692308
H5-W80,H5,0.8,0.2,S001,0.47619047619047616,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34117763706273024,7.714285714285714
H5-W80,H5,0.8,0.2,S002,0.34375,32,0.34375,0.5625,0.9375,0.27688726617298043,9.75
H5-W80,H5,0.8,0.2,S003,0.3023255813953488,43,0.3023255813953488,0.3953488372093023,0.7209302325581395,0.29941690956367073,15.767441860465116
H5-W80,H5,0.8,0.2,S004,0.40625,32,0.34375,0.53125,0.71875,0.21487240617675402,13.28125
H5-W80,H5,0.8,0.2,S005,0.46153846153846156,26,0.38461538461538464,0.6538461538461539,0.8846153846153846,0.4034353958229391,9.153846153846153
H5-W90,H5,0.9,0.1,S001,0.47619047619047616,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34117763706273024,7.761904761904762
H5-W90,H5,0.9,0.1,S002,0.34375,32,0.34375,0.53125,0.9375,0.2857497000354143,9.78125
H5-W90,H5,0.9,0.1,S003,0.3023255813953488,43,0.32558139534883723,0.4418604651162791,0.7209302325581395,0.3012612898829087,15.44186046511628
H5-W90,H5,0.9,0.1,S004,0.40625,32,0.3125,0.53125,0.71875,0.21999545428116857,13.34375
H5-W90,H5,0.9,0.1,S005,0.46153846153846156,26,0.4230769230769231,0.6538461538461539,0.8846153846153846,0.43546153961378875,8.961538461538462
H5-W95,H5,0.95,0.05,S001,0.47619047619047616,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34117763706273024,7.761904761904762
H5-W95,H5,0.95,0.05,S002,0.34375,32,0.34375,0.53125,0.9375,0.3102205995063138,9.71875
H5-W95,H5,0.95,0.05,S003,0.3023255813953488,43,0.3023255813953488,0.4418604651162791,0.7209302325581395,0.32008591046092294,15.325581395348838
H5-W95,H5,0.95,0.05,S004,0.40625,32,0.40625,0.53125,0.71875,0.2313333227618942,13.1875
H5-W95,H5,0.95,0.05,S005,0.46153846153846156,26,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.43742232392751423,8.923076923076923
H5-W100,H5,1.0,0.0,S001,0.47619047619047616,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34245314726681186,7.714285714285714
H5-W100,H5,1.0,0.0,S002,0.34375,32,0.34375,0.5625,0.9375,0.31912835841407267,9.59375
H5-W100,H5,1.0,0.0,S003,0.3023255813953488,43,0.3023255813953488,0.4418604651162791,0.7209302325581395,0.29554339494354975,15.186046511627907
H5-W100,H5,1.0,0.0,S004,0.40625,32,0.40625,0.5,0.71875,0.24075197911332366,13.28125
H5-W100,H5,1.0,0.0,S005,0.46153846153846156,26,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.43742232392751423,8.884615384615385
H1-W80,H1,0.8,0.2,S001,0.47619047619047616,21,0.47619047619047616,0.7619047619047619,0.9047619047619048,0.25126576322228494,8.0
H1-W80,H1,0.8,0.2,S002,0.34375,32,0.375,0.71875,0.9375,0.2991527200173817,9.3125
H1-W80,H1,0.8,0.2,S003,0.3023255813953488,43,0.3023255813953488,0.4883720930232558,0.7674418604651163,0.24476326471353757,15.511627906976743
H1-W80,H1,0.8,0.2,S004,0.40625,32,0.375,0.59375,0.75,0.24156648810893117,12.78125
H1-W80,H1,0.8,0.2,S005,0.46153846153846156,26,0.4230769230769231,0.6153846153846154,0.8846153846153846,0.349484992132051,9.115384615384615
H1-W90,H1,0.9,0.1,S001,0.47619047619047616,21,0.47619047619047616,0.7142857142857143,0.9047619047619048,0.25801179496831667,7.904761904761905
H1-W90,H1,0.9,0.1,S002,0.34375,32,0.40625,0.65625,0.9375,0.33730636531388414,9.21875
H1-W90,H1,0.9,0.1,S003,0.3023255813953488,43,0.27906976744186046,0.4883720930232558,0.7674418604651163,0.26036283663546106,15.279069767441861
H1-W90,H1,0.9,0.1,S004,0.40625,32,0.375,0.5625,0.75,0.2380322710032855,12.875
H1-W90,H1,0.9,0.1,S005,0.46153846153846156,26,0.46153846153846156,0.5769230769230769,0.8846153846153846,0.40703846806787986,9.192307692307692
H1-W95,H1,0.95,0.05,S001,0.47619047619047616,21,0.47619047619047616,0.7142857142857143,0.9047619047619048,0.29420794009303325,7.761904761904762
H1-W95,H1,0.95,0.05,S002,0.34375,32,0.375,0.65625,0.9375,0.32778034920892063,9.40625
H1-W95,H1,0.95,0.05,S003,0.3023255813953488,43,0.27906976744186046,0.46511627906976744,0.7209302325581395,0.25771968887070695,15.348837209302326
H1-W95,H1,0.95,0.05,S004,0.40625,32,0.34375,0.53125,0.75,0.21637365806315995,13.15625
H1-W95,H1,0.95,0.05,S005,0.46153846153846156,26,0.46153846153846156,0.6153846153846154,0.8846153846153846,0.4063065442823228,9.192307692307692
H5-W90-ZeroFallback,H5,0.9,0.1,S001,0.47619047619047616,21,0.47619047619047616,0.7619047619047619,0.9047619047619048,0.42072253143681715,7.523809523809524
H5-W90-ZeroFallback,H5,0.9,0.1,S002,0.34375,32,0.3125,0.625,0.84375,0.2733003535524544,11.1875
H5-W90-ZeroFallback,H5,0.9,0.1,S003,0.3023255813953488,43,0.2558139534883721,0.46511627906976744,0.6976744186046512,0.26334487780077265,16.953488372093023
H5-W90-ZeroFallback,H5,0.9,0.1,S004,0.40625,32,0.4375,0.5,0.6875,0.2470489595802879,13.84375
H5-W90-ZeroFallback,H5,0.9,0.1,S005,0.46153846153846156,26,0.4230769230769231,0.6538461538461539,0.9230769230769231,0.3937899758834015,8.423076923076923
