session_id,query_id,token,category,visible_corpus_size,visible_df,visible_df_rate,local_corpus_size,local_df,local_df_rate,local_minus_visible_df_rate
S001,S001-Q007,的,模板/功能词,3,2,0.6666666666666666,3,2,0.6666666666666666,0.0
S001,S001-Q007,归母,金融词,3,3,1.0,3,3,1.0,0.0
S001,S001-Q007,净利润,金融词,3,3,1.0,3,3,1.0,0.0
S001,S001-Q007,判断,其它,3,0,0.0,3,0,0.0,0.0
S001,S001-Q007,现金流,金融词,3,0,0.0,3,0,0.0,0.0
S001,S001-Q011,的,模板/功能词,7,6,0.8571428571428571,7,6,0.8571428571428571,0.0
S001,S001-Q011,和,模板/功能词,7,3,0.42857142857142855,7,3,0.42857142857142855,0.0
S001,S001-Q011,三年,其它,7,7,1.0,7,7,1.0,0.0
S001,S001-Q011,营业,金融词,7,7,1.0,7,7,1.0,0.0
S001,S001-Q011,收入,金融词,7,7,1.0,7,7,1.0,0.0
S001,S001-Q013,的,模板/功能词,9,8,0.8888888888888888,9,8,0.8888888888888888,0.0
S001,S001-Q013,和,模板/功能词,9,4,0.4444444444444444,9,4,0.4444444444444444,0.0
S001,S001-Q013,与,模板/功能词,9,4,0.4444444444444444,9,4,0.4444444444444444,0.0
S001,S001-Q013,归母,金融词,9,9,1.0,9,9,1.0,0.0
S001,S001-Q013,净利润,金融词,9,9,1.0,9,9,1.0,0.0
S001,S001-Q013,营业,金融词,9,9,1.0,9,9,1.0,0.0
S001,S001-Q013,收入,金融词,9,9,1.0,9,9,1.0,0.0
S001,S001-Q013,总资产,金融词,9,9,1.0,9,9,1.0,0.0
S001,S001-Q014,的,模板/功能词,10,9,0.9,10,9,0.9,0.0
S001,S001-Q014,归母,金融词,10,10,1.0,10,10,1.0,0.0
S001,S001-Q014,净利润,金融词,10,10,1.0,10,10,1.0,0.0
S001,S001-Q014,三年,其它,10,10,1.0,10,10,1.0,0.0
S001,S001-Q014,结论,其它,10,10,1.0,10,10,1.0,0.0
S001,S001-Q021,的,模板/功能词,17,16,0.9411764705882353,17,16,0.9411764705882353,0.0
S001,S001-Q021,归母,金融词,17,17,1.0,17,17,1.0,0.0
S001,S001-Q021,净利润,金融词,17,17,1.0,17,17,1.0,0.0
S001,S001-Q021,结论,其它,17,17,1.0,17,17,1.0,0.0
S001,S001-Q021,总资产,金融词,17,17,1.0,17,17,1.0,0.0
S001,S001-Q021,现金流,金融词,17,1,0.058823529411764705,17,1,0.058823529411764705,0.0
S001,S001-Q021,证据,高区分度任务词,17,1,0.058823529411764705,17,1,0.058823529411764705,0.0
S001,S001-Q022,的,模板/功能词,18,17,0.9444444444444444,18,17,0.9444444444444444,0.0
S001,S001-Q022,和,模板/功能词,18,7,0.3888888888888889,18,7,0.3888888888888889,0.0
S001,S001-Q022,三年,其它,18,18,1.0,18,18,1.0,0.0
S001,S001-Q022,现金流,金融词,18,1,0.05555555555555555,18,1,0.05555555555555555,0.0
S001,S001-Q026,的,模板/功能词,22,21,0.9545454545454546,22,21,0.9545454545454546,0.0
S001,S001-Q026,与,模板/功能词,22,7,0.3181818181818182,22,7,0.3181818181818182,0.0
