Config,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,transition,dense_rank,hybrid_rank,dense_score,raw_bm25_score,normalized_bm25_score,hybrid_final_score
H0,H0 vs Dense,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,3,0,0.428148090839386,0.21605603641034637,-0.2120920544290396,UNCHANGED,3,3,0.428148090839386,0.9469313025474548,0.003963981981306738,0.21605603641034637
H0,H0 vs Dense,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,4,4,0,0.466714084148407,0.23611832651237355,-0.23059575763603343,UNCHANGED,4,4,0.466714084148407,1.6132514476776123,0.005522568876340131,0.23611832651237355
H0,H0 vs Dense,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,2,-1,0.5079617500305176,0.25794380516862386,-0.2500179448618937,UNCHANGED,1,2,0.5079617500305176,2.3406660556793213,0.007925860306730157,0.25794380516862386
H0,H0 vs Dense,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,8,-2,0.5258427858352661,0.2649332520084979,-0.26090953382676824,UNCHANGED,6,8,0.5258427858352661,0.9769659042358398,0.004023718181729664,0.2649332520084979
H0,H0 vs Dense,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,5,5,0,0.5786083340644836,0.29422656944430253,-0.2843817646201811,UNCHANGED,5,5,0.5786083340644836,2.7781643867492676,0.00984480482412147,0.29422656944430253
H0,H0 vs Dense,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,3,4,-1,0.6154555082321167,0.31256638553267435,-0.30288912269944235,UNCHANGED,3,4,0.6154555082321167,2.7434964179992676,0.009677262833232014,0.31256638553267435
H0,H0 vs Dense,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,7,9,-2,0.6190251111984253,0.3114296136849965,-0.3075954975134288,UNCHANGED,7,9,0.6190251111984253,0.8800503015518188,0.003834116171567709,0.3114296136849965
H0,H0 vs Dense,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,13,11,2,0.5578075647354126,0.2847404852521061,-0.2730670794833065,UNCHANGED,13,11,0.5578075647354126,3.1226000785827637,0.011673405768799638,0.2847404852521061
H0,H0 vs Dense,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,11,12,-1,0.5649251937866211,0.28393696236240085,-0.28098823142422025,UNCHANGED,11,12,0.5649251937866211,0.35314539074897766,0.002948730938180571,0.28393696236240085
H0,H0 vs Dense,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,3,6,-3,0.6154380440711975,0.3348822363147346,-0.2805558077564629,DEMOTED,3,6,0.6154380440711975,6.286226749420166,0.054326428558271744,0.3348822363147346
