Config,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
H1,H1 vs H0,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,3,0,0.21605603641034637,0.21541074598035198,-0.000645290429994394
H1,H1 vs H0,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,4,4,0,0.23611832651237355,0.23611832651237355,0.0
H1,H1 vs H0,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,2,2,0,0.25794380516862386,0.25794380516862386,0.0
H1,H1 vs H0,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,8,6,2,0.2649332520084979,0.2643635511728066,-0.0005697008356913003
H1,H1 vs H0,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,5,5,0,0.29422656944430253,0.29092833554568953,-0.003298233898613001
H1,H1 vs H0,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,4,4,0,0.31256638553267435,0.31440685825746495,0.0018404727247905983
H1,H1 vs H0,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,9,9,0,0.3114296136849965,0.3108762364150428,-0.0005533772699536921
H1,H1 vs H0,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,11,11,0,0.2847404852521061,0.2846610378007255,-7.944745138060982e-05
H1,H1 vs H0,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,12,12,0,0.28393696236240085,0.28390935286457225,-2.7609497828595675e-05
H1,H1 vs H0,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,6,2,4,0.3348822363147346,0.3335425374457951,-0.0013396988689395317
H1,H1 vs H0,S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,9,8,1,0.3002211444194702,0.28295035842566685,-0.017270785993803328
H1,H1 vs H0,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,5,5,0,0.2564447880364079,0.2564447880364079,0.0
