Config,Description,session_id,Dense R@5,eligible_gold_count,R@5,R@10,R@20,MRR,Mean Gold Rank
H0,当前 Production Hybrid,S001,0.47619047619047616,21,0.38095238095238093,0.6666666666666666,0.9047619047619048,0.2039868516576591,9.095238095238095
H0,当前 Production Hybrid,S002,0.34375,32,0.3125,0.75,0.90625,0.2791238717709306,9.53125
H0,当前 Production Hybrid,S003,0.3023255813953488,43,0.23255813953488372,0.3953488372093023,0.7209302325581395,0.24500806796479874,17.023255813953487
H0,当前 Production Hybrid,S004,0.40625,32,0.28125,0.65625,0.78125,0.2779058454006694,11.78125
H0,当前 Production Hybrid,S005,0.46153846153846156,26,0.34615384615384615,0.6538461538461539,0.8846153846153846,0.2546096576282335,10.26923076923077
H1,BM25 Query 去噪,S001,0.47619047619047616,21,0.42857142857142855,0.6666666666666666,0.9047619047619048,0.23176462943543688,8.619047619047619
H1,BM25 Query 去噪,S002,0.34375,32,0.28125,0.71875,0.90625,0.2751149177619766,9.6875
H1,BM25 Query 去噪,S003,0.3023255813953488,43,0.2558139534883721,0.46511627906976744,0.7209302325581395,0.25364215291934883,16.11627906976744
H1,BM25 Query 去噪,S004,0.40625,32,0.3125,0.59375,0.75,0.2696569294136582,12.28125
H1,BM25 Query 去噪,S005,0.46153846153846156,26,0.38461538461538464,0.6923076923076923,0.8846153846153846,0.27459098349191224,9.615384615384615
H2,BM25 Page = Keywords Only,S001,0.47619047619047616,21,0.47619047619047616,0.7142857142857143,0.9047619047619048,0.31721687560196876,8.142857142857142
H2,BM25 Page = Keywords Only,S002,0.34375,32,0.25,0.5625,0.9375,0.2041053071128259,10.5625
H2,BM25 Page = Keywords Only,S003,0.3023255813953488,43,0.2558139534883721,0.4883720930232558,0.6046511627906976,0.2713856818688124,17.41860465116279
H2,BM25 Page = Keywords Only,S004,0.40625,32,0.25,0.53125,0.75,0.21141583595811836,14.25
H2,BM25 Page = Keywords Only,S005,0.46153846153846156,26,0.4230769230769231,0.5769230769230769,0.8461538461538461,0.33825776299824745,9.76923076923077
H3,BM25 stopword / 高频模板词过滤,S001,0.47619047619047616,21,0.38095238095238093,0.6190476190476191,0.9047619047619048,0.24508662490028948,9.095238095238095
H3,BM25 stopword / 高频模板词过滤,S002,0.34375,32,0.34375,0.6875,0.9375,0.24087955695098553,9.78125
H3,BM25 stopword / 高频模板词过滤,S003,0.3023255813953488,43,0.2558139534883721,0.46511627906976744,0.6744186046511628,0.2425101501000011,17.46511627906977
H3,BM25 stopword / 高频模板词过滤,S004,0.40625,32,0.28125,0.59375,0.8125,0.23630663868759105,12.25
H3,BM25 stopword / 高频模板词过滤,S005,0.46153846153846156,26,0.38461538461538464,0.6538461538461539,0.8846153846153846,0.2889558093619285,10.192307692307692
H4,Dense Top60 Local-IDF BM25,S001,0.47619047619047616,21,0.38095238095238093,0.6666666666666666,0.9047619047619048,0.2039868516576591,9.095238095238095
H4,Dense Top60 Local-IDF BM25,S002,0.34375,32,0.28125,0.75,0.90625,0.27753657018362904,9.5625
H4,Dense Top60 Local-IDF BM25,S003,0.3023255813953488,43,0.23255813953488372,0.4186046511627907,0.7209302325581395,0.24608537829691676,16.41860465116279
H4,Dense Top60 Local-IDF BM25,S004,0.40625,32,0.28125,0.625,0.78125,0.2778336953285193,11.78125
H4,Dense Top60 Local-IDF BM25,S005,0.46153846153846156,26,0.34615384615384615,0.6538461538461539,0.8846153846153846,0.2546096576282335,10.26923076923077
H5,Combined,S001,0.47619047619047616,21,0.47619047619047616,0.7142857142857143,0.9047619047619048,0.33369206707716026,7.857142857142857
H5,Combined,S002,0.34375,32,0.25,0.53125,0.9375,0.21948410820591271,10.4375
H5,Combined,S003,0.3023255813953488,43,0.3023255813953488,0.4418604651162791,0.627906976744186,0.2753020191439924,16.627906976744185
H5,Combined,S004,0.40625,32,0.28125,0.5625,0.75,0.22227380735180408,13.53125
H5,Combined,S005,0.46153846153846156,26,0.4230769230769231,0.5769230769230769,0.8846153846153846,0.34533402007450453,9.346153846153847
