Checkpoint,Transition,Category,Gold count
C0,DEMOTED,其它,3
C0,DEMOTED,判断修订,5
C0,DEMOTED,反证/反例,4
C0,DEMOTED,实体,3
C0,DEMOTED,年份/数字,2
C0,DEMOTED,指标名,9
C0,DEMOTED,证据层级/证据强度,5
C0,DEMOTED,近似杠杆,1
C0,PROMOTED,信息缺口,1
C0,PROMOTED,其它,1
C0,PROMOTED,判断修订,2
C0,PROMOTED,反证/反例,1
C0,PROMOTED,实体,3
C0,PROMOTED,年份/数字,2
C0,PROMOTED,指标名,5
C0,PROMOTED,证据层级/证据强度,1
C0,PROMOTED,近似杠杆,1
C1,DEMOTED,其它,1
C1,DEMOTED,判断修订,4
C1,DEMOTED,反证/反例,3
C1,DEMOTED,实体,3
C1,DEMOTED,年份/数字,1
C1,DEMOTED,指标名,14
C1,DEMOTED,证据层级/证据强度,6
C1,DEMOTED,近似周转,1
C1,DEMOTED,近似杠杆,1
C1,PROMOTED,信息缺口,1
C1,PROMOTED,判断修订,2
C1,PROMOTED,反证/反例,1
C1,PROMOTED,实体,2
C1,PROMOTED,年份/数字,3
C1,PROMOTED,指标名,7
C1,PROMOTED,证据层级/证据强度,1
C1,PROMOTED,近似杠杆,1
C2,DEMOTED,判断修订,4
C2,DEMOTED,反证/反例,4
C2,DEMOTED,实体,3
C2,DEMOTED,年份/数字,2
C2,DEMOTED,指标名,15
C2,DEMOTED,证据层级/证据强度,5
C2,DEMOTED,近似周转,1
C2,DEMOTED,近似杠杆,1
C2,PROMOTED,判断修订,2
C2,PROMOTED,反证/反例,1
C2,PROMOTED,实体,1
C2,PROMOTED,年份/数字,4
C2,PROMOTED,指标名,5
C2,PROMOTED,证据层级/证据强度,2
C3,DEMOTED,信息缺口,1
C3,DEMOTED,其它,5
C3,DEMOTED,判断修订,5
C3,DEMOTED,反证/反例,3
C3,DEMOTED,基期判断,1
C3,DEMOTED,实体,3
C3,DEMOTED,年份/数字,4
C3,DEMOTED,指标名,15
C3,DEMOTED,证据层级/证据强度,5
C3,DEMOTED,近似周转,2
C3,PROMOTED,判断修订,3
C3,PROMOTED,反证/反例,1
C3,PROMOTED,基期判断,2
C3,PROMOTED,实体,2
C3,PROMOTED,年份/数字,3
C3,PROMOTED,指标名,8
C3,PROMOTED,证据层级/证据强度,2
C3,PROMOTED,近似周转,1
C3,PROMOTED,近似杠杆,1
