Checkpoint,session_id,query_id,visible_page_count,visible_page_ids_hash,bm25_returned_page_count,bm25_nonvisible_page_count,hybrid_nonvisible_page_count,future_page_leak_count,idf_scope,bm25_cache_hit
C0,S001,S001-Q007,3,73d9540442c9a41f73900b69cb19acab43916befb0cf10d13bdafa6f86075707,3,0,0,0,exact query-time visible Page set,True
C0,S001,S001-Q011,7,f138ea1e218d438491f42299fe8fdde7d7075a556123119ceec5a4d21109036d,7,0,0,0,exact query-time visible Page set,True
C0,S001,S001-Q013,9,b777c92e6ac5e5ca081dab6b330d79ba8f63fcd94dd1e3810a99f585db54a2a8,9,0,0,0,exact query-time visible Page set,True
C0,S001,S001-Q014,10,a3db3e382fad539f7f449b2a6c892262055dfe78e2292814d029a310ecd9ba14,10,0,0,0,exact query-time visible Page set,True
C0,S001,S001-Q021,17,550c52bbddee4929c9391a00a2a348208b08280247949b94e1198e264da51ed6,17,0,0,0,exact query-time visible Page set,True
C0,S001,S001-Q022,18,e48f1d1523cd3656f7d36294419233d69a7ff836544c543aa43e1b195074bf17,18,0,0,0,exact query-time visible Page set,True
C0,S001,S001-Q026,22,4fe35b5deb64ed115466ab7547a943f421bf4c8740ddfd23b549da68aaef65a2,22,0,0,0,exact query-time visible Page set,True
C0,S001,S001-Q028,24,c588ab39ddf8026b4a2cf4f6f618bf17a503bdca40abfd303ad5de1d33fd904b,24,0,0,0,exact query-time visible Page set,True
C0,S001,S001-Q033,29,b61282938a91a319a53e0374cdee8d9f74a9cf4b31ad042e50e0bb820b05c61b,29,0,0,0,exact query-time visible Page set,True
C0,S001,S001-Q035,31,bcde256bd70bb608dae0621b57e80b7d6024df8403961058160f39df6920d035,31,0,0,0,exact query-time visible Page set,True
C0,S001,S001-Q039,35,ed1ddfa23a754a45f3a133f0961dfaea32b50e888f9d22ecfd529323963ee33e,35,0,0,0,exact query-time visible Page set,True
C0,S001,S001-Q042,38,58651943d220329ae34d2f0f6af9b91b02f4e07f93d9ef0b682f7ba0d2674718,38,0,0,0,exact query-time visible Page set,True
C0,S001,S001-Q044,40,e42423cf38be0f96a617f92cb3136a8a18150cd080db09e0dbe260be57cfaa7d,40,0,0,0,exact query-time visible Page set,True
C0,S001,S001-Q049,45,45c7002bf1830561c05aa23ba0ac6d1d54d74fb6c6cbf0c86e9ca36ab9f10018,45,0,0,0,exact query-time visible Page set,True
C0,S002,S002-Q007,3,a61048169fd7e186cf327db2aab2eb51158fa6cb74e03e6ca3421797c186cbb0,3,0,0,0,exact query-time visible Page set,True
C0,S002,S002-Q011,7,d743eab20a0f2b71bdead42e2ec01a6cbcff0088611fb898343c7380868f9b40,7,0,0,0,exact query-time visible Page set,True
C0,S002,S002-Q013,9,4d0f797e6b15661bc4baeeb00e6d71ba20044108c564e2be2c4f808337112d51,9,0,0,0,exact query-time visible Page set,True
C0,S002,S002-Q014,10,0231b8ee0b426a699885e3b33e3c93c293e3051b82bd335b2edc965d67c62def,10,0,0,0,exact query-time visible Page set,True
C0,S002,S002-Q021,17,4a8ab168f4aa5acc7453010b63ef587b463bfa117d014dc017c9c0c4e5a6deff,17,0,0,0,exact query-time visible Page set,True
