Checkpoint,Description,Dense R@5,Hybrid R@5,Delta R@5,Promoted Gold,Demoted Gold,Net Gold,session_id,eligible_gold_count,R@5,R@10,R@20,MRR,Mean Gold Rank
C0,C0 — Original Query + Production Summary + Keywords + User,0.3333333333333333,0.19047619047619047,-0.14285714285714285,0,3,-3,S001,21,0.19047619047619047,0.5238095238095238,0.8095238095238095,0.21932062298603652,11.904761904761905
C0,C0 — Original Query + Production Summary + Keywords + User,0.4375,0.3125,-0.125,2,6,-4,S002,32,0.3125,0.5625,0.84375,0.22401595318261983,11.75
C0,C0 — Original Query + Production Summary + Keywords + User,0.23255813953488372,0.23255813953488372,0.0,4,4,0,S003,43,0.23255813953488372,0.37209302325581395,0.5813953488372093,0.20020678793303226,18.930232558139537
C0,C0 — Original Query + Production Summary + Keywords + User,0.21875,0.21875,0.0,3,3,0,S004,32,0.21875,0.375,0.71875,0.16074453800089822,15.78125
C0,C0 — Original Query + Production Summary + Keywords + User,0.46153846153846156,0.3076923076923077,-0.15384615384615385,2,6,-4,S005,26,0.3076923076923077,0.5769230769230769,0.7307692307692307,0.24043327693846728,12.653846153846153
C1,C1 — P2 Query + Production Summary + Keywords + User,0.3333333333333333,0.14285714285714285,-0.19047619047619047,0,4,-4,S001,21,0.14285714285714285,0.5714285714285714,0.8571428571428571,0.19839611099009596,11.571428571428571
C1,C1 — P2 Query + Production Summary + Keywords + User,0.46875,0.3125,-0.15625,1,6,-5,S002,32,0.3125,0.53125,0.8125,0.21405122655122655,13.125
C1,C1 — P2 Query + Production Summary + Keywords + User,0.2558139534883721,0.2558139534883721,0.0,4,4,0,S003,43,0.2558139534883721,0.3953488372093023,0.627906976744186,0.1988291330471016,18.813953488372093
C1,C1 — P2 Query + Production Summary + Keywords + User,0.28125,0.28125,0.0,4,4,0,S004,32,0.28125,0.40625,0.6875,0.1717950289043303,15.21875
C1,C1 — P2 Query + Production Summary + Keywords + User,0.46153846153846156,0.34615384615384615,-0.11538461538461542,2,5,-3,S005,26,0.34615384615384615,0.6153846153846154,0.7692307692307693,0.24558852507768916,12.038461538461538
C2,C2 — P2 Query + Production Summary + Keywords,0.3333333333333333,0.19047619047619047,-0.14285714285714285,0,3,-3,S001,21,0.19047619047619047,0.5238095238095238,0.8571428571428571,0.22864423547196658,11.380952380952381
C2,C2 — P2 Query + Production Summary + Keywords,0.4375,0.3125,-0.125,0,4,-4,S002,32,0.3125,0.59375,0.78125,0.23739082554872026,13.28125
C2,C2 — P2 Query + Production Summary + Keywords,0.3023255813953488,0.2558139534883721,-0.046511627906976716,4,6,-2,S003,43,0.2558139534883721,0.3953488372093023,0.627906976744186,0.23032818404650304,20.906976744186046
C2,C2 — P2 Query + Production Summary + Keywords,0.3125,0.28125,-0.03125,3,4,-1,S004,32,0.28125,0.46875,0.6875,0.20362150558228992,16.375
C2,C2 — P2 Query + Production Summary + Keywords,0.4230769230769231,0.34615384615384615,-0.07692307692307693,2,4,-2,S005,26,0.34615384615384615,0.6538461538461539,0.8076923076923077,0.2694221628045157,11.76923076923077
C3,C3 — P2 Query + 最近上文及 eviction 下文 Summary + Keywords,0.47619047619047616,0.38095238095238093,-0.09523809523809523,0,2,-2,S001,21,0.38095238095238093,0.6666666666666666,0.9047619047619048,0.2039868516576591,9.095238095238095
C3,C3 — P2 Query + 最近上文及 eviction 下文 Summary + Keywords,0.34375,0.3125,-0.03125,5,6,-1,S002,32,0.3125,0.75,0.90625,0.2791238717709306,9.53125
C3,C3 — P2 Query + 最近上文及 eviction 下文 Summary + Keywords,0.3023255813953488,0.23255813953488372,-0.0697674418604651,3,6,-3,S003,43,0.23255813953488372,0.3953488372093023,0.7209302325581395,0.24500806796479874,17.023255813953487
C3,C3 — P2 Query + 最近上文及 eviction 下文 Summary + Keywords,0.40625,0.28125,-0.125,4,8,-4,S004,32,0.28125,0.65625,0.78125,0.2779058454006694,11.78125
C3,C3 — P2 Query + 最近上文及 eviction 下文 Summary + Keywords,0.46153846153846156,0.34615384615384615,-0.11538461538461542,0,3,-3,S005,26,0.34615384615384615,0.6538461538461539,0.8846153846153846,0.2546096576282335,10.26923076923077
