model,kind,item_id,session_id,source_turn_id,raw_text_token_count,official_instruction_added,selected_max_length,truncated
aspire/acge_text_embedding,Page,2631e802-75be-5089-9418-baece6a717cf,S001,S001-Q001,427,False,1024,False
aspire/acge_text_embedding,Page,dea63c61-1950-5f6a-bdd9-1323f83f3b37,S001,S001-Q002,464,False,1024,False
aspire/acge_text_embedding,Page,e7eefead-7365-5540-b914-0d6077a14d8c,S001,S001-Q003,527,False,1024,False
aspire/acge_text_embedding,Page,8322bc48-f2e3-5603-ae53-97917cf35a39,S001,S001-Q004,551,False,1024,False
aspire/acge_text_embedding,Page,70d0daf9-01a8-5e0f-9341-e20464515e43,S001,S001-Q005,517,False,1024,False
aspire/acge_text_embedding,Page,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001,S001-Q006,560,False,1024,False
aspire/acge_text_embedding,Page,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001,S001-Q007,549,False,1024,False
aspire/acge_text_embedding,Page,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001,S001-Q008,589,False,1024,False
aspire/acge_text_embedding,Page,ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0,S001,S001-Q009,561,False,1024,False
aspire/acge_text_embedding,Page,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,S001,S001-Q010,569,False,1024,False
aspire/acge_text_embedding,Page,1de06218-dc21-5ec3-9e23-c5d58a375fd9,S001,S001-Q011,565,False,1024,False
aspire/acge_text_embedding,Page,34fa3574-894f-575c-b9b0-0a183473746e,S001,S001-Q012,559,False,1024,False
aspire/acge_text_embedding,Page,7c06f308-8022-5f54-a63c-ab30458f4115,S001,S001-Q013,428,False,1024,False
aspire/acge_text_embedding,Page,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001,S001-Q014,600,False,1024,False
aspire/acge_text_embedding,Page,f1228bac-12d1-520f-9787-52a8cdcd49db,S001,S001-Q015,577,False,1024,False
aspire/acge_text_embedding,Page,2ec87be4-468b-5498-889b-13f43f4ee222,S001,S001-Q016,597,False,1024,False
aspire/acge_text_embedding,Page,71a788a3-0077-5908-a7f4-d02349fd6e1c,S001,S001-Q017,659,False,1024,False
aspire/acge_text_embedding,Page,55e7e466-3b1c-5014-85fc-2a14618ce254,S001,S001-Q018,552,False,1024,False
aspire/acge_text_embedding,Page,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001,S001-Q019,593,False,1024,False
aspire/acge_text_embedding,Page,77cecfad-195f-539e-b105-acf49d23a9c6,S001,S001-Q020,604,False,1024,False
aspire/acge_text_embedding,Page,28a3b6de-dd4b-5bf8-919e-169ce12b1349,S001,S001-Q021,602,False,1024,False
aspire/acge_text_embedding,Page,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001,S001-Q022,590,False,1024,False
aspire/acge_text_embedding,Page,d5c03971-3795-5256-a75f-b3921d61a92d,S001,S001-Q023,588,False,1024,False
aspire/acge_text_embedding,Page,204ccd02-0a09-5bee-9d12-d6469c1688e8,S001,S001-Q024,596,False,1024,False
aspire/acge_text_embedding,Page,33eb4d66-a4c5-5429-b3bd-48948bb5d443,S001,S001-Q025,598,False,1024,False
aspire/acge_text_embedding,Page,812b1a36-c36b-58cb-882e-3759ed7c7c58,S001,S001-Q026,595,False,1024,False
aspire/acge_text_embedding,Page,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001,S001-Q027,600,False,1024,False
aspire/acge_text_embedding,Page,fb76b32a-859d-5228-b170-550c026c1646,S001,S001-Q028,571,False,1024,False
aspire/acge_text_embedding,Page,b4497adc-7393-57c0-8917-ce3372fbd151,S001,S001-Q029,595,False,1024,False
aspire/acge_text_embedding,Page,6f47beb6-9be8-5a58-be8b-a77a9bbffd9a,S001,S001-Q030,578,False,1024,False
aspire/acge_text_embedding,Page,3b7f143a-e38f-5d11-9219-ef3c808f775a,S001,S001-Q031,584,False,1024,False
aspire/acge_text_embedding,Page,c107828c-a741-55f6-8e0c-446cfbdba215,S001,S001-Q032,483,False,1024,False
aspire/acge_text_embedding,Page,adb63a6d-b7bd-5396-8e59-1cb9403d2c73,S001,S001-Q033,569,False,1024,False
aspire/acge_text_embedding,Page,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001,S001-Q034,478,False,1024,False
aspire/acge_text_embedding,Page,05b70e73-30bc-59f9-98c1-7b8ae315ffd0,S001,S001-Q035,447,False,1024,False
aspire/acge_text_embedding,Page,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001,S001-Q036,403,False,1024,False
aspire/acge_text_embedding,Page,ec485c25-9d3b-5229-9578-6632bd7bacad,S001,S001-Q037,446,False,1024,False
aspire/acge_text_embedding,Page,5fcaa70b-2b7a-509b-bb78-82c6345a84eb,S001,S001-Q038,453,False,1024,False
aspire/acge_text_embedding,Page,e2db6251-93c2-54d2-b811-75ba0665e53c,S001,S001-Q039,484,False,1024,False
aspire/acge_text_embedding,Page,4054aab2-0aa7-5019-b341-077265511add,S001,S001-Q040,586,False,1024,False
aspire/acge_text_embedding,Page,dd3a6ec2-247a-56ab-b2c6-395632758f90,S001,S001-Q041,415,False,1024,False
aspire/acge_text_embedding,Page,7b17127a-2e14-5b97-afa8-efd13a4368fd,S001,S001-Q042,477,False,1024,False
aspire/acge_text_embedding,Page,de592e81-e050-536b-8909-32866c85f6c2,S001,S001-Q043,483,False,1024,False
aspire/acge_text_embedding,Page,989a0de5-bebd-56a4-97a0-84ff3f9ae051,S001,S001-Q044,460,False,1024,False
aspire/acge_text_embedding,Page,dc5bd854-533a-501d-bb9c-f3d1b7c06fde,S001,S001-Q045,596,False,1024,False
aspire/acge_text_embedding,Page,cf78bbdc-fc14-56f3-b099-3b40129e0af9,S001,S001-Q046,476,False,1024,False
aspire/acge_text_embedding,Page,9f8ff8ed-0916-5409-aa52-750fa5f30a1c,S001,S001-Q047,496,False,1024,False
aspire/acge_text_embedding,Page,f70d87dd-c4b9-59de-a761-869308b1818b,S002,S002-Q001,415,False,1024,False
aspire/acge_text_embedding,Page,ceb187fe-1602-54a0-9ed7-224c7816f53e,S002,S002-Q002,496,False,1024,False
aspire/acge_text_embedding,Page,5d1eccd0-c642-585e-9c32-5450ef208a4b,S002,S002-Q003,444,False,1024,False
aspire/acge_text_embedding,Page,37f703bf-173c-56df-b339-f52774261c6e,S002,S002-Q004,436,False,1024,False
aspire/acge_text_embedding,Page,4061a539-8cec-524a-9a35-60f71e908abb,S002,S002-Q005,469,False,1024,False
aspire/acge_text_embedding,Page,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002,S002-Q006,487,False,1024,False
aspire/acge_text_embedding,Page,03c3981b-3b09-56ca-a545-043c8ff0d240,S002,S002-Q007,479,False,1024,False
aspire/acge_text_embedding,Page,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002,S002-Q008,523,False,1024,False
aspire/acge_text_embedding,Page,ffe3f8c5-2f7a-5645-ac8f-b41d05a11638,S002,S002-Q009,401,False,1024,False
aspire/acge_text_embedding,Page,6b4b9646-98e5-5584-bb4f-cc3b2b4e51d0,S002,S002-Q010,496,False,1024,False
aspire/acge_text_embedding,Page,6e877c55-d5b4-5992-9e95-5c482212a7c9,S002,S002-Q011,458,False,1024,False
aspire/acge_text_embedding,Page,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002,S002-Q012,477,False,1024,False
aspire/acge_text_embedding,Page,1489a6a2-1be1-5d95-99ec-ac3f42b06c35,S002,S002-Q013,478,False,1024,False
aspire/acge_text_embedding,Page,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002,S002-Q014,384,False,1024,False
aspire/acge_text_embedding,Page,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002,S002-Q015,386,False,1024,False
aspire/acge_text_embedding,Page,8abb5364-9164-5a46-826a-a0fde69d88a8,S002,S002-Q016,507,False,1024,False
aspire/acge_text_embedding,Page,0c762a14-8087-5bb0-a22d-c86667c2dabe,S002,S002-Q017,531,False,1024,False
aspire/acge_text_embedding,Page,b304ab57-b911-5070-88ba-fca4f39a37e8,S002,S002-Q018,573,False,1024,False
aspire/acge_text_embedding,Page,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002,S002-Q019,572,False,1024,False
aspire/acge_text_embedding,Page,9f71d35e-bf23-5ea1-9ed6-f9fb77b5ea80,S002,S002-Q020,535,False,1024,False
aspire/acge_text_embedding,Page,c8f4e926-30e6-5f69-bf75-7901bee08448,S002,S002-Q021,515,False,1024,False
aspire/acge_text_embedding,Page,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002,S002-Q022,415,False,1024,False
aspire/acge_text_embedding,Page,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002,S002-Q023,393,False,1024,False
aspire/acge_text_embedding,Page,6d98ca26-e346-5273-b057-bb7822359930,S002,S002-Q024,542,False,1024,False
aspire/acge_text_embedding,Page,50ece86f-0b7d-5180-8833-108f08b16aa0,S002,S002-Q025,400,False,1024,False
