comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,Model,extreme_movement
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,3,0,0.428148090839386,0.5265161395072937,0.09836804866790771,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,4,7,-3,0.466714084148407,0.5591145157814026,0.0924004316329956,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,4,-3,0.5079617500305176,0.601430356502533,0.09346860647201538,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,9,-3,0.5258427858352661,0.549710214138031,0.023867428302764893,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,5,2,3,0.5786083340644836,0.6549700498580933,0.07636171579360962,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,3,3,0,0.6154555082321167,0.6787667274475098,0.06331121921539307,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,7,7,0,0.6190251111984253,0.6430687308311462,0.024043619632720947,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,13,10,3,0.5578075647354126,0.5900402069091797,0.03223264217376709,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,11,15,-4,0.5649251937866211,0.5802565217018127,0.01533132791519165,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,3,2,1,0.6154380440711975,0.655705988407135,0.0402679443359375,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,12,10,2,0.544538140296936,0.6157937049865723,0.07125556468963623,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,3,12,-9,0.4967461824417114,0.39054709672927856,-0.10619908571243286,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,2,11,-9,0.5816625952720642,0.5799185037612915,-0.001744091510772705,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,24,17,7,0.4725983738899231,0.5619143843650818,0.08931601047515869,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,23,22,1,0.39940428733825684,0.43167799711227417,0.032273709774017334,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,1,6,-5,0.520713210105896,0.48800864815711975,-0.032704561948776245,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,13,22,-9,0.4627559781074524,0.45421460270881653,-0.008541375398635864,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,7,35,-28,0.516326904296875,0.37007278203964233,-0.14625412225723267,aspire/acge_text_embedding,
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,4,29,-25,0.41738826036453247,0.30596494674682617,-0.1114233136177063,aspire/acge_text_embedding,TOP5_TO_AFTER20
aspire/acge_text_embedding vs BAAI/bge-small-zh-v1.5,S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,6,14,-8,0.41101235151290894,0.34143489599227905,-0.06957745552062988,aspire/acge_text_embedding,
