Model,session_id,eligible_gold_count,R@5,R@10,R@20,MRR,Mean Gold Rank
BAAI/bge-small-zh-v1.5,S001,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34245314726681186,7.714285714285714
BAAI/bge-small-zh-v1.5,S002,32,0.34375,0.5625,0.9375,0.31912835841407267,9.59375
BAAI/bge-small-zh-v1.5,S003,43,0.3023255813953488,0.4418604651162791,0.7209302325581395,0.29554339494354975,15.186046511627907
BAAI/bge-small-zh-v1.5,S004,32,0.40625,0.5,0.71875,0.24075197911332366,13.28125
BAAI/bge-small-zh-v1.5,S005,26,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.43742232392751423,8.884615384615385
aspire/acge_text_embedding,S001,21,0.23809523809523808,0.5238095238095238,0.7619047619047619,0.19154298082869511,12.761904761904763
aspire/acge_text_embedding,S002,32,0.3125,0.59375,0.9375,0.3048469387755102,9.78125
aspire/acge_text_embedding,S003,43,0.2558139534883721,0.37209302325581395,0.7209302325581395,0.2778585200597182,19.0
aspire/acge_text_embedding,S004,32,0.21875,0.4375,0.75,0.2006932123031194,14.65625
aspire/acge_text_embedding,S005,26,0.38461538461538464,0.5769230769230769,0.9230769230769231,0.36034841744184304,9.5
