session_id,query_id,score_type,best_gold_score,strongest_nongold_score,margin,positive_margin
S001,S001-Q007,C3 Dense,0.428148090839386,0.44324883818626404,-0.015100747346878052,False
S001,S001-Q007,Task cosine,0.43682717523898784,0.4713401181304525,-0.03451294289146467,False
S001,S001-Q007,Fact cosine,0.5087131565042231,0.51951003074646,-0.010796874242236854,False
S001,S001-Q007,Relation cosine,0.5284590125083923,0.7264408306146163,-0.19798181810622395,False
S001,S001-Q007,Field-aware final,0.48390793519896286,0.5266618529556507,-0.042753917756687854,False
S001,S001-Q011,C3 Dense,0.5079617500305176,0.5064416527748108,0.0015200972557067871,True
S001,S001-Q011,Task cosine,0.49198156547436506,0.5844851484587877,-0.09250358298442268,False
S001,S001-Q011,Fact cosine,0.5035907330269058,0.5223541882460342,-0.018763455219128367,False
S001,S001-Q011,Relation cosine,0.4732203169596384,0.5089868610493458,-0.035766544089707364,False
S001,S001-Q011,Field-aware final,0.4928729827924361,0.5314123773785862,-0.03853939458615008,False
S001,S001-Q013,C3 Dense,0.5786083340644836,0.609824001789093,-0.031215667724609375,False
S001,S001-Q013,Task cosine,0.5649248957633972,0.6116903192812395,-0.0467654235178423,False
S001,S001-Q013,Fact cosine,0.4943726354089541,0.4970738886042767,-0.002701253195322606,False
S001,S001-Q013,Relation cosine,0.7967080473899841,0.812075365309439,-0.015367317919454893,False
S001,S001-Q013,Field-aware final,0.5830606219469374,0.6015138888934304,-0.018453266946492963,False
S001,S001-Q014,C3 Dense,0.6154555082321167,0.6346849203109741,-0.019229412078857422,False
S001,S001-Q014,Task cosine,0.7096154689788818,0.7429391145706177,-0.03332364559173584,False
S001,S001-Q014,Fact cosine,0.5522105693817139,0.5899381393157327,-0.03772756993401882,False
S001,S001-Q014,Relation cosine,0.7251718044281006,0.737168356011412,-0.011996551583311366,False
S001,S001-Q014,Field-aware final,0.6497647762298584,0.6774985692486319,-0.027733793018773545,False
S001,S001-Q021,C3 Dense,0.6190251111984253,0.6910616159439087,-0.0720365047454834,False
S001,S001-Q021,Task cosine,0.5681714754206821,0.7330970764160156,-0.1649256009953335,False
S001,S001-Q021,Fact cosine,0.49784693109076805,0.5467257499694824,-0.04887881887871437,False
S001,S001-Q021,Relation cosine,0.7083996534347534,0.7890861630439758,-0.08068650960922241,False
S001,S001-Q021,Field-aware final,0.5680872932915308,0.6525732159614563,-0.0844859226699255,False
S001,S001-Q022,C3 Dense,0.5649251937866211,0.6551344394683838,-0.0902092456817627,False
S001,S001-Q022,Task cosine,0.5834726442976382,0.6881795339691361,-0.10470688967149788,False
S001,S001-Q022,Fact cosine,0.5183084011077881,0.5302546340378901,-0.011946232930101996,False
S001,S001-Q022,Relation cosine,0.6631109714508057,0.7573345899581909,-0.09422361850738525,False
S001,S001-Q022,Field-aware final,0.5698497553699647,0.6330514356655963,-0.06320168029563156,False
S001,S001-Q026,C3 Dense,0.6154380440711975,0.6284938454627991,-0.013055801391601562,False
S001,S001-Q026,Task cosine,0.6499810218811035,0.7734725475311279,-0.12349152565002441,False
S001,S001-Q026,Fact cosine,0.47201898527258546,0.49527713656425476,-0.023258151291669305,False
S001,S001-Q026,Relation cosine,0.7085006237030029,0.7662737369537354,-0.05777311325073242,False
S001,S001-Q026,Field-aware final,0.5905001276020762,0.6397090435028077,-0.04920891590073151,False
S001,S001-Q028,C3 Dense,0.4967461824417114,0.5079004764556885,-0.01115429401397705,False
S001,S001-Q028,Task cosine,0.569586787795233,0.7551232430412318,-0.18553645524599882,False
S001,S001-Q028,Fact cosine,0.3906160295009613,0.4186389148235321,-0.0280228853225708,False
S001,S001-Q028,Relation cosine,0.48136991262435913,0.5406133258708313,-0.0592434132464722,False
S001,S001-Q028,Field-aware final,0.4803551094433496,0.5776275283200719,-0.09727241887672233,False
S001,S001-Q033,C3 Dense,0.5816625952720642,0.6031854152679443,-0.021522819995880127,False
S001,S001-Q033,Task cosine,0.6336531043052673,0.7600962376651905,-0.1264431333599232,False
S001,S001-Q033,Fact cosine,0.489030659198761,0.4964938757713959,-0.007463216572634934,False
S001,S001-Q033,Relation cosine,0.6660489242018551,0.7193774319437227,-0.05332850774186759,False
S001,S001-Q033,Field-aware final,0.5751062704334065,0.6338485616930905,-0.058742291259684,False
S001,S001-Q035,C3 Dense,0.39940428733825684,0.518825888633728,-0.11942160129547119,False
S001,S001-Q035,Task cosine,0.41347387433052063,0.6457467079162598,-0.23227283358573914,False
S001,S001-Q035,Fact cosine,0.4540957510471344,0.45121475763408886,0.0028809934130455406,True
