session_id,query_id,gold_page_id,gold_source_turn_id,dense_rank,field_rank,rank_improvement,transition,dense_score,task_cosine,fact_cosine,relation_cosine,final_score
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,3,0,UNCHANGED,0.428148090839386,0.43682717523898784,0.5087131565042231,0.5284590125083923,0.48390793519896286
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,3,-2,UNCHANGED,0.5079617500305176,0.49198156547436506,0.5035907330269058,0.4732203169596384,0.4928729827924361
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,4,5,-1,UNCHANGED,0.466714084148407,0.46911823381402895,0.49340671222289945,0.3479005901754254,0.45459009644985643
S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,5,3,2,UNCHANGED,0.5786083340644836,0.5649248957633972,0.4943726354089541,0.7967080473899841,0.5830606219469374
S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,9,-3,UNCHANGED,0.5258427858352661,0.44199543845626343,0.47759818763711304,0.5970624685287476,0.48724994414310013
S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,3,2,1,UNCHANGED,0.6154555082321167,0.7096154689788818,0.5522105693817139,0.7251718044281006,0.6497647762298584
S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,7,13,-6,UNCHANGED,0.6190251111984253,0.5681714754206821,0.49784693109076805,0.7083996534347534,0.5680872932915308
S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,11,9,2,UNCHANGED,0.5649251937866211,0.5659469185972664,0.5183084011077881,0.6631109714508057,0.566324322172183
S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,13,8,5,UNCHANGED,0.5578075647354126,0.5834726442976382,0.5138495564460754,0.6546043753623962,0.5698497553699647
S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,12,17,-5,UNCHANGED,0.544538140296936,0.5346931537802907,0.4666505436092939,0.6915895938873291,0.5388553977332997
S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,3,8,-5,DEMOTED,0.6154380440711975,0.6499810218811035,0.47201898527258546,0.7085006237030029,0.5905001276020762
S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,3,8,-5,DEMOTED,0.4967461824417114,0.569586787795233,0.3906160295009613,0.48136991262435913,0.4803551094433496
S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,2,5,-3,UNCHANGED,0.5816625952720642,0.6336531043052673,0.4710881096773213,0.6660489242018551,0.5751062704334065
S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,24,23,1,UNCHANGED,0.4725983738899231,0.46564120054244995,0.489030659198761,0.6466777920722961,0.5112043023109436
S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,23,23,0,UNCHANGED,0.39940428733825684,0.41347387433052063,0.4540957510471344,0.6137167581150984,0.4697712017740817
S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,13,21,-8,UNCHANGED,0.4627559781074524,0.49388521909713745,0.44528788002061126,0.6291054487228394,0.5014903293916674
S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,1,18,-17,DEMOTED,0.520713210105896,0.5287435054779053,0.4482439129497953,0.5909473652212242,0.5089844404153251
S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,7,33,-26,UNCHANGED,0.516326904296875,0.5925068259239197,0.4335106869644336,0.5187581777572632,0.514158640706794
S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,4,1,3,UNCHANGED,0.41738826036453247,0.5588834285736084,0.35502364367387557,0.4870896629744567,0.46298076149388495
S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,6,24,-18,UNCHANGED,0.41101235151290894,0.4497133493423462,0.3462868928909302,0.385322630405426,0.3954646229743958
S001,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,11,5,6,PROMOTED,0.6024776697158813,0.6488795667218904,0.4447955125326529,0.4692202769780489,0.5313140870974271
S002,S002-Q007,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,3,1,2,UNCHANGED,0.37535619735717773,0.41390957915243975,0.45871662847498823,0.6133056052509311,0.4717116041011574
S002,S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,7,6,1,UNCHANGED,0.35073208808898926,0.48079195504140587,0.3931114311880726,0.4534530584160159,0.44025196617499457
S002,S002-Q011,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,5,3,2,UNCHANGED,0.3698793947696686,0.5188315510749817,0.4042426347732544,0.4850290706771058,0.46623548847471563
S002,S002-Q013,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,9,9,0,UNCHANGED,0.3458166718482971,0.44363385102950637,0.31201515340985697,0.471999464750258,0.396659494725797
S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,5,5,0,UNCHANGED,0.3781711459159851,0.4860752522945404,0.3171995173215578,0.48784929513931274,0.41887976687430184
S002,S002-Q014,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002-Q008,6,5,1,PROMOTED,0.47782114148139954,0.5295553207397461,0.5036745967671035,0.4990137815475464,0.5130947233122491
S002,S002-Q021,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002-Q015,15,16,-1,UNCHANGED,0.6479976177215576,0.44313376803003357,0.7601697444915771,0.4572025511981577,0.5727619152482759
S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,7,7,0,UNCHANGED,0.7325950860977173,0.6937774237261667,0.7990385770224677,0.7149344086647034,0.7401132820323946
S002,S002-Q022,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,11,4,7,PROMOTED,0.7154013514518738,0.7449981266257913,0.792309450644818,0.71186363697052,0.7572957583023479
