variant,baseline,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
V2-Global,C3,V2-Global vs C3,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,3,0,0.428148090839386,0.3834194242954254,-0.04472866654396057
V2-Global,C3,V2-Global vs C3,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,4,5,-1,0.466714084148407,0.4596266746520996,-0.007087409496307373
V2-Global,C3,V2-Global vs C3,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,2,-1,0.5079617500305176,0.5114926099777222,0.00353085994720459
V2-Global,C3,V2-Global vs C3,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,8,-2,0.5258427858352661,0.5066484808921814,-0.019194304943084717
V2-Global,C3,V2-Global vs C3,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,5,3,2,0.5786083340644836,0.5561391711235046,-0.022469162940979004
V2-Global,C3,V2-Global vs C3,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,3,2,1,0.6154555082321167,0.6503340601921082,0.034878551959991455
V2-Global,C3,V2-Global vs C3,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,7,6,1,0.6190251111984253,0.6376816630363464,0.018656551837921143
V2-Global,C3,V2-Global vs C3,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,13,14,-1,0.5578075647354126,0.5380111932754517,-0.019796371459960938
V2-Global,C3,V2-Global vs C3,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,11,9,2,0.5649251937866211,0.5590584874153137,-0.005866706371307373
V2-Global,C3,V2-Global vs C3,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,3,9,-6,0.6154380440711975,0.5651918649673462,-0.05024617910385132
V2-Global,C3,V2-Global vs C3,S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,12,14,-2,0.544538140296936,0.5143659710884094,-0.03017216920852661
V2-Global,C3,V2-Global vs C3,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,3,5,-2,0.4967461824417114,0.47617530822753906,-0.020570874214172363
V2-Global,C3,V2-Global vs C3,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,2,12,-10,0.5816625952720642,0.5203909277915955,-0.06127166748046875
V2-Global,C3,V2-Global vs C3,S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,24,17,7,0.4725983738899231,0.5028499960899353,0.030251622200012207
V2-Global,C3,V2-Global vs C3,S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,23,20,3,0.39940428733825684,0.4668748676776886,0.06747058033943176
V2-Global,C3,V2-Global vs C3,S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,1,8,-7,0.520713210105896,0.48561811447143555,-0.03509509563446045
V2-Global,C3,V2-Global vs C3,S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,13,6,7,0.4627559781074524,0.4913351833820343,0.02857920527458191
