Retrieval,session_id,eligible_gold_count,R@5,R@10,R@20,MRR,Mean Gold Rank
C3,S001,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34245314726681186,7.714285714285714
C3,S002,32,0.34375,0.5625,0.9375,0.31912835841407267,9.59375
C3,S003,43,0.3023255813953488,0.4418604651162791,0.7209302325581395,0.29554339494354975,15.186046511627907
C3,S004,32,0.40625,0.5,0.71875,0.24075197911332366,13.28125
C3,S005,26,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.43742232392751423,8.884615384615385
Field-aware V1,S001,21,0.38095238095238093,0.6190476190476191,0.7619047619047619,0.24866142311794487,11.476190476190476
Field-aware V1,S002,32,0.34375,0.5625,0.75,0.29259688723974436,12.28125
Field-aware V1,S003,43,0.3488372093023256,0.4883720930232558,0.6976744186046512,0.3257692324544551,14.116279069767442
Field-aware V1,S004,32,0.28125,0.53125,0.78125,0.2493204610529172,13.125
Field-aware V1,S005,26,0.34615384615384615,0.6538461538461539,0.8846153846153846,0.4309835045129163,9.153846153846153
V2-Global,S001,21,0.3333333333333333,0.6666666666666666,0.9523809523809523,0.21527777777777776,9.095238095238095
V2-Global,S002,32,0.34375,0.59375,0.78125,0.33694062723565826,12.375
V2-Global,S003,43,0.2558139534883721,0.3488372093023256,0.46511627906976744,0.17899862619249823,20.488372093023255
V2-Global,S004,32,0.25,0.5,0.75,0.2340109361235546,14.5
V2-Global,S005,26,0.34615384615384615,0.5769230769230769,0.8076923076923077,0.2543837654413854,11.653846153846153
V2-Field-Rerank,S001,21,0.3333333333333333,0.6190476190476191,0.8571428571428571,0.266782622139765,10.0
V2-Field-Rerank,S002,32,0.28125,0.46875,0.75,0.2901649276649277,12.6875
V2-Field-Rerank,S003,43,0.27906976744186046,0.37209302325581395,0.6511627906976745,0.29056239344700885,17.790697674418606
V2-Field-Rerank,S004,32,0.28125,0.5,0.59375,0.24816442951845502,16.28125
V2-Field-Rerank,S005,26,0.2692307692307692,0.46153846153846156,0.8076923076923077,0.191612499700735,13.73076923076923
