Model,kind,session_id,item_id,source_turn_id,token_count,max_length,truncated,summary_tokens,summary_tokens_kept,summary_truncated,keywords_tokens,keywords_tokens_kept,keywords_status
Alibaba-NLP/gte-multilingual-base,Page,S001,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,316,1024,False,277,277,False,37,37,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,dea63c61-1950-5f6a-bdd9-1323f83f3b37,S001-Q002,342,1024,False,300,300,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,e7eefead-7365-5540-b914-0d6077a14d8c,S001-Q003,387,1024,False,348,348,False,37,37,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,8322bc48-f2e3-5603-ae53-97917cf35a39,S001-Q004,407,1024,False,365,365,False,40,40,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,70d0daf9-01a8-5e0f-9341-e20464515e43,S001-Q005,382,1024,False,348,348,False,32,32,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,406,1024,False,366,366,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,401,1024,False,364,364,False,35,35,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,428,1024,False,394,394,False,32,32,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0,S001-Q009,412,1024,False,378,378,False,32,32,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,S001-Q010,421,1024,False,385,385,False,34,34,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,1de06218-dc21-5ec3-9e23-c5d58a375fd9,S001-Q011,415,1024,False,380,380,False,33,33,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,411,1024,False,381,381,False,28,28,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,7c06f308-8022-5f54-a63c-ab30458f4115,S001-Q013,313,1024,False,278,278,False,33,33,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,439,1024,False,403,403,False,34,34,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,425,1024,False,388,388,False,35,35,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,2ec87be4-468b-5498-889b-13f43f4ee222,S001-Q016,440,1024,False,401,401,False,37,37,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,71a788a3-0077-5908-a7f4-d02349fd6e1c,S001-Q017,493,1024,False,453,453,False,38,38,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,404,1024,False,368,368,False,34,34,FULLY_KEPT
Alibaba-NLP/gte-multilingual-base,Page,S001,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,439,1024,False,402,402,False,35,35,FULLY_KEPT
