Model,Type,session_id,eligible_gold_count,R@5,R@10,R@20,MRR,Mean Gold Rank
BAAI/bge-small-zh-v1.5,基线,S001,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34245314726681186,7.714285714285714
BAAI/bge-small-zh-v1.5,基线,S002,32,0.34375,0.5625,0.9375,0.31912835841407267,9.59375
BAAI/bge-small-zh-v1.5,基线,S003,43,0.3023255813953488,0.4418604651162791,0.7209302325581395,0.29554339494354975,15.186046511627907
BAAI/bge-small-zh-v1.5,基线,S004,32,0.40625,0.5,0.71875,0.24075197911332366,13.28125
BAAI/bge-small-zh-v1.5,基线,S005,26,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.43742232392751423,8.884615384615385
qcsun/financial-embedding,金融,S001,21,0.3333333333333333,0.6666666666666666,0.9523809523809523,0.33057345745315675,8.380952380952381
qcsun/financial-embedding,金融,S002,32,0.40625,0.5,0.78125,0.3436059272193726,13.125
qcsun/financial-embedding,金融,S003,43,0.3023255813953488,0.4418604651162791,0.7441860465116279,0.30624277934232685,15.930232558139535
qcsun/financial-embedding,金融,S004,32,0.3125,0.5,0.6875,0.2225104038710636,14.0
qcsun/financial-embedding,金融,S005,26,0.38461538461538464,0.6153846153846154,0.7307692307692307,0.37952604217429414,11.26923076923077
BalyasnyAI/multilingual-e5-base,金融,S001,21,0.38095238095238093,0.5714285714285714,0.9523809523809523,0.23073995721054547,9.238095238095237
BalyasnyAI/multilingual-e5-base,金融,S002,32,0.40625,0.625,0.84375,0.38199168556311414,11.0
BalyasnyAI/multilingual-e5-base,金融,S003,43,0.32558139534883723,0.4418604651162791,0.7441860465116279,0.2988394044895593,14.604651162790697
BalyasnyAI/multilingual-e5-base,金融,S004,32,0.28125,0.53125,0.875,0.2220311963169106,11.1875
BalyasnyAI/multilingual-e5-base,金融,S005,26,0.4230769230769231,0.6153846153846154,0.8846153846153846,0.353313062066932,10.576923076923077
Alibaba-NLP/gte-multilingual-base,通用,S001,21,0.2857142857142857,0.6190476190476191,0.9047619047619048,0.2553622303622304,9.666666666666666
Alibaba-NLP/gte-multilingual-base,通用,S002,32,0.34375,0.65625,0.9375,0.2826267821568574,9.625
Alibaba-NLP/gte-multilingual-base,通用,S003,43,0.27906976744186046,0.4883720930232558,0.6744186046511628,0.22958336375246022,18.41860465116279
Alibaba-NLP/gte-multilingual-base,通用,S004,32,0.40625,0.5625,0.71875,0.2730254961347398,14.0
Alibaba-NLP/gte-multilingual-base,通用,S005,26,0.3076923076923077,0.7307692307692307,0.9230769230769231,0.24542853340431195,9.5
