session_id,query_id,c3_gold_ranks,llm_gold_ranks,transition
S001,S001-Q007,[3],[3],UNCHANGED
S001,S001-Q011,"[4, 1]","[4, 1]",UNCHANGED
S001,S001-Q013,"[6, 5]","[6, 8]",HURT
S001,S001-Q014,[3],[3],UNCHANGED
S001,S001-Q021,[7],[7],UNCHANGED
S001,S001-Q022,"[13, 11]","[13, 11]",UNCHANGED
S001,S001-Q026,"[3, 12]","[3, 12]",UNCHANGED
S001,S001-Q028,[3],[17],HURT
S001,S001-Q033,"[2, 24]","[2, 24]",UNCHANGED
S001,S001-Q035,[23],[23],UNCHANGED
S001,S001-Q039,"[1, 13]","[17, 15]",HURT
S001,S001-Q042,[7],[7],UNCHANGED
S001,S001-Q044,"[4, 6]","[4, 6]",UNCHANGED
S001,S001-Q049,[11],[10],UNCHANGED
S002,S002-Q007,[3],[3],UNCHANGED
S002,S002-Q011,"[7, 5]","[7, 5]",UNCHANGED
S002,S002-Q013,"[9, 5]","[9, 5]",UNCHANGED
S002,S002-Q014,[6],[6],UNCHANGED
S002,S002-Q021,[15],[16],UNCHANGED
S002,S002-Q022,"[11, 7]","[11, 7]",UNCHANGED
S002,S002-Q026,"[8, 10]","[8, 10]",UNCHANGED
S002,S002-Q028,[2],[2],UNCHANGED
S002,S002-Q033,"[2, 11]","[2, 11]",UNCHANGED
S002,S002-Q035,[11],[11],UNCHANGED
S002,S002-Q039,"[13, 2]","[20, 14]",HURT
S002,S002-Q044,[4],[4],UNCHANGED
S002,S002-Q049,[4],[11],HURT
S002,S002-Q052,"[1, 15]","[1, 15]",UNCHANGED
S002,S002-Q055,"[16, 12]","[11, 2]",RESCUED
S002,S002-Q056,[36],[36],UNCHANGED
S002,S002-Q063,[11],[11],UNCHANGED
S002,S002-Q065,"[1, 6]","[1, 6]",UNCHANGED
S002,S002-Q066,"[1, 11]","[1, 11]",UNCHANGED
S002,S002-Q070,[11],[11],UNCHANGED
S003,S003-Q007,[2],[2],UNCHANGED
S003,S003-Q011,"[4, 1]","[4, 2]",UNCHANGED
S003,S003-Q013,"[6, 5]","[6, 5]",UNCHANGED
S003,S003-Q014,[1],[1],UNCHANGED
S003,S003-Q021,[7],[7],UNCHANGED
S003,S003-Q022,"[1, 3]","[1, 3]",UNCHANGED
S003,S003-Q026,"[15, 7]","[15, 7]",UNCHANGED
S003,S003-Q028,[6],[10],UNCHANGED
S003,S003-Q033,"[12, 21]","[12, 21]",UNCHANGED
S003,S003-Q035,[17],[15],UNCHANGED
S003,S003-Q039,"[2, 29]","[19, 29]",HURT
S003,S003-Q042,[6],[7],UNCHANGED
S003,S003-Q044,"[33, 15]","[33, 15]",UNCHANGED
S003,S003-Q049,[22],[22],UNCHANGED
S003,S003-Q052,"[10, 15]","[10, 15]",UNCHANGED
S003,S003-Q055,"[41, 11]","[41, 11]",UNCHANGED
S003,S003-Q056,[3],[3],UNCHANGED
S003,S003-Q063,[19],[11],UNCHANGED
S003,S003-Q065,"[18, 14]","[18, 14]",UNCHANGED
S003,S003-Q066,"[1, 18]","[2, 9]",UNCHANGED
S003,S003-Q070,[4],[4],UNCHANGED
S003,S003-Q077,"[54, 24]","[54, 24]",UNCHANGED
S003,S003-Q078,"[5, 47]","[6, 47]",HURT
S003,S003-Q084,[30],[30],UNCHANGED
S003,S003-Q088,"[12, 48]","[19, 48]",UNCHANGED
S003,S003-Q091,"[22, 3, 23]","[22, 7, 23]",HURT
S004,S004-Q007,[3],[3],UNCHANGED
S004,S004-Q011,"[7, 1]","[7, 1]",UNCHANGED
S004,S004-Q013,"[8, 5]","[6, 9]",HURT
S004,S004-Q014,[2],[3],UNCHANGED
S004,S004-Q021,[11],[8],UNCHANGED
S004,S004-Q022,"[3, 4]","[1, 4]",UNCHANGED
S004,S004-Q026,"[18, 14]","[19, 18]",UNCHANGED
S004,S004-Q028,[8],[15],UNCHANGED
S004,S004-Q033,"[5, 19]","[19, 18]",HURT
S004,S004-Q035,[3],[3],UNCHANGED
S004,S004-Q039,"[4, 21]","[4, 21]",UNCHANGED
S004,S004-Q042,[4],[8],HURT
S004,S004-Q044,"[40, 28]","[40, 28]",UNCHANGED
S004,S004-Q049,[22],[22],UNCHANGED
S004,S004-Q052,"[36, 17]","[36, 8]",UNCHANGED
S004,S004-Q055,"[25, 33]","[25, 33]",UNCHANGED
S004,S004-Q056,[3],[3],UNCHANGED
S004,S004-Q063,[26],[26],UNCHANGED
S004,S004-Q065,"[12, 2]","[5, 9]",UNCHANGED
S004,S004-Q066,"[15, 22]","[15, 22]",UNCHANGED
S004,S004-Q070,[4],[16],HURT
S005,S005-Q007,[2],[2],UNCHANGED
S005,S005-Q011,"[7, 2]","[7, 2]",UNCHANGED
S005,S005-Q013,"[9, 1]","[9, 1]",UNCHANGED
S005,S005-Q014,[4],[4],UNCHANGED
S005,S005-Q021,[4],[13],HURT
S005,S005-Q022,"[11, 14]","[6, 18]",UNCHANGED
S005,S005-Q026,"[5, 10]","[17, 20]",HURT
S005,S005-Q028,[13],[12],UNCHANGED
S005,S005-Q033,"[1, 2]","[1, 2]",UNCHANGED
S005,S005-Q035,[5],[7],HURT
S005,S005-Q039,"[21, 9]","[21, 15]",UNCHANGED
S005,S005-Q044,[1],[2],UNCHANGED
S005,S005-Q049,[1],[2],UNCHANGED
S005,S005-Q052,"[1, 26]","[1, 26]",UNCHANGED
S005,S005-Q055,"[24, 7]","[24, 6]",UNCHANGED
S005,S005-Q056,[17],[17],UNCHANGED
