query_id,batch_index,candidate_count,unique_score_count,all_candidates_tied,scores,candidate_page_ids,cache_hit_this_run,prompt_tokens,completion_tokens
S001-Q007,1,3,1,True,"[100.0, 100.0, 100.0]","[""dea63c61-1950-5f6a-bdd9-1323f83f3b37"", ""e7eefead-7365-5540-b914-0d6077a14d8c"", ""2631e802-75be-5089-9418-baece6a717cf""]",True,1475,133
S001-Q011,1,5,1,True,"[0.0, 0.0, 0.0, 0.0, 0.0]","[""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"", ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"", ""8322bc48-f2e3-5603-ae53-97917cf35a39"", ""2631e802-75be-5089-9418-baece6a717cf"", ""70d0daf9-01a8-5e0f-9341-e20464515e43""]",True,2393,213
S001-Q011,2,2,2,False,"[90.0, 85.0]","[""e7eefead-7365-5540-b914-0d6077a14d8c"", ""dea63c61-1950-5f6a-bdd9-1323f83f3b37""]",True,1108,94
S001-Q013,1,5,5,False,"[95.0, 90.0, 85.0, 30.0, 40.0]","[""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"", ""8322bc48-f2e3-5603-ae53-97917cf35a39"", ""ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0"", ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"", ""9b4b60a1-f0f9-5368-b4ce-b441752321bb""]",True,2561,216
S001-Q013,2,4,1,True,"[100.0, 100.0, 100.0, 100.0]","[""2631e802-75be-5089-9418-baece6a717cf"", ""70d0daf9-01a8-5e0f-9341-e20464515e43"", ""e7eefead-7365-5540-b914-0d6077a14d8c"", ""dea63c61-1950-5f6a-bdd9-1323f83f3b37""]",True,1920,176
S001-Q014,1,5,2,False,"[0.0, 100.0, 0.0, 0.0, 0.0]","[""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"", ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"", ""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"", ""ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0"", ""8322bc48-f2e3-5603-ae53-97917cf35a39""]",True,2530,216
S001-Q014,2,5,5,False,"[90.0, 85.0, 80.0, 75.0, 70.0]","[""2631e802-75be-5089-9418-baece6a717cf"", ""dfaf0dfd-1943-54e1-99a3-0690c5a9cb38"", ""e7eefead-7365-5540-b914-0d6077a14d8c"", ""dea63c61-1950-5f6a-bdd9-1323f83f3b37"", ""70d0daf9-01a8-5e0f-9341-e20464515e43""]",True,2343,220
S001-Q021,1,5,3,False,"[100.0, 100.0, 80.0, 90.0, 90.0]","[""7c06f308-8022-5f54-a63c-ab30458f4115"", ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"", ""289ba3d6-8b24-5c77-8df9-7af211ee1007"", ""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"", ""34fa3574-894f-575c-b9b0-0a183473746e""]",True,2471,214
S001-Q021,2,5,1,True,"[0.0, 0.0, 0.0, 0.0, 0.0]","[""9b4b60a1-f0f9-5368-b4ce-b441752321bb"", ""f1228bac-12d1-520f-9787-52a8cdcd49db"", ""ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0"", ""2ec87be4-468b-5498-889b-13f43f4ee222"", ""1de06218-dc21-5ec3-9e23-c5d58a375fd9""]",True,2583,218
S001-Q021,3,5,5,False,"[100.0, 80.0, 90.0, 85.0, 95.0]","[""8322bc48-f2e3-5603-ae53-97917cf35a39"", ""71a788a3-0077-5908-a7f4-d02349fd6e1c"", ""dfaf0dfd-1943-54e1-99a3-0690c5a9cb38"", ""70d0daf9-01a8-5e0f-9341-e20464515e43"", ""2631e802-75be-5089-9418-baece6a717cf""]",True,2516,217
