requirement_id,session_id,query_id,gold_members,is_or,old_20way_rank,batch5_rank,rank_change,transition
S001-Q007::E1,S001,S001-Q007,"[""S001-Q001""]",False,3,3,0,UNCHANGED
S001-Q011::E1,S001,S001-Q011,"[""S001-Q001""]",False,4,6,-2,DEMOTED
S001-Q011::E2,S001,S001-Q011,"[""S001-Q007""]",False,1,3,-2,UNCHANGED
S001-Q013::E1,S001,S001-Q013,"[""S001-Q001""]",False,6,1,5,PROMOTED
S001-Q013::E2,S001,S001-Q013,"[""S001-Q006""]",False,8,8,0,UNCHANGED
S001-Q014::E1,S001,S001-Q014,"[""S001-Q008""]",False,3,8,-5,DEMOTED
S001-Q021::E1,S001,S001-Q021,"[""S001-Q015""]",False,7,14,-7,UNCHANGED
S001-Q022::E1,S001,S001-Q022,"[""S001-Q012""]",False,13,9,4,UNCHANGED
S001-Q022::E2,S001,S001-Q022,"[""S001-Q018""]",False,11,7,4,UNCHANGED
S001-Q026::E1,S001,S001-Q026,"[""S001-Q014""]",False,3,19,-16,DEMOTED
S001-Q026::E2,S001,S001-Q026,"[""S001-Q019""]",False,12,15,-3,UNCHANGED
S001-Q028::E1,S001,S001-Q028,"[""S001-Q022""]",False,17,15,2,UNCHANGED
S001-Q033::E1,S001,S001-Q033,"[""S001-Q023""]",False,2,2,0,UNCHANGED
S001-Q033::E2,S001,S001-Q033,"[""S001-Q029""]",False,24,24,0,UNCHANGED
S001-Q035::E1,S001,S001-Q035,"[""S001-Q029""]",False,23,23,0,UNCHANGED
S001-Q039::E1,S001,S001-Q039,"[""S001-Q027""]",False,17,7,10,UNCHANGED
S001-Q039::E2,S001,S001-Q039,"[""S001-Q032""]",False,15,15,0,UNCHANGED
S001-Q042::E1,S001,S001-Q042,"[""S001-Q036""]",False,7,10,-3,UNCHANGED
S001-Q044::E1,S001,S001-Q044,"[""S001-Q034""]",False,4,4,0,UNCHANGED
S001-Q044::E2,S001,S001-Q044,"[""S001-Q040""]",False,6,6,0,UNCHANGED
S001-Q049::E1,S001,S001-Q049,"[""S001-Q043""]",False,10,19,-9,UNCHANGED
S002-Q007::E1,S002,S002-Q007,"[""S002-Q001""]",False,3,3,0,UNCHANGED
S002-Q011::E1,S002,S002-Q011,"[""S002-Q001""]",False,7,7,0,UNCHANGED
S002-Q011::E2,S002,S002-Q011,"[""S002-Q007""]",False,5,5,0,UNCHANGED
S002-Q013::E1,S002,S002-Q013,"[""S002-Q001""]",False,9,8,1,UNCHANGED
S002-Q013::E2,S002,S002-Q013,"[""S002-Q006""]",False,5,9,-4,DEMOTED
S002-Q014::E1,S002,S002-Q014,"[""S002-Q008""]",False,6,1,5,PROMOTED
S002-Q021::E1,S002,S002-Q021,"[""S002-Q015""]",False,16,6,10,UNCHANGED
S002-Q022::E1,S002,S002-Q022,"[""S002-Q012""]",False,11,10,1,UNCHANGED
S002-Q022::E2,S002,S002-Q022,"[""S002-Q018""]",False,7,11,-4,UNCHANGED
