session_id,query_id,c3_gold_ranks,llm_gold_ranks,transition
S001,S001-Q007,[3],[3],UNCHANGED
S001,S001-Q011,"[4, 1]","[6, 3]",UNCHANGED
S001,S001-Q013,"[6, 8]","[1, 8]",RESCUED
S001,S001-Q014,[3],[8],HURT
S001,S001-Q021,[7],[14],UNCHANGED
S001,S001-Q022,"[13, 11]","[9, 7]",UNCHANGED
S001,S001-Q026,"[3, 12]","[19, 15]",HURT
S001,S001-Q028,[17],[15],UNCHANGED
S001,S001-Q033,"[2, 24]","[2, 24]",UNCHANGED
S001,S001-Q035,[23],[23],UNCHANGED
S001,S001-Q039,"[17, 15]","[7, 15]",UNCHANGED
S001,S001-Q042,[7],[10],UNCHANGED
S001,S001-Q044,"[4, 6]","[4, 6]",UNCHANGED
S001,S001-Q049,[10],[19],UNCHANGED
S002,S002-Q007,[3],[3],UNCHANGED
S002,S002-Q011,"[7, 5]","[7, 5]",UNCHANGED
S002,S002-Q013,"[9, 5]","[8, 9]",HURT
S002,S002-Q014,[6],[1],RESCUED
S002,S002-Q021,[16],[6],UNCHANGED
S002,S002-Q022,"[11, 7]","[10, 11]",UNCHANGED
S002,S002-Q026,"[8, 10]","[3, 5]",RESCUED
S002,S002-Q028,[2],[2],UNCHANGED
S002,S002-Q033,"[2, 11]","[2, 16]",UNCHANGED
S002,S002-Q035,[11],[9],UNCHANGED
S002,S002-Q039,"[20, 14]","[20, 16]",UNCHANGED
S002,S002-Q044,[4],[4],UNCHANGED
S002,S002-Q049,[11],[13],UNCHANGED
S002,S002-Q052,"[1, 15]","[1, 11]",UNCHANGED
S002,S002-Q055,"[11, 2]","[1, 10]",UNCHANGED
S002,S002-Q056,[36],[36],UNCHANGED
S002,S002-Q063,[11],[10],UNCHANGED
S002,S002-Q065,"[1, 6]","[1, 6]",UNCHANGED
S002,S002-Q066,"[1, 11]","[1, 12]",UNCHANGED
S002,S002-Q070,[11],[9],UNCHANGED
S003,S003-Q007,[2],[2],UNCHANGED
S003,S003-Q011,"[4, 2]","[6, 4]",UNCHANGED
S003,S003-Q013,"[6, 5]","[2, 8]",UNCHANGED
S003,S003-Q014,[1],[6],HURT
S003,S003-Q021,[7],[4],RESCUED
S003,S003-Q022,"[1, 3]","[1, 7]",UNCHANGED
S003,S003-Q026,"[15, 7]","[12, 18]",UNCHANGED
S003,S003-Q028,[10],[17],UNCHANGED
S003,S003-Q033,"[12, 21]","[12, 21]",UNCHANGED
S003,S003-Q035,[15],[17],UNCHANGED
S003,S003-Q039,"[19, 29]","[18, 29]",UNCHANGED
S003,S003-Q042,[7],[6],UNCHANGED
S003,S003-Q044,"[33, 15]","[33, 16]",UNCHANGED
S003,S003-Q049,[22],[22],UNCHANGED
S003,S003-Q052,"[10, 15]","[15, 13]",UNCHANGED
S003,S003-Q055,"[41, 11]","[41, 3]",RESCUED
S003,S003-Q056,[3],[8],HURT
S003,S003-Q063,[11],[10],UNCHANGED
S003,S003-Q065,"[18, 14]","[14, 8]",UNCHANGED
S003,S003-Q066,"[2, 9]","[2, 15]",UNCHANGED
S003,S003-Q070,[4],[4],UNCHANGED
S003,S003-Q077,"[54, 24]","[54, 24]",UNCHANGED
S003,S003-Q078,"[6, 47]","[17, 47]",UNCHANGED
S003,S003-Q084,[30],[30],UNCHANGED
S003,S003-Q088,"[19, 48]","[18, 48]",UNCHANGED
S003,S003-Q091,"[22, 7, 23]","[22, 11, 23]",UNCHANGED
S004,S004-Q007,[3],[3],UNCHANGED
S004,S004-Q011,"[7, 1]","[3, 1]",UNCHANGED
S004,S004-Q013,"[6, 9]","[3, 9]",RESCUED
S004,S004-Q014,[3],[5],UNCHANGED
S004,S004-Q021,[8],[12],UNCHANGED
S004,S004-Q022,"[1, 4]","[2, 9]",UNCHANGED
S004,S004-Q026,"[19, 18]","[10, 18]",UNCHANGED
S004,S004-Q028,[15],[17],UNCHANGED
S004,S004-Q033,"[19, 18]","[20, 12]",UNCHANGED
S004,S004-Q035,[3],[14],HURT
S004,S004-Q039,"[4, 21]","[13, 21]",HURT
S004,S004-Q042,[8],[4],RESCUED
S004,S004-Q044,"[40, 28]","[40, 28]",UNCHANGED
S004,S004-Q049,[22],[22],UNCHANGED
S004,S004-Q052,"[36, 8]","[36, 7]",UNCHANGED
S004,S004-Q055,"[25, 33]","[25, 33]",UNCHANGED
S004,S004-Q056,[3],[14],HURT
S004,S004-Q063,[26],[26],UNCHANGED
S004,S004-Q065,"[5, 9]","[12, 8]",HURT
S004,S004-Q066,"[15, 22]","[9, 22]",UNCHANGED
S004,S004-Q070,[16],[13],UNCHANGED
S005,S005-Q007,[2],[2],UNCHANGED
S005,S005-Q011,"[7, 2]","[7, 2]",UNCHANGED
S005,S005-Q013,"[9, 1]","[5, 1]",UNCHANGED
S005,S005-Q014,[4],[4],UNCHANGED
S005,S005-Q021,[13],[4],RESCUED
S005,S005-Q022,"[6, 18]","[8, 11]",UNCHANGED
S005,S005-Q026,"[17, 20]","[17, 15]",UNCHANGED
S005,S005-Q028,[12],[12],UNCHANGED
S005,S005-Q033,"[1, 2]","[1, 2]",UNCHANGED
S005,S005-Q035,[7],[20],UNCHANGED
S005,S005-Q039,"[21, 15]","[21, 13]",UNCHANGED
S005,S005-Q044,[2],[4],UNCHANGED
S005,S005-Q049,[2],[2],UNCHANGED
S005,S005-Q052,"[1, 26]","[1, 26]",UNCHANGED
S005,S005-Q055,"[24, 6]","[24, 3]",RESCUED
S005,S005-Q056,[17],[12],UNCHANGED
