session_id,query_id,c3_gold_ranks,llm_gold_ranks,transition
S001,S001-Q007,[3],[3],UNCHANGED
S001,S001-Q011,"[4, 1]","[6, 3]",UNCHANGED
S001,S001-Q013,"[6, 5]","[1, 8]",UNCHANGED
S001,S001-Q014,[3],[8],HURT
S001,S001-Q021,[7],[14],UNCHANGED
S001,S001-Q022,"[13, 11]","[9, 7]",UNCHANGED
S001,S001-Q026,"[3, 12]","[19, 15]",HURT
S001,S001-Q028,[3],[15],HURT
S001,S001-Q033,"[2, 24]","[2, 24]",UNCHANGED
S001,S001-Q035,[23],[23],UNCHANGED
S001,S001-Q039,"[1, 13]","[7, 15]",HURT
S001,S001-Q042,[7],[10],UNCHANGED
S001,S001-Q044,"[4, 6]","[4, 6]",UNCHANGED
S001,S001-Q049,[11],[19],UNCHANGED
S002,S002-Q007,[3],[3],UNCHANGED
S002,S002-Q011,"[7, 5]","[7, 5]",UNCHANGED
S002,S002-Q013,"[9, 5]","[8, 9]",HURT
S002,S002-Q014,[6],[1],RESCUED
S002,S002-Q021,[15],[6],UNCHANGED
S002,S002-Q022,"[11, 7]","[10, 11]",UNCHANGED
S002,S002-Q026,"[8, 10]","[3, 5]",RESCUED
S002,S002-Q028,[2],[2],UNCHANGED
S002,S002-Q033,"[2, 11]","[2, 16]",UNCHANGED
S002,S002-Q035,[11],[9],UNCHANGED
S002,S002-Q039,"[13, 2]","[20, 16]",HURT
S002,S002-Q044,[4],[4],UNCHANGED
S002,S002-Q049,[4],[13],HURT
S002,S002-Q052,"[1, 15]","[1, 11]",UNCHANGED
S002,S002-Q055,"[16, 12]","[1, 10]",RESCUED
S002,S002-Q056,[36],[36],UNCHANGED
S002,S002-Q063,[11],[10],UNCHANGED
S002,S002-Q065,"[1, 6]","[1, 6]",UNCHANGED
S002,S002-Q066,"[1, 11]","[1, 12]",UNCHANGED
S002,S002-Q070,[11],[9],UNCHANGED
S003,S003-Q007,[2],[2],UNCHANGED
S003,S003-Q011,"[4, 1]","[6, 4]",UNCHANGED
S003,S003-Q013,"[6, 5]","[2, 8]",UNCHANGED
S003,S003-Q014,[1],[6],HURT
S003,S003-Q021,[7],[4],RESCUED
S003,S003-Q022,"[1, 3]","[1, 7]",UNCHANGED
S003,S003-Q026,"[15, 7]","[12, 18]",UNCHANGED
S003,S003-Q028,[6],[17],UNCHANGED
S003,S003-Q033,"[12, 21]","[12, 21]",UNCHANGED
S003,S003-Q035,[17],[17],UNCHANGED
S003,S003-Q039,"[2, 29]","[18, 29]",HURT
S003,S003-Q042,[6],[6],UNCHANGED
S003,S003-Q044,"[33, 15]","[33, 16]",UNCHANGED
S003,S003-Q049,[22],[22],UNCHANGED
S003,S003-Q052,"[10, 15]","[15, 13]",UNCHANGED
S003,S003-Q055,"[41, 11]","[41, 3]",RESCUED
S003,S003-Q056,[3],[8],HURT
S003,S003-Q063,[19],[10],UNCHANGED
S003,S003-Q065,"[18, 14]","[14, 8]",UNCHANGED
S003,S003-Q066,"[1, 18]","[2, 15]",UNCHANGED
S003,S003-Q070,[4],[4],UNCHANGED
S003,S003-Q077,"[54, 24]","[54, 24]",UNCHANGED
S003,S003-Q078,"[5, 47]","[17, 47]",HURT
S003,S003-Q084,[30],[30],UNCHANGED
S003,S003-Q088,"[12, 48]","[18, 48]",UNCHANGED
S003,S003-Q091,"[22, 3, 23]","[22, 11, 23]",HURT
S004,S004-Q007,[3],[3],UNCHANGED
S004,S004-Q011,"[7, 1]","[3, 1]",UNCHANGED
S004,S004-Q013,"[8, 5]","[3, 9]",UNCHANGED
S004,S004-Q014,[2],[5],UNCHANGED
S004,S004-Q021,[11],[12],UNCHANGED
S004,S004-Q022,"[3, 4]","[2, 9]",UNCHANGED
S004,S004-Q026,"[18, 14]","[10, 18]",UNCHANGED
S004,S004-Q028,[8],[17],UNCHANGED
S004,S004-Q033,"[5, 19]","[20, 12]",HURT
S004,S004-Q035,[3],[14],HURT
S004,S004-Q039,"[4, 21]","[13, 21]",HURT
S004,S004-Q042,[4],[4],UNCHANGED
S004,S004-Q044,"[40, 28]","[40, 28]",UNCHANGED
S004,S004-Q049,[22],[22],UNCHANGED
S004,S004-Q052,"[36, 17]","[36, 7]",UNCHANGED
S004,S004-Q055,"[25, 33]","[25, 33]",UNCHANGED
S004,S004-Q056,[3],[14],HURT
S004,S004-Q063,[26],[26],UNCHANGED
S004,S004-Q065,"[12, 2]","[12, 8]",HURT
S004,S004-Q066,"[15, 22]","[9, 22]",UNCHANGED
S004,S004-Q070,[4],[13],HURT
S005,S005-Q007,[2],[2],UNCHANGED
S005,S005-Q011,"[7, 2]","[7, 2]",UNCHANGED
S005,S005-Q013,"[9, 1]","[5, 1]",UNCHANGED
S005,S005-Q014,[4],[4],UNCHANGED
S005,S005-Q021,[4],[4],UNCHANGED
S005,S005-Q022,"[11, 14]","[8, 11]",UNCHANGED
S005,S005-Q026,"[5, 10]","[17, 15]",HURT
S005,S005-Q028,[13],[12],UNCHANGED
S005,S005-Q033,"[1, 2]","[1, 2]",UNCHANGED
S005,S005-Q035,[5],[20],HURT
S005,S005-Q039,"[21, 9]","[21, 13]",UNCHANGED
S005,S005-Q044,[1],[4],UNCHANGED
S005,S005-Q049,[1],[2],UNCHANGED
S005,S005-Q052,"[1, 26]","[1, 26]",UNCHANGED
S005,S005-Q055,"[24, 7]","[24, 3]",RESCUED
S005,S005-Q056,[17],[12],UNCHANGED
