baseline,config,comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,3,0,0.428148090839386,0.5867940187454224,0.15864592790603638
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,4,6,-2,0.466714084148407,0.5853128433227539,0.11859875917434692
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,4,-3,0.5079617500305176,0.6065503358840942,0.09858858585357666
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,6,9,-3,0.5258427858352661,0.6467055678367615,0.12086278200149536
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,5,4,1,0.5786083340644836,0.6664960980415344,0.08788776397705078
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,3,2,1,0.6154555082321167,0.6770979166030884,0.06164240837097168
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,7,12,-5,0.6190251111984253,0.6458772420883179,0.026852130889892578
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,13,10,3,0.5578075647354126,0.6709951758384705,0.11318761110305786
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,11,13,-2,0.5649251937866211,0.6568208932876587,0.0918956995010376
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,3,5,-2,0.6154380440711975,0.6846210360527039,0.06918299198150635
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,12,9,3,0.544538140296936,0.6645084023475647,0.11997026205062866
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,3,5,-2,0.4967461824417114,0.5579071640968323,0.06116098165512085
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,2,4,-2,0.5816625952720642,0.577375590801239,-0.004287004470825195
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,24,18,6,0.4725983738899231,0.5544382333755493,0.08183985948562622
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,23,22,1,0.39940428733825684,0.5790352821350098,0.17963099479675293
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,1,3,-2,0.520713210105896,0.568207323551178,0.04749411344528198
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,13,5,8,0.4627559781074524,0.5584201216697693,0.0956641435623169
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,7,6,1,0.516326904296875,0.5641685724258423,0.047841668128967285
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,4,14,-10,0.41738826036453247,0.432625949382782,0.015237689018249512
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,6,16,-10,0.41101235151290894,0.4285363554954529,0.017524003982543945
C3,M0,BGE-M3 Dense vs C3,S001,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,11,5,6,0.6024776697158813,0.6595572233200073,0.05707955360412598
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q007,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,3,3,0,0.37535619735717773,0.5378185510635376,0.16246235370635986
C3,M0,BGE-M3 Dense vs C3,S002,S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,7,7,0,0.35073208808898926,0.422049880027771,0.07131779193878174
