config,Retrieval,session_id,eligible_gold_count,R@5,R@10,R@20,MRR,Mean Gold Rank
C3,C3 BGE-small Dense,S001,21,0.47619047619047616,0.6666666666666666,0.9047619047619048,0.34245314726681186,7.714285714285714
C3,C3 BGE-small Dense,S002,32,0.34375,0.5625,0.9375,0.31912835841407267,9.59375
C3,C3 BGE-small Dense,S003,43,0.3023255813953488,0.4418604651162791,0.7209302325581395,0.29554339494354975,15.186046511627907
C3,C3 BGE-small Dense,S004,32,0.40625,0.5,0.71875,0.24075197911332366,13.28125
C3,C3 BGE-small Dense,S005,26,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.43742232392751423,8.884615384615385
M0,BGE-M3 Dense,S001,21,0.47619047619047616,0.7142857142857143,0.9523809523809523,0.21311069882498454,8.333333333333334
M0,BGE-M3 Dense,S002,32,0.4375,0.6875,0.84375,0.3398276457984336,10.96875
M0,BGE-M3 Dense,S003,43,0.3023255813953488,0.5116279069767442,0.7209302325581395,0.23106633614234257,15.767441860465116
M0,BGE-M3 Dense,S004,32,0.3125,0.53125,0.75,0.2405362925549261,13.0
M0,BGE-M3 Dense,S005,26,0.38461538461538464,0.6153846153846154,0.8846153846153846,0.31145765998707176,9.961538461538462
M3_ORIGINAL,BGE-M3 Original MaxSim,S001,21,0.2857142857142857,0.6666666666666666,1.0,0.215018315018315,8.619047619047619
M3_ORIGINAL,BGE-M3 Original MaxSim,S002,32,0.4375,0.6875,0.8125,0.28587997081205907,10.53125
M3_ORIGINAL,BGE-M3 Original MaxSim,S003,43,0.32558139534883723,0.5116279069767442,0.7674418604651163,0.23887187183249364,15.279069767441861
M3_ORIGINAL,BGE-M3 Original MaxSim,S004,32,0.21875,0.5625,0.75,0.2551429870193691,14.59375
M3_ORIGINAL,BGE-M3 Original MaxSim,S005,26,0.46153846153846156,0.6923076923076923,0.8461538461538461,0.3474577709871827,9.5
A1,BGE-small Raw-token Pure MaxSim,S001,21,0.42857142857142855,0.6190476190476191,0.8095238095238095,0.20023806492293889,10.80952380952381
A1,BGE-small Raw-token Pure MaxSim,S002,32,0.375,0.625,0.84375,0.28708394992957204,11.4375
A1,BGE-small Raw-token Pure MaxSim,S003,43,0.2558139534883721,0.4418604651162791,0.627906976744186,0.25609390421882094,17.58139534883721
A1,BGE-small Raw-token Pure MaxSim,S004,32,0.40625,0.625,0.75,0.2768097840805185,12.46875
A1,BGE-small Raw-token Pure MaxSim,S005,26,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.3638106131035272,9.346153846153847
A2,C3 Top60 + BGE-small Raw-token MaxSim,S001,21,0.42857142857142855,0.6190476190476191,0.8095238095238095,0.20023806492293889,10.80952380952381
A2,C3 Top60 + BGE-small Raw-token MaxSim,S002,32,0.375,0.625,0.84375,0.28708394992957204,11.4375
A2,C3 Top60 + BGE-small Raw-token MaxSim,S003,43,0.2558139534883721,0.4418604651162791,0.627906976744186,0.2563652522326439,16.74418604651163
A2,C3 Top60 + BGE-small Raw-token MaxSim,S004,32,0.40625,0.625,0.75,0.2768097840805185,12.46875
A2,C3 Top60 + BGE-small Raw-token MaxSim,S005,26,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.3638106131035272,9.346153846153847
B1,BGE-M3 IDF-weighted MaxSim,S001,21,0.2857142857142857,0.7142857142857143,1.0,0.1851635102574952,8.380952380952381
B1,BGE-M3 IDF-weighted MaxSim,S002,32,0.5,0.6875,0.8125,0.2918061457231964,10.4375
B1,BGE-M3 IDF-weighted MaxSim,S003,43,0.3488372093023256,0.4418604651162791,0.7906976744186046,0.23650853436133945,14.86046511627907
B1,BGE-M3 IDF-weighted MaxSim,S004,32,0.21875,0.5625,0.78125,0.288539980148833,14.59375
B1,BGE-M3 IDF-weighted MaxSim,S005,26,0.4230769230769231,0.6923076923076923,0.8461538461538461,0.2755903436643474,10.0
B2,BGE-M3 IDF-filtered MaxSim,S001,21,0.23809523809523808,0.7619047619047619,1.0,0.19620003012860154,8.238095238095237
B2,BGE-M3 IDF-filtered MaxSim,S002,32,0.4375,0.65625,0.78125,0.2773093075614084,10.625
B2,BGE-M3 IDF-filtered MaxSim,S003,43,0.3023255813953488,0.46511627906976744,0.7674418604651163,0.23387927955235646,14.790697674418604
B2,BGE-M3 IDF-filtered MaxSim,S004,32,0.21875,0.5,0.75,0.2857884528631442,14.75
B2,BGE-M3 IDF-filtered MaxSim,S005,26,0.38461538461538464,0.6538461538461539,0.8461538461538461,0.31277056277056275,10.038461538461538
