turn_id,gold_turn_id,gold_session_id,gold_session_rank,gold_session_score,selected_session,session_lineage_consistent
S001-Q007,S001-Q001,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.4214377,True,True
S001-Q007,S001-Q006,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q011,S001-Q001,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.5683198,True,True
S001-Q011,S001-Q007,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.5683198,True,True
S001-Q011,S001-Q010,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q013,S001-Q001,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.48163718,True,True
S001-Q013,S001-Q006,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.48163718,True,True
S001-Q013,S001-Q012,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q014,S001-Q008,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.64724934,True,True
S001-Q014,S001-Q013,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q021,S001-Q015,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.5467273,True,True
S001-Q021,S001-Q020,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q022,S001-Q012,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.54393923,True,True
S001-Q022,S001-Q018,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.54393923,True,True
S001-Q022,S001-Q021,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q026,S001-Q014,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.46521407,True,True
S001-Q026,S001-Q019,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.46521407,True,True
S001-Q026,S001-Q025,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q028,S001-Q022,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.47551784,True,True
S001-Q028,S001-Q027,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q033,S001-Q023,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.49542856,True,True
S001-Q033,S001-Q029,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.49542856,True,True
S001-Q033,S001-Q032,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q035,S001-Q029,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.44298857,True,True
S001-Q035,S001-Q032,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q035,S001-Q034,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q039,S001-Q027,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.4824053,True,True
S001-Q039,S001-Q032,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.4824053,True,True
S001-Q039,S001-Q038,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q042,S001-Q036,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.5010129,True,True
S001-Q042,S001-Q041,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q044,S001-Q034,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.40127915,True,True
S001-Q044,S001-Q040,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.40127915,True,True
S001-Q044,S001-Q043,185dab99-607c-5be0-8b0f-66b1cfa59888,,,False,True
S001-Q049,S001-Q043,185dab99-607c-5be0-8b0f-66b1cfa59888,1,0.42377004,True,True
S001-Q049,S001-Q048,,,,False,False
