comparison,search_variant,left_variant,right_variant,left_micro_r5,right_micro_r5,delta_right_minus_left,left_top5_gold,right_top5_gold
Summary Only vs Full,Baseline,E0,E1,0.3246753246753247,0.33116883116883117,0.006493506493506496,50,51
User Only vs Full,Baseline,E0,E4,0.3246753246753247,0.2532467532467532,-0.07142857142857145,50,39
Remove Keywords from Full,Baseline,E0,E3,0.3246753246753247,0.3181818181818182,-0.006493506493506496,50,49
Remove User from Full,Baseline,E0,E2,0.3246753246753247,0.34415584415584416,0.019480519480519487,50,53
Add Keywords to Summary,Baseline,E1,E2,0.33116883116883117,0.34415584415584416,0.012987012987012991,51,53
Add Keywords to Summary+User,Baseline,E3,E0,0.3181818181818182,0.3246753246753247,0.006493506493506496,49,50
Add Keywords to User,Baseline,E4,E5,0.2532467532467532,0.2857142857142857,0.03246753246753248,39,44
Add User to Summary,Baseline,E1,E3,0.33116883116883117,0.3181818181818182,-0.012987012987012991,51,49
Add User to Summary+Keywords,Baseline,E2,E0,0.34415584415584416,0.3246753246753247,-0.019480519480519487,53,50
Add Summary to User,Baseline,E4,E3,0.2532467532467532,0.3181818181818182,0.06493506493506496,39,49
Add Summary to Keywords+User,Baseline,E5,E0,0.2857142857142857,0.3246753246753247,0.038961038961038974,44,50
E6-100 vs Full,Baseline,E0,E6-100,0.3246753246753247,0.3051948051948052,-0.019480519480519487,50,47
E7-100 vs Full,Baseline,E0,E7-100,0.3246753246753247,0.2987012987012987,-0.025974025974025983,50,46
Prefix vs Tail 100,Baseline,E7-100,E6-100,0.2987012987012987,0.3051948051948052,0.006493506493506496,46,47
E6-200 vs Full,Baseline,E0,E6-200,0.3246753246753247,0.2857142857142857,-0.038961038961038974,50,44
E7-200 vs Full,Baseline,E0,E7-200,0.3246753246753247,0.3246753246753247,0.0,50,50
Prefix vs Tail 200,Baseline,E7-200,E6-200,0.3246753246753247,0.2857142857142857,-0.038961038961038974,50,44
E6-300 vs Full,Baseline,E0,E6-300,0.3246753246753247,0.3051948051948052,-0.019480519480519487,50,47
E7-300 vs Full,Baseline,E0,E7-300,0.3246753246753247,0.3246753246753247,0.0,50,50
Prefix vs Tail 300,Baseline,E7-300,E6-300,0.3246753246753247,0.3051948051948052,-0.019480519480519487,50,47
Summary Only vs Full,P2,E0,E1,0.35064935064935066,0.35064935064935066,0.0,54,54
User Only vs Full,P2,E0,E4,0.35064935064935066,0.2727272727272727,-0.07792207792207795,54,42
Remove Keywords from Full,P2,E0,E3,0.35064935064935066,0.3246753246753247,-0.025974025974025983,54,50
Remove User from Full,P2,E0,E2,0.35064935064935066,0.35714285714285715,0.006493506493506496,54,55
Add Keywords to Summary,P2,E1,E2,0.35064935064935066,0.35714285714285715,0.006493506493506496,54,55
Add Keywords to Summary+User,P2,E3,E0,0.3246753246753247,0.35064935064935066,0.025974025974025983,50,54
Add Keywords to User,P2,E4,E5,0.2727272727272727,0.2792207792207792,0.006493506493506496,42,43
Add User to Summary,P2,E1,E3,0.35064935064935066,0.3246753246753247,-0.025974025974025983,54,50
Add User to Summary+Keywords,P2,E2,E0,0.35714285714285715,0.35064935064935066,-0.006493506493506496,55,54
Add Summary to User,P2,E4,E3,0.2727272727272727,0.3246753246753247,0.051948051948051965,42,50
Add Summary to Keywords+User,P2,E5,E0,0.2792207792207792,0.35064935064935066,0.07142857142857145,43,54
E6-100 vs Full,P2,E0,E6-100,0.35064935064935066,0.3116883116883117,-0.038961038961038974,54,48
E7-100 vs Full,P2,E0,E7-100,0.35064935064935066,0.3051948051948052,-0.04545454545454547,54,47
Prefix vs Tail 100,P2,E7-100,E6-100,0.3051948051948052,0.3116883116883117,0.006493506493506496,47,48
E6-200 vs Full,P2,E0,E6-200,0.35064935064935066,0.2987012987012987,-0.051948051948051965,54,46
E7-200 vs Full,P2,E0,E7-200,0.35064935064935066,0.3051948051948052,-0.04545454545454547,54,47
Prefix vs Tail 200,P2,E7-200,E6-200,0.3051948051948052,0.2987012987012987,-0.006493506493506496,47,46
E6-300 vs Full,P2,E0,E6-300,0.35064935064935066,0.33116883116883117,-0.019480519480519487,54,51
E7-300 vs Full,P2,E0,E7-300,0.35064935064935066,0.3246753246753247,-0.025974025974025983,54,50
Prefix vs Tail 300,P2,E7-300,E6-300,0.3246753246753247,0.33116883116883117,0.006493506493506496,50,51
