page_variant,page_count,char_count_mean,char_count_median,char_count_p90,char_count_max,raw_token_count_mean,raw_token_count_median,raw_token_count_p90,raw_token_count_p95,raw_token_count_max,truncated_page_count,truncated_page_rate
E0,333,530.4774774774775,514,688.6000000000001,944,437.14114114114113,432,560.4000000000001,595.8,768,76,0.22822822822822822
E1,333,411.8498498498499,393,570.6,829,343.2972972972973,336,465.6,502.0,677,13,0.03903903903903904
E2,333,473.5765765765766,455,630.6,887,385.95195195195197,377,507.8,545.4,716,32,0.0960960960960961
E3,333,468.75075075075074,450,627.4000000000001,886,394.4864864864865,388,516.8,551.8,729,36,0.10810810810810811
E4,333,55.9009009009009,55,69.0,87,53.189189189189186,52,66.80000000000001,71.0,80,0,0.0
E5,333,117.62762762762763,116,130.0,149,95.84384384384384,95,108.80000000000001,114.39999999999998,128,0,0.0
E6-100,333,218.62762762762762,217,231.0,250,182.75675675675674,183,196.0,202.39999999999998,221,0,0.0
E6-200,333,318.1921921921922,317,331.0,350,258.1591591591592,258,275.0,279.79999999999995,296,0,0.0
E6-300,333,411.0930930930931,416,428.8,450,332.5015015015015,335,355.0,358.4,386,0,0.0
E7-100,333,218.62762762762762,217,231.0,250,189.01501501501502,189,202.0,208.39999999999998,224,0,0.0
E7-200,333,318.1921921921922,317,331.0,350,267.3333333333333,267,284.0,291.4,313,0,0.0
E7-300,333,411.0930930930931,416,428.8,450,339.94594594594594,343,362.0,368.4,388,0,0.0
