page_variant,search_variant,query_count,best_gold_score_mean,best_nongold_score_mean,margin_mean,margin_median,positive_margin_rate,margin_definition
E0,Baseline,99,0.5087228820781515,0.5600051380167104,-0.05128225593855887,-0.04756450653076172,0.12121212121212122,best visible eligible Gold score - best visible Non-Gold score
E0,P2,99,0.5481819365963791,0.5964918127565673,-0.048309876160188156,-0.04224720597267151,0.13131313131313133,best visible eligible Gold score - best visible Non-Gold score
E1,Baseline,99,0.5130443594070396,0.5676628152529398,-0.054618455845900256,-0.04786008596420288,0.0707070707070707,best visible eligible Gold score - best visible Non-Gold score
E1,P2,99,0.5554896481711455,0.6072810364492012,-0.05179138827805567,-0.04755294322967529,0.09090909090909091,best visible eligible Gold score - best visible Non-Gold score
E2,Baseline,99,0.4964573166587136,0.5453160922936718,-0.04885877563495829,-0.04912012815475464,0.1111111111111111,best visible eligible Gold score - best visible Non-Gold score
E2,P2,99,0.5375177384626986,0.5845497455259766,-0.04703200706327804,-0.04872560501098633,0.12121212121212122,best visible eligible Gold score - best visible Non-Gold score
E3,Baseline,99,0.525076467280436,0.582712099708692,-0.05763563242825595,-0.0555514395236969,0.08080808080808081,best visible eligible Gold score - best visible Non-Gold score
E3,P2,99,0.565203111581128,0.6199627870863135,-0.054759675505185366,-0.04758390784263611,0.0707070707070707,best visible eligible Gold score - best visible Non-Gold score
E4,Baseline,99,0.5998080917681107,0.7002452163383214,-0.10043712457021077,-0.09367614984512329,0.08080808080808081,best visible eligible Gold score - best visible Non-Gold score
E4,P2,99,0.6054181384317803,0.7038857536484496,-0.09846761521666941,-0.09926503896713257,0.09090909090909091,best visible eligible Gold score - best visible Non-Gold score
E5,Baseline,99,0.5339063869582282,0.5868276306475052,-0.052921243689276955,-0.05172163248062134,0.0707070707070707,best visible eligible Gold score - best visible Non-Gold score
E5,P2,99,0.5644093583328555,0.614587914763075,-0.0501785564302194,-0.05041772127151489,0.1111111111111111,best visible eligible Gold score - best visible Non-Gold score
E6-100,Baseline,99,0.5327707501974973,0.5936725124566242,-0.06090176225912691,-0.06069308519363403,0.10101010101010101,best visible eligible Gold score - best visible Non-Gold score
E6-100,P2,99,0.5582828873937781,0.6198525844198285,-0.06156969702605045,-0.062470436096191406,0.09090909090909091,best visible eligible Gold score - best visible Non-Gold score
E6-200,Baseline,99,0.5086887990585481,0.5646898129371681,-0.05600101387862003,-0.05895453691482544,0.08080808080808081,best visible eligible Gold score - best visible Non-Gold score
E6-200,P2,99,0.5402622174735021,0.5973989448764108,-0.057136727402908635,-0.05580800771713257,0.0707070707070707,best visible eligible Gold score - best visible Non-Gold score
E6-300,Baseline,99,0.5046280318438404,0.5582996456310002,-0.053671613787159775,-0.05963146686553955,0.09090909090909091,best visible eligible Gold score - best visible Non-Gold score
E6-300,P2,99,0.5404256708694227,0.5950901372866197,-0.05466446641719702,-0.05112266540527344,0.10101010101010101,best visible eligible Gold score - best visible Non-Gold score
E7-100,Baseline,99,0.5540537728805734,0.6175586969563456,-0.06350492407577206,-0.06434452533721924,0.08080808080808081,best visible eligible Gold score - best visible Non-Gold score
E7-100,P2,99,0.5965654281052676,0.6599444686764419,-0.06337904057117423,-0.05980962514877319,0.09090909090909091,best visible eligible Gold score - best visible Non-Gold score
E7-200,Baseline,99,0.5183244820195015,0.5762873770612659,-0.057962895041764384,-0.05809560418128967,0.08080808080808081,best visible eligible Gold score - best visible Non-Gold score
E7-200,P2,99,0.5676387831418201,0.6228084151793007,-0.055169632037480675,-0.05809566378593445,0.09090909090909091,best visible eligible Gold score - best visible Non-Gold score
E7-300,Baseline,99,0.501042909995474,0.5576886953127504,-0.056645785317276466,-0.05351811647415161,0.08080808080808081,best visible eligible Gold score - best visible Non-Gold score
E7-300,P2,99,0.5529139493450974,0.6035380661487579,-0.05062411680366054,-0.05351811647415161,0.13131313131313133,best visible eligible Gold score - best visible Non-Gold score
