page_variant,search_variant,eligible_gold_count,gold_at_1,gold_at_3,gold_at_5,gold_at_10,gold_at_20,gold_gt_20
E0,Baseline,154,12,38,50,81,115,39
E0,P2,154,13,39,54,81,117,37
E1,Baseline,154,7,38,51,84,110,44
E1,P2,154,9,41,54,87,116,38
E2,Baseline,154,11,38,53,83,111,43
E2,P2,154,12,38,55,84,116,38
E3,Baseline,154,8,39,49,84,117,37
E3,P2,154,7,40,50,87,120,34
E4,Baseline,154,8,26,39,67,116,38
E4,P2,154,9,26,42,68,105,49
E5,Baseline,154,7,26,44,74,114,40
E5,P2,154,11,29,43,72,111,43
E6-100,Baseline,154,10,35,47,80,126,28
E6-100,P2,154,9,35,48,79,116,38
E6-200,Baseline,154,8,33,44,82,120,34
E6-200,P2,154,7,35,46,83,115,39
E6-300,Baseline,154,9,37,47,83,117,37
E6-300,P2,154,10,34,51,83,119,35
E7-100,Baseline,154,8,33,46,74,114,40
E7-100,P2,154,9,32,47,75,106,48
E7-200,Baseline,154,8,34,50,72,111,43
E7-200,P2,154,9,33,47,75,111,43
E7-300,Baseline,154,8,31,50,81,102,52
E7-300,P2,154,13,32,50,82,105,49
