session_id,query_id,gold_page_id,gold_source_turn_id,page_variant,search_variant,rank,score,hit_at_5
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,E0,Baseline,3,0.35526493191719055,True
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,E0,Baseline,6,0.4535906910896301,False
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,E0,Baseline,1,0.5185934901237488,True
S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,E0,Baseline,9,0.3880617618560791,False
S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,E0,Baseline,7,0.4383961260318756,False
S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,E0,Baseline,1,0.6648146510124207,True
S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,E0,Baseline,6,0.5378081798553467,False
S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,E0,Baseline,16,0.5138569474220276,False
S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,E0,Baseline,13,0.5241682529449463,False
S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,E0,Baseline,21,0.3901694118976593,False
S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,E0,Baseline,4,0.4946797788143158,True
S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,E0,Baseline,2,0.48575401306152344,True
S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,E0,Baseline,2,0.5201343297958374,True
S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,E0,Baseline,20,0.4486255347728729,False
S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,E0,Baseline,27,0.38482916355133057,False
S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,E0,Baseline,3,0.49549949169158936,True
S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,E0,Baseline,11,0.4700566232204437,False
S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,E0,Baseline,6,0.524163007736206,False
S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,E0,Baseline,15,0.38481488823890686,False
S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,E0,Baseline,29,0.335262268781662,False
S001,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,E0,Baseline,13,0.4355660080909729,False
S002,S002-Q007,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,E0,Baseline,3,0.33832457661628723,True
S002,S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,E0,Baseline,6,0.3450709879398346,False
S002,S002-Q011,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,E0,Baseline,3,0.3914191424846649,True
S002,S002-Q013,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,E0,Baseline,9,0.33159926533699036,False
S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,E0,Baseline,5,0.4067200720310211,True
S002,S002-Q014,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002-Q008,E0,Baseline,3,0.5073202252388,True
S002,S002-Q021,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002-Q015,E0,Baseline,13,0.6465378403663635,False
S002,S002-Q022,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,E0,Baseline,4,0.7317522764205933,True
S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,E0,Baseline,11,0.6958172917366028,False
S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,E0,Baseline,6,0.6949954032897949,False
S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,E0,Baseline,9,0.6865123510360718,False
S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,E0,Baseline,8,0.635677695274353,False
S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,E0,Baseline,4,0.7509975433349609,True
S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,E0,Baseline,11,0.713391900062561,False
S002,S002-Q035,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,E0,Baseline,8,0.71683669090271,False
S002,S002-Q039,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,E0,Baseline,12,0.6947565078735352,False
S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,E0,Baseline,1,0.7444235682487488,True
S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,E0,Baseline,5,0.7117832899093628,True
S002,S002-Q044,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,E0,Baseline,40,0.6301290392875671,False
S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,E0,Baseline,11,0.7112531065940857,False
S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,E0,Baseline,5,0.6977245807647705,True
S002,S002-Q052,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,E0,Baseline,2,0.5538138151168823,True
S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,E0,Baseline,5,0.5295717716217041,True
S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,E0,Baseline,5,0.519546627998352,True
S002,S002-Q055,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,E0,Baseline,13,0.49913763999938965,False
S002,S002-Q056,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,E0,Baseline,34,0.34421658515930176,False
S002,S002-Q063,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,E0,Baseline,19,0.3813455402851105,False
S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,E0,Baseline,1,0.5514099597930908,True
S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,E0,Baseline,10,0.47436463832855225,False
S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,E0,Baseline,1,0.5741122364997864,True
S002,S002-Q066,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,E0,Baseline,9,0.48527994751930237,False
S002,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,E0,Baseline,37,0.39760541915893555,False
S003,S003-Q007,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,E0,Baseline,1,0.37955912947654724,True
S003,S003-Q011,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,E0,Baseline,3,0.48598742485046387,True
S003,S003-Q011,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,E0,Baseline,2,0.513968288898468,True
S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,E0,Baseline,7,0.4879744350910187,False
S003,S003-Q013,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,E0,Baseline,2,0.5344179272651672,True
S003,S003-Q014,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,E0,Baseline,1,0.5515123605728149,True
S003,S003-Q021,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,E0,Baseline,14,0.6067447662353516,False
S003,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,E0,Baseline,1,0.540005624294281,True
S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,E0,Baseline,3,0.5354854464530945,True
S003,S003-Q026,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,E0,Baseline,21,0.5021357536315918,False
S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,E0,Baseline,6,0.566022515296936,False
S003,S003-Q028,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,E0,Baseline,2,0.4874832332134247,True
S003,S003-Q033,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,E0,Baseline,19,0.47346293926239014,False
S003,S003-Q033,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,E0,Baseline,17,0.4776647090911865,False
S003,S003-Q035,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,E0,Baseline,11,0.5142894387245178,False
S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,E0,Baseline,4,0.5138795971870422,True
S003,S003-Q039,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,E0,Baseline,29,0.42981383204460144,False
