session_id,query_id,page_variant,search_variant,comparison,transition,e0_gold_ranks,variant_gold_ranks,promoted_gold,demoted_gold
S001,S001-Q007,E0,Baseline,E0 vs E0 under Baseline,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",0,0
S001,S001-Q011,E0,Baseline,E0 vs E0 under Baseline,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}",0,0
S001,S001-Q013,E0,Baseline,E0 vs E0 under Baseline,UNCHANGED_MISS,"{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}","{""2631e802-75be-5089-9418-baece6a717cf"": 9, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 7}",0,0
S001,S001-Q014,E0,Baseline,E0 vs E0 under Baseline,UNCHANGED_HIT,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 1}",0,0
S001,S001-Q021,E0,Baseline,E0 vs E0 under Baseline,UNCHANGED_MISS,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 6}",0,0
S001,S001-Q022,E0,Baseline,E0 vs E0 under Baseline,UNCHANGED_MISS,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 16, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 13}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 16, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 13}",0,0
S001,S001-Q026,E0,Baseline,E0 vs E0 under Baseline,UNCHANGED_HIT,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 21, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 4}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 21, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 4}",0,0
S001,S001-Q028,E0,Baseline,E0 vs E0 under Baseline,UNCHANGED_HIT,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 2}",0,0
S001,S001-Q033,E0,Baseline,E0 vs E0 under Baseline,UNCHANGED_HIT,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 20}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 20}",0,0
S001,S001-Q035,E0,Baseline,E0 vs E0 under Baseline,UNCHANGED_MISS,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}",0,0
