page_variant,search_variant,eligible_gold_count,top5_recalled_gold,micro_r5,macro_r5,r10,r20,mrr,mean_gold_rank,promoted_gold_vs_e0,demoted_gold_vs_e0,net_gold_gain_vs_e0,rescued_queries_vs_e0,hurt_queries_vs_e0
E0,Baseline,154,50,0.3246753246753247,0.3367359868813357,0.525974025974026,0.7467532467532467,0.2948787273272229,14.571428571428571,0,0,0,0,0
E0,P2,154,54,0.35064935064935066,0.3601371496720334,0.525974025974026,0.7597402597402597,0.30458163138396327,14.551948051948052,0,0,0,0,0
E1,Baseline,154,51,0.33116883116883117,0.34282945736434106,0.5454545454545454,0.7142857142857143,0.26028786018129474,15.058441558441558,10,9,1,6,7
E1,P2,154,54,0.35064935064935066,0.3634870943010478,0.564935064935065,0.7532467532467533,0.2789138917849992,14.857142857142858,9,9,0,6,6
E2,Baseline,154,53,0.34415584415584416,0.35228831246273107,0.538961038961039,0.7207792207792207,0.2909824998234441,14.844155844155845,8,5,3,5,5
E2,P2,154,55,0.35714285714285715,0.3617471675611211,0.5454545454545454,0.7532467532467533,0.3002948982291115,14.792207792207792,6,5,1,3,5
E3,Baseline,154,49,0.3181818181818182,0.33032945736434105,0.5454545454545454,0.7597402597402597,0.26256016303555324,14.402597402597403,6,7,-1,4,5
E3,P2,154,50,0.3246753246753247,0.3318633401482239,0.564935064935065,0.7792207792207793,0.2626536708284493,14.279220779220779,7,11,-4,4,7
E4,Baseline,154,39,0.2532467532467532,0.25582566658148054,0.43506493506493504,0.7532467532467533,0.23336875726875733,14.253246753246753,10,21,-11,7,18
E4,P2,154,42,0.2727272727272727,0.28240906380441266,0.44155844155844154,0.6818181818181818,0.24024791407306442,15.714285714285714,10,22,-12,6,17
E5,Baseline,154,44,0.2857142857142857,0.28683874265269615,0.4805194805194805,0.7402597402597403,0.23569143906101958,13.863636363636363,8,14,-6,8,13
E5,P2,154,43,0.2792207792207792,0.2773149331288866,0.4675324675324675,0.7207792207792207,0.2627275011596249,14.642857142857142,7,18,-11,7,16
E6-100,Baseline,154,47,0.3051948051948052,0.30718757986199846,0.5194805194805194,0.8181818181818182,0.27136479526161955,13.103896103896103,9,12,-3,6,11
E6-100,P2,154,48,0.3116883116883117,0.31632219524661387,0.512987012987013,0.7532467532467533,0.2659586212948125,14.46103896103896,8,14,-6,5,13
E6-200,Baseline,154,44,0.2857142857142857,0.303055520061334,0.5324675324675324,0.7792207792207793,0.25283343259105073,14.012987012987013,5,11,-6,4,11
E6-200,P2,154,46,0.2987012987012987,0.31395668285203165,0.538961038961039,0.7467532467532467,0.2503285378958568,14.974025974025974,6,14,-8,5,13
E6-300,Baseline,154,47,0.3051948051948052,0.31510137149672035,0.538961038961039,0.7597402597402597,0.2643040536715644,14.25974025974026,4,7,-3,3,6
E6-300,P2,154,51,0.33116883116883117,0.3369036970781157,0.538961038961039,0.7727272727272727,0.26666504200538793,15.12987012987013,5,8,-3,4,6
E7-100,Baseline,154,46,0.2987012987012987,0.31547938495612915,0.4805194805194805,0.7402597402597403,0.24511672605687104,15.045454545454545,13,17,-4,9,14
E7-100,P2,154,47,0.3051948051948052,0.3103852542806031,0.487012987012987,0.6883116883116883,0.2524084499305651,15.285714285714286,10,17,-7,6,14
E7-200,Baseline,154,50,0.3246753246753247,0.33841095919584296,0.4675324675324675,0.7207792207792207,0.2525099207923574,15.077922077922079,13,13,0,10,10
E7-200,P2,154,47,0.3051948051948052,0.31654367918902804,0.487012987012987,0.7207792207792207,0.26118614788968303,15.045454545454545,10,17,-7,9,13
E7-300,Baseline,154,50,0.3246753246753247,0.32503673651929466,0.525974025974026,0.6623376623376623,0.25003641012289646,15.402597402597403,15,15,0,11,12
E7-300,P2,154,50,0.3246753246753247,0.32312909958258795,0.5324675324675324,0.6818181818181818,0.2784424534843445,14.87012987012987,14,18,-4,11,16
