config_id,candidate_id,input_id,session_id,session_code,selection_status,eligible_gold_count,candidate_recall,candidate_hits,mean_candidate_count,p95_candidate_count,recall_at_5,recall_at_10,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,promoted,demoted,preserved_hit,still_miss,net_gain,packing_mean_ms,rerank_estimated_mean_ms,canonical_input_id,is_alias
C2_RRF60_20__R0_P8_CURRENT,C2_RRF60_20,R0_P8_CURRENT,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.0,20.0,0.47619047619047616,0.5238095238095238,0.30980983302411874,0.29763421779057675,9.666666666666666,8,5,2,5,9,3,0.0,0.0,,
C2_RRF60_20__R0_P8_CURRENT,C2_RRF60_20,R0_P8_CURRENT,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.84375,27,17.333333333333332,20.0,0.4375,0.5625,0.2890752927295004,0.27633846166457865,11.75,7.5,4,4,10,14,0,0.0,0.0,,
C2_RRF60_20__R0_P8_CURRENT,C2_RRF60_20,R0_P8_CURRENT,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.27906976744186046,0.4186046511627907,0.21592838892610058,0.1973931289048472,18.302325581395348,12,3,1,9,30,2,0.0,0.0,,
C2_RRF60_20__R0_P8_CURRENT,C2_RRF60_20,R0_P8_CURRENT,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.3125,0.53125,0.2235802195274245,0.18219076982929686,14.09375,9.5,4,1,6,21,3,0.0,0.0,,
C2_RRF60_20__R0_P8_CURRENT,C2_RRF60_20,R0_P8_CURRENT,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.3076923076923077,0.5,0.24004092312915842,0.20542531929596575,12.384615384615385,10.5,3,7,5,11,-4,0.0,0.0,,
C2_RRF60_20__R1_KEYWORDS_FIRST,C2_RRF60_20,R1_KEYWORDS_FIRST,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.0,20.0,0.38095238095238093,0.6666666666666666,0.274125044754744,0.2408916841835418,9.80952380952381,7,4,3,4,10,1,0.036608209484256804,9490.63971814238,,
C2_RRF60_20__R1_KEYWORDS_FIRST,C2_RRF60_20,R1_KEYWORDS_FIRST,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.84375,27,17.333333333333332,20.0,0.40625,0.53125,0.2558160061088693,0.24062772444778185,12.09375,9.0,3,4,10,15,-1,0.039362760920388006,8362.96148571377,,
C2_RRF60_20__R1_KEYWORDS_FIRST,C2_RRF60_20,R1_KEYWORDS_FIRST,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.20930232558139536,0.3953488372093023,0.19573529248270646,0.16370177341989164,18.86046511627907,13,2,3,7,31,-1,0.046220153028396174,10921.92742941405,,
C2_RRF60_20__R1_KEYWORDS_FIRST,C2_RRF60_20,R1_KEYWORDS_FIRST,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.21875,0.5,0.18248112438697597,0.1370992016793314,14.375,10.5,3,3,4,22,0,0.07740633251766364,8813.590780577042,,
C2_RRF60_20__R1_KEYWORDS_FIRST,C2_RRF60_20,R1_KEYWORDS_FIRST,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.34615384615384615,0.46153846153846156,0.23959716753834404,0.21005675142408342,12.307692307692308,11.0,4,7,5,10,-3,0.03846534887356136,6721.0426940671505,,
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_PACK_A,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.0,20.0,0.23809523809523808,0.47619047619047616,0.2231471535982814,0.15902102753792263,11.714285714285714,12,2,4,3,12,-2,19.777681708676806,8130.102861713177,,
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_PACK_A,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.84375,27,17.333333333333332,20.0,0.4375,0.625,0.233654107161256,0.23784331700135078,11.375,7.5,5,5,9,13,0,25.572081616181613,8559.866919493114,,
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_PACK_A,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.2558139534883721,0.46511627906976744,0.2119227948469771,0.17734613724490747,18.46511627906977,14,4,3,7,29,1,20.384211345047405,8939.581395490397,,
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_PACK_A,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.25,0.5,0.15528072801364726,0.13428862076150996,14.78125,10.5,4,3,4,21,1,20.550031760995765,7607.05870170958,,
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_PACK_A,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.2692307692307692,0.4230769230769231,0.18023865792031882,0.15483503464196144,13.115384615384615,11.5,2,7,5,12,-5,23.004891290089716,6775.0492443524045,,
C2_RRF60_20__R3_USER_SUMMARY,C2_RRF60_20,R3_USER_SUMMARY,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.0,20.0,0.3333333333333333,0.5238095238095238,0.23006992270592447,0.1917896247901904,11.0,9,3,3,4,11,0,18.952561061139154,5675.865905429028,,
C2_RRF60_20__R3_USER_SUMMARY,C2_RRF60_20,R3_USER_SUMMARY,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.84375,27,17.333333333333332,20.0,0.375,0.625,0.22294563573849888,0.21397351531840375,11.78125,8.0,4,6,8,14,-2,20.40565833296915,6483.4227363932905,,
C2_RRF60_20__R3_USER_SUMMARY,C2_RRF60_20,R3_USER_SUMMARY,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.2558139534883721,0.46511627906976744,0.2104118058359881,0.17817816171095344,18.348837209302324,12,4,3,7,29,1,18.167892269467792,7123.072846246382,,
C2_RRF60_20__R3_USER_SUMMARY,C2_RRF60_20,R3_USER_SUMMARY,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.25,0.53125,0.17172336567477234,0.14854148690105712,14.4375,10.0,4,3,4,21,1,18.938369994949817,8338.468315433473,,
C2_RRF60_20__R3_USER_SUMMARY,C2_RRF60_20,R3_USER_SUMMARY,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.2692307692307692,0.4230769230769231,0.17822305403574754,0.15483503464196144,13.423076923076923,12.5,3,8,4,11,-5,18.156301413375118,8565.752977367298,,
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,R4_PACK_B,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.0,20.0,0.23809523809523808,0.42857142857142855,0.22406951125438518,0.16171915161232792,12.142857142857142,13,1,3,4,13,-2,18.735615006465064,11212.280341356485,,
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,R4_PACK_B,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.84375,27,17.333333333333332,20.0,0.40625,0.625,0.28371661079518823,0.2696285597136398,11.125,6.5,4,5,9,14,-1,20.40228690436509,12406.327116213495,,
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,R4_PACK_B,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.2558139534883721,0.4418604651162791,0.19207728947515595,0.169472514510271,18.674418604651162,13,4,3,7,29,1,25.876979612803552,13405.538091158913,,
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,R4_PACK_B,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.21875,0.4375,0.1562957134050148,0.1322067699298338,14.875,12.0,3,3,4,22,0,23.833788475409772,11599.022258481411,,
C2_RRF60_20__R4_PACK_B,C2_RRF60_20,R4_PACK_B,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.2692307692307692,0.4230769230769231,0.16913160369042723,0.1501127281212666,13.384615384615385,12.5,2,7,5,12,-5,19.699979127514833,7474.035137367429,,
C2_RRF60_20__PACK_C_BALANCED,C2_RRF60_20,PACK_C_BALANCED,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.0,20.0,0.23809523809523808,0.47619047619047616,0.2231471535982814,0.15902102753792263,11.714285714285714,12,2,4,3,12,-2,18.817798017283035,7542.84010871509,,
C2_RRF60_20__PACK_C_BALANCED,C2_RRF60_20,PACK_C_BALANCED,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.84375,27,17.333333333333332,20.0,0.4375,0.625,0.233654107161256,0.23784331700135078,11.375,7.5,5,5,9,13,0,20.488653623726265,10009.431745268168,,
C2_RRF60_20__PACK_C_BALANCED,C2_RRF60_20,PACK_C_BALANCED,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.2558139534883721,0.46511627906976744,0.2119227948469771,0.17734613724490747,18.46511627906977,14,4,3,7,29,1,21.07030499945932,7991.750812044092,,
C2_RRF60_20__PACK_C_BALANCED,C2_RRF60_20,PACK_C_BALANCED,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.25,0.5,0.15528072801364726,0.13428862076150996,14.78125,10.5,4,3,4,21,1,20.833997479279613,8302.247895736704,,
C2_RRF60_20__PACK_C_BALANCED,C2_RRF60_20,PACK_C_BALANCED,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.2692307692307692,0.4230769230769231,0.18023865792031882,0.15483503464196144,13.115384615384615,11.5,2,7,5,12,-5,24.918458713834887,9075.953002986567,,
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_USER_KEYWORDS_SUMMARY_BUDGETED,S001_贵州茅台_投研,S001,S001-S005_TUNED,21,0.9047619047619048,19,16.0,20.0,0.23809523809523808,0.47619047619047616,0.2231471535982814,0.15902102753792263,11.714285714285714,12,2,4,3,12,-2,19.777681708676806,8130.102861713177,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_USER_KEYWORDS_SUMMARY_BUDGETED,S002_贵州茅台_内审,S002,S001-S005_TUNED,32,0.84375,27,17.333333333333332,20.0,0.4375,0.625,0.233654107161256,0.23784331700135078,11.375,7.5,5,5,9,13,0,25.572081616181613,8559.866919493114,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_USER_KEYWORDS_SUMMARY_BUDGETED,S003_比亚迪_风委,S003,S001-S005_TUNED,43,0.6744186046511628,29,17.846153846153847,20.0,0.2558139534883721,0.46511627906976744,0.2119227948469771,0.17734613724490747,18.46511627906977,14,4,3,7,29,1,20.384211345047405,8939.581395490397,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_USER_KEYWORDS_SUMMARY_BUDGETED,S004_比亚迪_IR,S004,S001-S005_TUNED,32,0.71875,23,17.333333333333332,20.0,0.25,0.5,0.15528072801364726,0.13428862076150996,14.78125,10.5,4,3,4,21,1,20.550031760995765,7607.05870170958,R2_PACK_A,True
C2_RRF60_20__R2_PACK_A,C2_RRF60_20,R2_USER_KEYWORDS_SUMMARY_BUDGETED,S005_宁德时代_合规,S005,S001-S005_TUNED,26,0.8076923076923077,21,16.705882352941178,20.0,0.2692307692307692,0.4230769230769231,0.18023865792031882,0.15483503464196144,13.115384615384615,11.5,2,7,5,12,-5,23.004891290089716,6775.0492443524045,R2_PACK_A,True
