candidate_representation,candidate_strategy,candidate_k,rerank_representation,reranker_model,candidate_recall,candidate_hits,evaluated_query_count,eligible_gold_count,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,max_gold_rank,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_15,recall_at_20,recall_at_30,mean_prompt_tokens,p95_prompt_tokens,mean_completion_tokens,p95_completion_tokens,llm_mean_ms,llm_p95_ms,llm_calls_per_query,failure_rate,mean_retry_count,first_stage_or_prompt_cache_reuse_count,status
P8,bm25,20,P0,deepseek-v4-flash,0.9047619047619048,19,14,21,0.2144898021777721,0.20186132915014715,10.857142857142858,11,24,0.047619047619047616,0.14285714285714285,0.38095238095238093,0.47619047619047616,0.7142857142857143,0.9047619047619048,1.0,5251.785714285715,6691.35,53.0,65.0,1377.2183943567923,1792.5094292972062,1.0,0.0,0.0,1,AVAILABLE
P8,bm25,20,P1,deepseek-v4-flash,0.9047619047619048,19,14,21,0.17585579103436247,0.13216749325248248,10.666666666666666,8,24,0.0,0.19047619047619047,0.23809523809523808,0.5714285714285714,0.7142857142857143,0.9047619047619048,1.0,4152.285714285715,5299.9,53.0,65.0,1030.6047307151728,1270.1765443031036,1.0,0.0,0.0,1,AVAILABLE
P8,bm25,20,P8,deepseek-v4-flash,0.9047619047619048,19,14,21,0.29930723301466333,0.27690779648726466,10.142857142857142,8,24,0.09523809523809523,0.23809523809523808,0.47619047619047616,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,4758.857142857143,6057.7,53.0,65.0,1151.3507229288475,1568.955558149173,1.0,0.0,0.0,14,AVAILABLE
P8,dense,20,P8,deepseek-v4-flash,0.8095238095238095,17,14,21,0.18876506743048097,0.15734552199061888,10.904761904761905,7,29,0.0,0.14285714285714285,0.2857142857142857,0.6190476190476191,0.7142857142857143,0.8095238095238095,1.0,4791.785714285715,6134.4,53.0,65.0,1142.536942357505,1818.3751662527354,1.0,0.0,0.0,6,AVAILABLE
P8,union_fixed,20,P8,deepseek-v4-flash,0.9523809523809523,20,14,21,0.17770558689676338,0.176678934795545,12.428571428571429,14,22,0.0,0.14285714285714285,0.2857142857142857,0.38095238095238093,0.5238095238095238,0.9523809523809523,1.0,4750.428571428572,6131.35,53.0,65.0,1137.2139178565703,1691.6364138498463,1.0,0.0,0.0,1,AVAILABLE
P8,rrf60,20,P8,deepseek-v4-flash,0.9047619047619048,19,14,21,0.23114457904373872,0.1866764462871112,10.857142857142858,11,22,0.047619047619047616,0.14285714285714285,0.2857142857142857,0.47619047619047616,0.7619047619047619,0.9047619047619048,1.0,4753.357142857143,6089.7,53.0,65.0,1197.3287686430142,1601.4199459481458,1.0,0.0,0.0,1,AVAILABLE
P8,weighted_dense_0.8,20,P8,deepseek-v4-flash,0.8095238095238095,17,14,21,0.16375225303796734,0.101652437234945,11.666666666666666,8,27,0.0,0.047619047619047616,0.19047619047619047,0.5238095238095238,0.7142857142857143,0.8095238095238095,1.0,4791.928571428572,6154.2,53.0,65.0,1355.2778223571036,1805.8318763985878,1.0,0.0,0.0,1,AVAILABLE
P8,weighted_dense_0.6,20,P8,deepseek-v4-flash,0.8571428571428571,18,14,21,0.23271899668958493,0.1986362788064858,10.619047619047619,10,25,0.0,0.19047619047619047,0.2857142857142857,0.5714285714285714,0.7619047619047619,0.8571428571428571,1.0,4774.285714285715,6112.05,53.0,65.0,1684.1175526424195,2575.153717453577,1.0,0.0,0.0,1,AVAILABLE
P0,rrf60,20,P8,deepseek-v4-flash,0.9047619047619048,19,14,21,0.2504202438551178,0.19355118153116319,10.761904761904763,10,26,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,4744.214285714285,6041.1,53.0,65.0,1276.6425330716759,1794.1095553993362,1.0,0.0,0.0,1,AVAILABLE
P8,bm25,10,P8,deepseek-v4-flash,0.5238095238095238,11,14,21,0.24595301836843192,0.20418160115222053,10.571428571428571,9,24,0.047619047619047616,0.23809523809523808,0.3333333333333333,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,2838.214285714286,3256.4,32.642857142857146,35.0,1334.633461715774,1697.7950527041683,1.0,0.0,0.0,4,AVAILABLE
P8,bm25,15,P8,deepseek-v4-flash,0.7142857142857143,15,14,21,0.1768538635549914,0.1773280668667804,10.904761904761905,11,24,0.0,0.19047619047619047,0.3333333333333333,0.47619047619047616,0.7142857142857143,0.9047619047619048,1.0,3825.285714285714,4679.95,43.357142857142854,50.0,1224.83950021394,1973.8384053496702,1.0,0.0,0.0,4,AVAILABLE
P8,bm25,30,P8,deepseek-v4-flash,1.0,21,14,21,0.22254441250184284,0.21616887466335363,12.047619047619047,12,28,0.047619047619047616,0.19047619047619047,0.38095238095238093,0.42857142857142855,0.6190476190476191,0.8571428571428571,1.0,6067.785714285715,8902.95,66.92857142857143,95.0,1208.6605267852844,1665.3015422998576,1.0,0.0,0.0,6,AVAILABLE
